alpha,Mach,n_points,rank_cr,candidate_cr,candidate_ci,candidate_omega_i,err_cr_vs_blumen,err_ci_vs_blumen,err_cr_vs_shooting,err_ci_vs_shooting,score_to_shooting,centroid_abs_y,spread_abs_y,peak_y
0.2,1.2,1001,1,0.2375310967797008,0.0031168603217157907,0.0006233720643431582,0.0005559044115405198,0.05910580920237514,0.0023086789217927894,0.06037534045237514,0.12077274915031434,4.194959195806458,4.6074220534196675,-7.105263157894739
0.2,1.2,1001,2,0.23204110833597041,0.0030797516973066013,0.0006159503394613203,0.004934084032189867,0.05914291782678433,0.007798667365523176,0.06041244907678433,0.12107631984206621,4.173476923016684,4.591387585838783,-7.105263157894739
0.2,1.2,1001,3,0.24302504608537348,0.0031536454058526276,0.0006307290811705256,0.006049853717213199,0.059069024118238306,0.00318527038387989,0.0603385553682383,0.12071914099728452,4.217391655397539,4.624108706545532,-7.105263157894739
0.2,1.2,1001,4,0.22655502703372776,0.0030423218133813277,0.0006084643626762656,0.010420165334432518,0.059180347710709603,0.013284748667765828,0.0604498789607096,0.12162744761205618,4.15290200909091,4.575979796279181,-7.105263157894739
0.2,1.2,1001,5,0.2485230064555751,0.00319010197300069,0.000638020394600138,0.011547814087414815,0.059032567551090244,0.008683230754081506,0.06030209880109024,0.12091638009630631,4.2408202047568855,4.641474712225335,-7.105263157894739
0.2,1.2,1001,6,0.22107279584568973,0.003004570154196764,0.0006009140308393529,0.015902396522470552,0.05921809936989417,0.01876697985580386,0.060487630619894164,0.12242227479075521,4.133194472733526,4.561174727646074,-7.105263157894739
0.2,1.25,1001,1,0.23207908495479315,0.0032642654848933778,0.0006528530969786756,0.0018083896759022444,0.05124943309402001,0.03602713967590224,0.05208927684402002,0.11023214522887055,4.408304055070471,4.764201322406402,-7.105263157894739
0.2,1.25,1001,2,0.23757046047432126,0.0033040063606474043,0.0006608012721294809,0.0036829858436258633,0.05120969221826598,0.03053576415637413,0.05204953596826599,0.10848525093606486,4.440599415303448,4.7874663530833335,-7.105263157894739
0.2,1.25,1001,3,0.22659163980963423,0.003224228786817274,0.0006448457573634548,0.0072958348210611645,0.051289469792096115,0.04151458482106116,0.05212931354209612,0.1122199718158303,4.37756356413199,4.741953713265032,-7.105263157894739
0.2,1.25,1001,4,0.243065818052853,0.0033434466972663106,0.0006686893394532621,0.009178343422157592,0.051170251881647075,0.0250404065778424,0.05201009563164709,0.10699169197669488,4.474538016199592,4.8117977678684305,-7.105263157894739
0.2,1.25,1001,5,0.22110806964459814,0.0031838982779620138,0.0006367796555924028,0.012779404986097254,0.05132980030095138,0.046998154986097246,0.05216964405095138,0.1144356308747808,4.348294802319547,4.7206768680756905,-7.105263157894739
0.2,1.25,1001,6,0.2485652053839353,0.003382579251029193,0.0006765158502058386,0.014677730753239915,0.051131119327884195,0.019541019246760077,0.0519709630778842,0.10576282639081398,4.510212334868343,4.837245921713551,-7.105263157894739
0.2,1.275,1001,1,0.23209501490046516,0.003378427290626888,0.0006756854581253776,0.0009203204852903379,0.0475415482857672,0.049340096181376275,0.04818607953576718,0.10826836165425513,4.5605152830107905,4.873118847123687,-7.105263157894739
0.2,1.275,1001,2,0.22660691882095682,0.0033366274098055467,0.0006673254819611093,0.004567775594218004,0.04758334816658854,0.05482819226088462,0.04822787941658852,0.1109497367219974,4.522183509870202,4.845954183964601,-7.105263157894739
0.2,1.275,1001,3,0.2375870569899682,0.0034199549749154984,0.0006839909949830997,0.006412362574793384,0.047500020601478586,0.04384805409187323,0.04814455185147857,0.105802851282764,4.600883059334279,4.901569939782493,-7.105263157894739
0.2,1.275,1001,4,0.22112271408268766,0.0032945584625711046,0.000658911692514221,0.010051980332487165,0.04762541711382298,0.06031239699915378,0.048269948363822965,0.11383117715269431,4.485799969492361,4.820033408398608,-7.105263157894739
0.2,1.275,1001,5,0.24308309578975368,0.0034612047403356837,0.0006922409480671367,0.011908401374578853,0.0474587708360584,0.03835201529208776,0.04810330208605838,0.10356924139576812,4.643326112756288,4.9313154922562665,-7.105263157894739
0.2,1.275,1001,6,0.2156423422834952,0.003252220785920266,0.0006504441571840532,0.015532352131679639,0.04766775479047382,0.06579276879834625,0.0483122860404738,0.11689737531689445,4.45126509135045,4.795304179285667,-7.105263157894739
0.2,1.3,1001,1,0.27064463896604984,0.003808794863146147,0.0007617589726292294,0.002124182712782474,0.04290226454055362,0.02353043271278249,0.04417179579055361,0.09142358249981382,4.699455868579872,4.9828231072783575,-7.105263157894739
0.2,1.3,1001,2,0.27616623878260327,0.0038505461893603137,0.0007701092378720628,0.00339741710377095,0.04286051321433945,0.018008832896229066,0.04413004446433944,0.09007863986530107,4.68016177808463,4.971800292942346,-7.105263157894739
0.2,1.3,1001,3,0.2651272434258894,0.00376672474866158,0.0007533449497323161,0.007641578252942927,0.042944334655038184,0.029047828252942942,0.044213865905038174,0.09307652807924917,4.717952631392541,4.9932873597950245,-7.105263157894739
0.2,1.3,1001,4,0.28169205305693457,0.0038919639929209447,0.0007783927985841889,0.008923231378102248,0.04281909541077882,0.012483018621897768,0.04408862666077881,0.08905646387123617,4.660264748155821,4.960330988727343,-7.105263157894739
0.2,1.3,1001,5,0.2596140352942841,0.0037243505511910056,0.0007448701102382012,0.0131547863845482,0.04298670885250876,0.034561036384548216,0.044256240102508754,0.09502065242892033,4.735382882221296,5.00303836736626,-7.105263157894739
0.2,1.3,1001,6,0.28722208494253965,0.003933034012515701,0.0007866068025031404,0.014453263263707328,0.04277802539118407,0.006952986736292688,0.04404755664118406,0.08836907269394838,4.639912374660811,4.948500883668565,-7.105263157894739
