curve_family,curve_stem,curve_label,n_points,n_success,n_accepted,ci_mae,ci_max,cr_mae,cr_max,shooting_dist_mean
ci_level,0.01,$c_i = 0.01$,45,45,0,0.17159561773008963,0.5418464939350176,,,0.6698443535006348
ci_level,0.03,$c_i = 0.03$,54,54,0,0.15884341289027107,0.5433018947133115,,,0.5639104091285659
ci_level,0.05 (1),$c_i = 0.05$,42,42,0,0.22467185144050322,0.5508159105531415,,,0.5979830859524312
ci_level,0.07,$c_i = 0.07$,33,33,1,0.2532444197891797,0.5281273696036455,,,0.7682344948428186
ci_level,0.1,$c_i = 0.10$,23,23,0,0.3053410579387258,0.5378253543302125,,,0.9110341189573646
ci_special,ci01,"$c_r = 0,\; c_i = 0.01$",27,27,0,0.6012444538478443,0.7421204560520549,7.381028786294718e-13,4.652311062778336e-12,1.255593444035554
ci_special,ci02,"$c_r = 0,\; c_i = 0.02$",57,57,1,0.16709867988431973,0.47621505784537554,0.0005513374687781817,0.006705562935972696,0.6027420938756536
cr_special,cr0,"$c_i = 0,\; c_r = 0.00$",37,37,0,0.5255935216956849,0.6648306671157073,6.619303380097065e-12,9.339837888761898e-11,1.1398880835839347
