mode_index,alpha,Mach,accepted,gep_cr,gep_ci,distance_to_shooting
0,0.2,1.0,False,0.06471015527509302,0.003846360243222802,0.18212372424156403
1,0.2,1.025,False,0.10333416187833223,0.004444571648087329,0.1774911918912149
2,0.2,1.05,False,0.13240235077186108,0.004795898556545943,0.16995475239303565
3,0.2,1.075,False,0.1518494099492841,0.005020286367566826,0.16124019709118653
4,0.2,1.1,False,0.18105094689585816,0.005396560006735097,0.15188545500371858
5,0.2,1.125,False,0.19084731430716562,0.005551079479036405,0.14236042392719636
6,0.2,1.15,False,0.21041005273380833,0.005855472335827502,0.13277532124115526
7,0.2,1.175,False,0.23002209113267194,0.0061871107804319725,0.123382085300943
8,0.2,1.2,False,0.23986856963727496,0.006430913991795688,0.11410366780113398
9,0.2,1.225,False,0.2595619836121656,0.006824741650785186,0.10523463065586901
10,0.2,1.25,False,0.269449401338611,0.007135553322925697,0.09643517512460617
11,0.2,1.275,False,0.2793520034480304,0.00748497567861789,0.0881561004253713
12,0.2,1.3,True,0.766497361544398,0.00500183734569255,0.01113277323570164
13,0.2,1.325,True,0.7664960552448612,0.0049001039938147755,0.010879042795505866
14,0.2,1.35,True,0.757506310175314,0.004989638416888245,0.010576502712057642
15,0.2,1.375,True,0.7575077090129534,0.004931982919578513,0.010647054128078095
16,0.2,1.4,True,0.7575100623299039,0.004894770421013535,0.010558162977982465
17,0.2,1.425,True,0.7575132122444417,0.004875539370168055,0.010534238222637245
18,0.2,1.45,True,0.7575170552007607,0.004872476412541351,0.010514248011296214
19,0.2,1.475,True,0.7575215238288754,0.004884239760584823,0.010547203040878056
20,0.2,1.5,True,0.7575265762173443,0.0049098437965033916,0.01057985662187699
21,0.2,1.525,True,0.7575321894399052,0.004948581953228258,0.010649594888103402
22,0.2,1.55,True,0.7575383556814701,0.004999974701155394,0.01075180013115086
23,0.2,1.5750000000000002,True,0.7575450800692256,0.005063734801496372,0.010858918183527782
24,0.2,1.6,True,0.7575523797328101,0.005139745123542234,0.010967725251144948
25,0.2,1.625,True,0.7575602838600433,0.005228046242904106,0.01116018525525031
26,0.2,1.65,True,0.7575688347119528,0.0053288323688160085,0.011346008204232982
27,0.2,1.675,True,0.7575780896596833,0.005442455099476719,0.011525766333185765
28,0.2,1.7000000000000002,True,0.7575881245308556,0.005569435432134294,0.011792106801765947
29,0.2,1.725,True,0.7575990387223351,0.005710485381596428,0.012055023181166752
30,0.2,1.75,True,0.7576109629001856,0.00586654182238748,0.012346957261533061
31,0.2,1.775,True,0.7576240706654064,0.006038816987742941,0.012639503063828755
32,0.2,1.8,True,0.4772440700600927,0.008417800564451865,0.004980364815879834
