alpha,Mach,n_points,low_cr,low_ci,high_cr,high_ci,low_distance_to_shooting,high_distance_to_shooting,low_high_overlap,delta_peak_y,delta_centroid_y,delta_phase_span
0.15,1.3,561,0.2693216958292711,0.006067638092370544,0.6090442423426146,0.00799230682943862,0.12769827146642865,0.3628808987271769,0.7185533264066376,0.0,-0.2497959226513773,3.0489053347737243
0.15,1.3,801,0.2701455002308916,0.0038948440608724657,0.6057072909569022,0.005253227288948325,0.13205474885162932,0.3616685010098692,0.7249539975399468,0.0,-0.2740602729492294,3.0800532407830246
0.15,1.35,561,0.7614289482941206,0.009090467681400625,0.7614289482941206,0.009090467681400625,0.018179089900763886,0.018179089900763886,0.9999999999999998,0.0,0.0,0.0
0.15,1.35,801,0.7593919481858553,0.006293385780927751,0.7593919481858553,0.006293385780927751,0.012760753979635867,0.012760753979635867,1.0,0.0,0.0,0.0
0.15,1.4,561,0.7667155001745151,0.008119027232432987,0.7667155001745151,0.008119027232432987,0.01700786775796188,0.01700786775796188,0.9999999999999998,0.0,0.0,0.0
0.15,1.4,801,0.7629874047101248,0.005340146648434489,0.7629874047101248,0.005340146648434489,0.010734952192615565,0.010734952192615565,1.0,0.0,0.0,0.0
0.15,1.45,561,0.7665352357617339,0.006930209585365338,0.7665352357617339,0.006930209585365338,0.014730408424150916,0.014730408424150916,1.0000000000000009,0.0,0.0,0.0
0.15,1.45,801,0.7629124323318419,0.004528894600950188,0.7629124323318419,0.004528894600950188,0.009150938197392815,0.009150938197392815,1.0,0.0,0.0,0.0
0.15,1.5,561,0.766494271686498,0.006333110114848526,0.766494271686498,0.006333110114848526,0.013599055059037747,0.013599055059037747,1.0000000000000002,0.0,0.0,0.0
0.15,1.5,801,0.7628971056149805,0.0041175768770324115,0.7628971056149805,0.0041175768770324115,0.008336492299816619,0.008336492299816619,0.9999999999999994,0.0,0.0,0.0
