quantity,alpha_target,target_mach,target_level,level,Mach,alpha,level_value,distance_to_target_raw
cr,0.2,1.2,0.23697519236816028,0.15,1.1315068493150684,0.1407496612976065,0.15,0.09056442086767348
cr,0.2,1.2,0.23697519236816028,0.20,1.132876712328767,0.2163028752069848,0.2,0.06907473842013159
cr,0.2,1.2,0.23697519236816028,0.20,1.1506849315068497,0.1930001505343971,0.2,0.04980937535269041
cr,0.2,1.2,0.23697519236816028,0.20,1.1684931506849314,0.1696974258618095,0.2,0.04371415735391644
cr,0.2,1.2,0.23697519236816028,0.20,1.1945205479452057,0.1464172813487882,0.2,0.05386215863549948
cr,0.2,1.2,0.23697519236816028,0.20,1.217808219178082,0.1272504892367906,0.2,0.07489742309706607
cr,0.2,1.2,0.23697519236816028,0.25,1.1616438356164385,0.2727005870841488,0.25,0.08219836195812355
cr,0.2,1.2,0.23697519236816028,0.25,1.178082191780822,0.2493940990516333,0.25,0.0540385726889157
cr,0.2,1.2,0.23697519236816028,0.25,1.1972602739726028,0.2233478849917206,0.25,0.02350808014900001
cr,0.2,1.2,0.23697519236816028,0.25,1.2232876712328766,0.1959468613578203,0.25,0.023637757175825332
cr,0.2,1.2,0.23697519236816028,0.25,1.247945205479452,0.1699157007376186,0.25,0.05660218892035359
cr,0.2,1.2,0.23697519236816028,0.25,1.2698630136986302,0.1479978925184405,0.25,0.08709224917051266
cr,0.2,1.25,0.2338874746306954,0.20,1.1945205479452057,0.1464172813487882,0.2,0.07713026214369521
cr,0.2,1.25,0.2338874746306954,0.20,1.217808219178082,0.1272504892367906,0.2,0.07955376841339909
cr,0.2,1.25,0.2338874746306954,0.25,1.178082191780822,0.2493940990516333,0.25,0.08724647935689457
cr,0.2,1.25,0.2338874746306954,0.25,1.1972602739726028,0.2233478849917206,0.25,0.05767670617356306
cr,0.2,1.25,0.2338874746306954,0.25,1.2232876712328766,0.1959468613578203,0.25,0.027018076190129033
cr,0.2,1.25,0.2338874746306954,0.25,1.247945205479452,0.1699157007376186,0.25,0.030154390105425716
cr,0.2,1.25,0.2338874746306954,0.25,1.2698630136986302,0.1479978925184405,0.25,0.05566649347422233
cr,0.2,1.25,0.2338874746306954,0.25,1.2931506849315069,0.132951979527322,0.25,0.07973342247365796
cr,0.2,1.25,0.2338874746306954,0.30,1.2657534246575342,0.2551294595815144,0.3,0.05733609423557235
cr,0.2,1.25,0.2338874746306954,0.30,1.2863013698630137,0.2332078880024086,0.3,0.04919911868633249
cr,0.2,1.25,0.2338874746306954,0.30,1.3136986301369862,0.1920743639921722,0.3,0.06418980594656086
cr,0.2,1.275,0.23117469441517483,0.20,1.217808219178082,0.1272504892367906,0.2,0.09253859254315806
cr,0.2,1.275,0.23117469441517483,0.25,1.1972602739726028,0.2233478849917206,0.25,0.08117012219038094
cr,0.2,1.275,0.23117469441517483,0.25,1.2232876712328766,0.1959468613578203,0.25,0.05187092518330261
cr,0.2,1.275,0.23117469441517483,0.25,1.247945205479452,0.1699157007376186,0.25,0.04046018992364708
cr,0.2,1.275,0.23117469441517483,0.25,1.2698630136986302,0.1479978925184405,0.25,0.05225521802446266
cr,0.2,1.275,0.23117469441517483,0.25,1.2931506849315069,0.132951979527322,0.25,0.06946138792730451
cr,0.2,1.275,0.23117469441517483,0.30,1.2657534246575342,0.2551294595815144,0.3,0.05589952119037983
cr,0.2,1.275,0.23117469441517483,0.30,1.2863013698630137,0.2332078880024086,0.3,0.03507826658147675
cr,0.2,1.275,0.23117469441517483,0.30,1.3136986301369862,0.1920743639921722,0.3,0.03950189464579944
cr,0.2,1.275,0.23117469441517483,0.30,1.3383561643835615,0.1701640824928497,0.3,0.07002989032470607
cr,0.2,1.3,0.2727688216788323,0.25,1.2232876712328766,0.1959468613578203,0.25,0.0768193290632505
cr,0.2,1.3,0.2727688216788323,0.25,1.247945205479452,0.1699157007376186,0.25,0.06012292985779222
cr,0.2,1.3,0.2727688216788323,0.25,1.2698630136986302,0.1479978925184405,0.25,0.06010371973391182
cr,0.2,1.3,0.2727688216788323,0.25,1.2931506849315069,0.132951979527322,0.25,0.0673969596214261
cr,0.2,1.3,0.2727688216788323,0.30,1.2657534246575342,0.2551294595815144,0.3,0.06490057963097881
cr,0.2,1.3,0.2727688216788323,0.30,1.2863013698630137,0.2332078880024086,0.3,0.035922364805375265
cr,0.2,1.3,0.2727688216788323,0.30,1.3136986301369862,0.1920743639921722,0.3,0.015826186330209862
cr,0.2,1.3,0.2727688216788323,0.30,1.3383561643835615,0.1701640824928497,0.3,0.04859400497707787
cr,0.2,1.3,0.2727688216788323,0.30,1.378082191780822,0.1331853078428421,0.3,0.10276688066372758
