prev_mach,prev_cluster_id,prev_cr,prev_ci,next_mach,next_cluster_id,next_cr,next_ci,match_score
1.3,0,0.8098978235422346,0.0041293480351578685,1.275,0,0.8182300238670818,0.004043953582309865,0.013299717351145317
1.3,4,0.11331562128195834,0.005241546964099477,1.275,3,0.12299473224568977,0.00524516902724197,0.01919257385797507
1.3,1,0.3550128566361019,0.18920454588386887,1.275,1,0.3641031259245912,0.19310471608589083,0.04119438371121566
1.3,2,0.2399872809009258,0.007205731559377675,1.275,2,0.25962888207390084,0.0072315485869471376,0.11179160392339732
1.275,0,0.8182300238670818,0.004043953582309865,1.25,0,0.8264327746017085,0.003973851725120785,0.011813328213162612
1.275,1,0.3641031259245912,0.19310471608589083,1.25,1,0.37320252717970526,0.19549809125651296,0.04286087101899082
1.275,3,0.12299473224568977,0.00524516902724197,1.25,4,0.13267712021634806,0.005252398537917417,0.045525045905779424
1.275,2,0.25962888207390084,0.0072315485869471376,1.25,3,0.2793158893679417,0.007255290090602366,0.1521663720441248
1.25,0,0.8264327746017085,0.003973851725120785,1.2,0,0.8345073695606436,0.004092872113156794,0.02191018018030574
1.25,4,0.13267712021634806,0.005252398537917417,1.2,4,0.15205034452427896,0.005286228837975724,0.037272644319638205
1.25,3,0.2793158893679417,0.007255290090602366,1.2,3,0.32875971877282667,0.007403699021924954,0.06860754132031488
1.25,2,0.2891969146320243,0.007372668413357496,1.2,2,0.3387091505948392,0.007496598096036648,0.0709658273478935
1.25,1,0.37320252717970526,0.19549809125651296,1.2,1,0.3917388157095406,0.19530527412757753,0.0965602275721715
