family_rank,family_source_cluster,n_points,mach_min,mach_max,cr_min,cr_max,ci_mean,omega_i_mean,distance_to_shooting_mean,distance_to_shooting_max,overlap_to_reference_start_min,overlap_to_previous_min,stage1_mismatch_mean,stage2_mismatch_mean,centroid_y_mean,spread_y_mean,phase_span_mean
1,0,4,1.2,1.3,0.8098978235422346,0.8345073695606436,0.004060006363936328,0.0008120012727872657,0.4420968779433531,0.6064007215900072,0.9981166754506128,0.9993841181014476,0.02498274417409557,26.581947564073367,0.16222700710035454,1.84523075931432,3.137867979722567
2,1,4,1.2,1.3,0.3550128566361019,0.3917388157095406,0.19327815683846256,0.03865563136769251,0.36350924974256466,0.555438202685372,0.9892232495418809,0.9968433578403333,0.044107048830334825,5.651941866875668e-28,-0.24228299834414777,2.224346285179841,2.2782216359012017
3,2,4,1.2,1.3,0.2399872809009258,0.32875971877282667,0.007274067314713033,0.0014548134629426067,0.21326182272144897,0.5218197804707098,0.9971921317164731,0.9993820078680334,0.023540307522782952,1.2845140251634292e-23,-2.9719831002854695,2.2002848142137337,1.4662935353451072
4,3,1,1.3,1.3,0.23017286335840953,0.23017286335840953,0.007066021976380111,0.0014132043952760224,0.5316230244264594,0.5316230244264594,0.9999999999999997,,0.0369288848808916,3.1554436208840472e-30,-2.8367253043707747,2.271967128194564,0.8573040590447686
5,4,4,1.2,1.3,0.11331562128195834,0.15205034452427896,0.005256335841808647,0.0010512671683617293,0.28650661183635034,0.6483771712332818,0.9929545020822275,0.9984269916517073,0.052698039034728424,4.535950205020818e-30,-0.5372780794397249,2.415410870225042,0.048497657090558415
