quantity,alpha_target,target_mach,target_level,level,Mach,alpha,level_value,distance_to_target_raw
ci,0.2,1.2,0.06222266952409093,0.05,1.1369294605809128,0.2457742066130228,0.05,0.07793055199128467
ci,0.2,1.2,0.06222266952409093,0.05,1.160442600276625,0.2376168206444909,0.05,0.05458766406684443
ci,0.2,1.2,0.06222266952409093,0.05,1.189488243430152,0.2294900009934053,0.05,0.03130746212606171
ci,0.2,1.2,0.06222266952409093,0.05,1.2213001383125863,0.2199972490314298,0.05,0.029216191760055413
ci,0.2,1.2,0.06222266952409093,0.05,1.2544951590594744,0.2077497077095895,0.05,0.055043440394850776
ci,0.2,1.2,0.06222266952409093,0.07,1.1272475795297372,0.21119032881716,0.07,0.0736080032558829
ci,0.2,1.2,0.06222266952409093,0.07,1.1576763485477175,0.2003087198062096,0.07,0.04232477737889517
ci,0.2,1.2,0.06222266952409093,0.07,1.1936376210235131,0.1853140307038659,0.07,0.01600492300535793
ci,0.2,1.2,0.06222266952409093,0.07,1.2268326417704012,0.1744477048516388,0.07,0.0370528062598185
ci,0.2,1.2,0.06222266952409093,0.07,1.26417704011065,0.1636043037374965,0.07,0.0737789887691367
ci,0.2,1.2,0.06222266952409093,0.1,1.1507607192254494,0.1422594621856445,0.1,0.07588462609966554
ci,0.2,1.2,0.06222266952409093,0.1,1.1825726141078838,0.1341479256932823,0.1,0.06811908300564681
ci,0.2,1.2,0.06222266952409093,0.03,1.164591977869986,0.2735513475925205,0.03,0.0816304401791104
ci,0.2,1.2,0.06222266952409093,0.03,1.197786998616874,0.2654474526795199,0.03,0.06548485654989032
ci,0.2,1.2,0.06222266952409093,0.03,1.2337482710926695,0.2559776254556292,0.03,0.0653639071154335
ci,0.2,1.2,0.06222266952409093,0.03,1.272475795297372,0.2437606504512353,0.03,0.08466247948118323
ci,0.2,1.25,0.05451369857891339,0.05,1.189488243430152,0.2294900009934053,0.05,0.06731517541951144
ci,0.2,1.25,0.05451369857891339,0.05,1.2213001383125863,0.2199972490314298,0.05,0.03497959447594691
ci,0.2,1.25,0.05451369857891339,0.05,1.2544951590594744,0.2077497077095895,0.05,0.008959041497506615
ci,0.2,1.25,0.05451369857891339,0.05,1.2835408022130013,0.199622888058504,0.05,0.03354292215219314
ci,0.2,1.25,0.05451369857891339,0.05,1.3195020746887969,0.1846281989561602,0.05,0.07118167357809518
ci,0.2,1.25,0.05451369857891339,0.07,1.1936376210235131,0.1853140307038659,0.07,0.058244274036647795
ci,0.2,1.25,0.05451369857891339,0.07,1.2268326417704012,0.1744477048516388,0.07,0.03449124924799802
ci,0.2,1.25,0.05451369857891339,0.07,1.26417704011065,0.1636043037374965,0.07,0.0390593800863684
ci,0.2,1.25,0.05451369857891339,0.07,1.2946058091286308,0.1485790483177063,0.07,0.06807196544784516
ci,0.2,1.25,0.05451369857891339,0.1,1.1825726141078838,0.1341479256932823,0.1,0.09424939288261659
ci,0.2,1.25,0.05451369857891339,0.03,1.197786998616874,0.2654474526795199,0.03,0.08372315435811234
ci,0.2,1.25,0.05451369857891339,0.03,1.2337482710926695,0.2559776254556292,0.03,0.05828904909267319
ci,0.2,1.25,0.05451369857891339,0.03,1.272475795297372,0.2437606504512353,0.03,0.049195080060556534
ci,0.2,1.25,0.05451369857891339,0.03,1.309820193637621,0.2342984648067063,0.03,0.06895534971950577
ci,0.2,1.275,0.050919975576394085,0.05,1.2213001383125863,0.2199972490314298,0.05,0.057302400596069
ci,0.2,1.275,0.050919975576394085,0.05,1.2544951590594744,0.2077497077095895,0.05,0.021920457832361122
ci,0.2,1.275,0.050919975576394085,0.05,1.2835408022130013,0.199622888058504,0.05,0.008549123689479975
