alpha,Mach,n_points,n_raw_modes,n_inside_blumen_box,nearest_cr,nearest_ci,nearest_distance_to_blumen,min_err_cr,min_err_ci,blumen_cr,blumen_ci
0.2,1.2,561,302,0,0.23986856963727496,0.006430913991795688,0.05586673086369764,0.0028933772691146775,0.05107937067715959,0.23697519236816028,0.06222266952409093
0.2,1.2,801,423,0,0.23578224947109053,0.004109983400425993,0.0581249292581356,0.0011929428970697542,0.054423847656550395,0.23697519236816028,0.06222266952409093
0.2,1.2,1001,464,0,0.2375310967797008,0.0031168603217157907,0.05910842335219528,0.0005559044115405198,0.05594458617778319,0.23697519236816028,0.06222266952409093
0.2,1.25,561,307,0,0.2301253479822088,0.006636873766185317,0.048024409950231634,0.0037621266484866023,0.04277900088713315,0.2338874746306954,0.05451369857891339
0.2,1.25,801,426,0,0.2358299448763391,0.004342138752804699,0.05020914862891039,0.0019424702456437015,0.04622925334053145,0.2338874746306954,0.05451369857891339
0.2,1.25,1001,465,0,0.23207908495479315,0.0032642654848933778,0.05128132862629773,0.0018083896759022444,0.04786136067236249,0.2338874746306954,0.05451369857891339
0.2,1.275,561,300,0,0.2301504667171229,0.0068376839893224475,0.04409418866409794,0.0010242276980519383,0.03893577666786856,0.23117469441517483,0.050919975576394085
0.2,1.275,801,424,0,0.2289858896895097,0.004420700730482362,0.04655076183396715,0.0021888047256651277,0.042436565905788495,0.23117469441517483,0.050919975576394085
0.2,1.275,1001,459,0,0.23209501490046516,0.003378427290626888,0.04755045534170602,0.0009203204852903379,0.044141057434648474,0.23117469441517483,0.050919975576394085
0.2,1.3,561,301,0,0.2695146399011502,0.0076156757568558815,0.03923058400707421,0.003254181777682108,0.03447122964977365,0.2727688216788323,0.04671105940369977
0.2,1.3,801,424,0,0.2702903057384373,0.00498455603106724,0.041800049341754436,0.0024785159403949986,0.038087146045997985,0.2727688216788323,0.04671105940369977
0.2,1.3,1001,459,0,0.27064463896604984,0.003808794863146147,0.04295481876233362,0.002124182712782474,0.039778525629569295,0.2727688216788323,0.04671105940369977
