alpha,Mach,n_points,rank,cand_cr,cand_ci,cand_omega_i,distance_to_shooting,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.15,1.3,561,1,0.2693216958292711,0.006067638092370544,0.0009101457138555815,0.12769827146642865,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,2,0.27916704563837796,0.006170592212538846,0.0009255888318808268,0.12797758266667042,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,3,0.25948901660199714,0.005963899674113019,0.0008945849511169528,0.12817787919677293,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,4,0.2890252288215082,0.006272788236570043,0.0009409182354855063,0.12901375184989497,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,5,0.24966881234579252,0.005859321689524049,0.0008788982534286073,0.1294052244526631,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,6,0.29889637369134076,0.006374223963727572,0.0009561335945591357,0.13079172115486426,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,7,0.23986085610926755,0.005753818579952192,0.0008630727869928288,0.13135677549051852,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,8,0.30878057221263666,0.006474868996920327,0.0009712303495380489,0.1332847661962573,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,9,0.23006489096885777,0.005647272644489512,0.0008470908966734268,0.13399851239576266,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,10,0.31867787786784674,0.006574664552947251,0.0009861996829420878,0.1364566574038928,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,11,0.2202806312562022,0.005539531378803955,0.0008309297068205932,0.13728842755214116,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,12,0.3285883031865528,0.0066735229443575855,0.0010010284416536379,0.14026427867264668,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,13,0.21050776370972937,0.005430403875728678,0.0008145605813593017,0.1411792686645648,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,14,0.3385118168583275,0.006771326798284712,0.0010156990197427067,0.1446603167443513,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,15,0.20074594852317207,0.005319656009887689,0.0007979484014831533,0.14562116703430686,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,16,0.3484483403305551,0.006867928086923498,0.0010301892130385247,0.1495957094600558,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,17,0.19099482030206721,0.005207004112855253,0.000781050616928288,0.1505638985310678,0.26794921875,0.0699130859375,0.010486962890624998,True
0.15,1.3,561,18,0.35839774378165984,0.006963147061311359,0.0010444720591967038,0.1550216594494664,0.26794921875,0.0699130859375,0.010486962890624998,True
