alpha,Mach,rank_cr,candidate_cr,candidate_ci,y,p_real,p_imag,p_abs,rho_real,rho_imag,rho_abs
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-7.105263157894739,0.6944444444444445,1.2283813353751862e-16,0.6944444444444445,1.0,1.6378417805002484e-16,1.0
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.9722758754597205,0.694153532111918,-2.684685176165719e-06,0.6941535321171095,0.9995810862411619,-3.8659466536786354e-06,0.9995810862486377
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.843896055032944,0.6932807951143176,-1.0738740698213874e-05,0.6932807951974878,0.9983243449646173,-1.5463786605460737e-05,0.9983243450843823
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.71988760225557,0.6919472049101292,-2.301070187211819e-05,0.6919472052927395,0.9964039750705859,-3.313541069586821e-05,0.9964039756215447
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.600030279708814,0.6901390021565249,-3.967622418832736e-05,0.6901390032970217,0.9938001631053959,-5.7133762831161916e-05,0.9938001647477113
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.484118397624675,0.6879691249851174,-5.9602890528244445e-05,0.6879691275669952,0.9906755399785692,-8.582816236064415e-05,0.9906755436964731
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.371959632216871,0.6854124769390673,-8.311784280306417e-05,0.6854124819787886,0.9869939667922567,-0.0001196896936364124,0.9869939740494554
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.263373957351273,0.6825755152995275,-0.00010910136078051463,0.6825755240187875,0.9829087420313195,-0.00015710595952394762,0.982908754587054
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.158192677072612,0.6794238025908858,-0.00013801072852235156,0.6794238166078815,0.9783702757308755,-0.00019873544907217643,0.9783702959153494
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-6.056257548051246,0.6760585641240189,-0.00016873357833428694,0.6760585851806414,0.9735243323385872,-0.00024297635280136335,0.9735243626601237
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.957419982348386,0.6724376637144779,-0.0002018387604919006,0.672437694006419,0.9683102357488481,-0.0002906478151083631,0.9683102793692433
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.861540322052194,0.6686580958667984,-0.00023621696123031074,0.6686581375910005,0.9628676580481895,-0.0003401524241716868,0.9628677181310406
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.768487178337671,0.6646713766367298,-0.00027253257489711285,0.6646714325094542,0.9571267823568907,-0.0003924469078518736,0.9571268628136138
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.678136828372153,0.6605710705470621,-0.00030967601208626937,0.6605711431351843,0.9512223415877694,-0.00044593345740425903,0.9512224461146653
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.590372664244996,0.6563034579991429,-0.0003483934655724328,0.6563035504700852,0.9450769795187656,-0.0005016865904242966,0.9450771126769224
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.505084688759872,0.6519593132594472,-0.0003875725848411696,0.6519594284602674,0.938821411093604,-0.0005581045221712777,0.938821576982785
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.422169053505371,0.6474805978414852,-0.0004280296029463187,0.6474807393201036,0.9323720608917386,-0.0006163626282427284,0.9323722646209492
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.341527635124964,0.6429558064066893,-0.0004686476298301131,0.6429559772042539,0.9258563612256325,-0.0006748525869553727,0.9258566071741255
0.2,1.2,1,0.2375310967797008,0.0031168603217157907,-5.26306764615103,0.638323338706727,-0.0005103028934940703,0.6383235426856401,0.9191856077376869,-0.0007348361666314677,0.9191859014673217
