mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
0,0.2,1.4,True,0.7575100623299039,0.004894770421013535,0.000978954084202707,0.010558162977982465,nearest_to_target,561
1,0.19,1.4,True,0.7575000377433084,0.005102730166536314,0.0009695187316418997,0.010917786243996367,composite_branch_score,561
2,0.18,1.4,True,0.7574947615235336,0.0054274274066703895,0.00097693693320067,0.011557953022997444,composite_branch_score,561
3,0.17,1.4,True,0.7574992438822863,0.005926135047694017,0.001007442958107983,0.012464753762702403,composite_branch_score,561
4,0.16,1.4,True,0.7575331561346332,0.006748110527488126,0.0010796976843981002,0.014052966174396756,composite_branch_score,561
5,0.15,1.4,True,0.7578134767011243,0.008602768767142594,0.0012904153150713892,0.017549606761097163,composite_branch_score,561
6,0.14,1.4,True,0.7617029348176682,0.008298180277125996,0.0011617452387976395,0.016581653060995412,composite_branch_score,561
7,0.13,1.4,True,0.7618139884472513,0.007148245736017319,0.0009292719456822515,0.014297854294023398,composite_branch_score,561
8,0.12,1.4,True,0.7617770631411813,0.006962509614471859,0.000835501153736623,0.01391179919247235,composite_branch_score,561
9,0.11,1.4,True,0.761606790723426,0.007516366859678912,0.0008268003545646804,0.01498474692269275,composite_branch_score,561
10,0.1,1.4,True,0.7587777591280566,0.008858615803841705,0.0008858615803841706,0.017910023674054903,composite_branch_score,561
11,0.09,1.4,False,0.576969030337432,0.007918462128240922,0.000712661591541683,0.328289844806994,composite_branch_score,561
12,0.08,1.4,False,0.46776833996994477,0.006710026478016038,0.000536802118241283,0.2442966121152322,composite_branch_score,561
13,0.07,1.4,False,0.4079182753934763,0.005951881129120984,0.0004166316790384689,0.2096448640675021,composite_branch_score,561
14,0.06,1.4,False,0.35818978115654293,0.005360682142024404,0.00032164092852146424,0.18788998623680692,composite_branch_score,561
15,0.05,1.4,False,0.3284561310538991,0.00499680641138143,0.00024984032056907154,0.1812736298068875,composite_branch_score,561
16,0.04,1.4,False,0.2988199654383501,0.004660531034043858,0.00018642124136175432,0.17538007645094236,composite_branch_score,561
17,0.03,1.4,False,0.4870706958827043,0.006438054039023134,0.000193141621170694,0.27516212664193945,composite_branch_score,561
18,0.02,1.4,False,0.5951051406984404,0.005572831631663469,0.00011145663263326939,0.16632151739394058,composite_branch_score,561
19,0.01,1.4,False,0.4077749265804066,0.005560715961266817,5.560715961266817e-05,0.31071631292946017,composite_branch_score,561
