Mach,eta,alpha,ci,M_key,eta_key,stage,point_index,global_anchor_budget
0.68,0.02,0.0146642422238586,0.676832220746013,0.68,0.02,modal_pretraining,811,340
0.7,0.05,0.0357071421427142,0.6338226755671641,0.7,0.05,modal_pretraining,823,340
0.7,0.06,0.0428485705712571,0.623895550446348,0.7,0.06,modal_pretraining,824,340
0.725,0.02,0.0137749773139559,0.6491196679101838,0.725,0.02,modal_pretraining,875,340
0.77,0.02,0.0127608777127594,0.6212662627100992,0.77,0.02,modal_pretraining,926,340
0.815,0.02,0.011589219128138,0.5932366609372816,0.815,0.02,modal_pretraining,977,340
0.85,0.05,0.0263391343821318,0.5473164191292811,0.85,0.05,modal_pretraining,991,340
