N,shoot_ci,gep_raw_index,gep_cr,gep_ci,gep_abs_err_vs_shoot,gep_rel_err_vs_shoot,n_admissible
401,0.009902524045228182,746,-3.467317363207283e-11,0.0072706285828301916,0.00263189546239799,0.26578026474636485,4
501,0.009902524045228182,940,8.184944319136713e-11,0.008796401639591556,0.001106122405636626,0.11170105728444489,5
601,0.009902524045228182,1136,2.7141122549766373e-10,0.00937778253542623,0.0005247415098019511,0.05299068271940355,6
