step,ci_anchor_loss
1,0.030717523275201174
100,0.00016148502142774654
200,0.0001069070709073851
300,7.238285466494236e-05
400,4.744681186194733e-05
500,3.040847913209566e-05
600,1.93224007521949e-05
700,1.2360311148878034e-05
800,8.038218353389086e-06
900,5.338452188213242e-06
1000,3.6387500875875055e-06
1100,2.5660739067058566e-06
1200,1.8869770648127435e-06
1300,1.4503084412371562e-06
1400,1.1593630870055952e-06
1500,9.550905395291146e-07
1600,8.033658986906617e-07
1700,6.852319963054229e-07
1800,5.901828041463102e-07
1900,5.120989026751034e-07
2000,4.470649651463508e-07
2100,3.9231219813895483e-07
2200,3.4574337604340153e-07
2300,3.0572316014021766e-07
2400,2.709748487833266e-07
2500,2.4051453271697517e-07
2600,2.1359718110746296e-07
2700,1.8966758730202006e-07
2800,1.6831570451652283e-07
2900,1.4923756885876372e-07
3000,1.3220284852783063e-07
