run_id,regime,case_id,solver,sweep_name,sweep_type,Mach,alpha,Ly,n_points,mapping_kind,mapping_scale,xi_max,rtol,atol,max_step,matching_y,seed_cr,seed_ci,reference_cr,reference_ci,cr,ci,omega_i,riccati_mismatch,amplitude_mismatch,runtime_seconds,converged,branch_identifier,branch_distance,branch_relative_distance,branch_check_passed,mode_file,config_hash,error_message,accuracy_label,accuracy_order,Ly_multiplier,selection_source,n_finite_modes,validation_status,reference_run_id,reference_error_message,abs_error_cr,abs_error_ci,abs_error_omega_i,complex_error_c,relative_error_ci,core_threshold,common_grid_size,phase_alignment_residual,modal_error_message,mode_error_p_core,mode_error_p_full,mode_error_rho_core,mode_error_rho_full,mode_error_u_core,mode_error_u_full,mode_error_v_core,mode_error_v_full,mode_error_max_core,mode_error_max_full,common_y_min,common_y_max,alignment_real,alignment_imag,n_core_points
subsonic_interior__subsonic_mstab17__shooting_box__0a93fe865b3b,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,40.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673247809221434,0.1336623904610717,1.744764855533016e-05,1.262177448353619e-29,3.3890266669914126,True,subsonic_cr0_physical,9.335492580142546e-06,3.492069289674989e-05,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_interior__subsonic_mstab17__shooting_box__0a93fe865b3b/mode.npz,0a93fe865b3b82f05f1413481c8710fdce4ad23875222b996760a7b6f8ca909d,,,,0.5,,,robust_reference_primary,subsonic_interior__subsonic_mstab17__shooting_box__f76a83b25a5e,,0.0,8.678629804803606e-07,4.339314902124247e-07,8.678629804803606e-07,3.246463571394708e-06,0.001,2000,0.00029409150046524933,,7.164393255316793e-05,7.164394129708958e-05,7.164393255316793e-05,7.164394129708958e-05,0.0005577667203201462,0.000557766537857943,0.00010024043507714933,0.00010024043002818472,0.0005577667203201462,0.000557766537857943,-40.0,40.0,0.9999271716667733,0.00081705129255379,846.0
subsonic_interior__subsonic_mstab17__shooting_box__149306a233a5,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,60.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673235520453759,0.1336617760226879,2.1541141941640945e-05,6.184669496932733e-28,2.7782808339688927,True,subsonic_cr0_physical,1.0564369347654257e-05,3.95174753201549e-05,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_interior__subsonic_mstab17__shooting_box__149306a233a5/mode.npz,149306a233a599e123deeeb54ee1351f8d9352410bf5c87faca27b5c169df67d,,,,0.75,,,robust_reference_primary,subsonic_interior__subsonic_mstab17__shooting_box__f76a83b25a5e,,0.0,2.0967397479920713e-06,1.0483698740237912e-06,2.0967397479920713e-06,7.843391599424973e-06,0.001,2000,0.00022758864935775176,,5.1557168571888186e-05,5.1557176298557555e-05,5.1557168571888186e-05,5.1557176298557555e-05,0.0004335025438603257,0.000433502401761504,7.186011466171859e-05,7.186011231840155e-05,0.0004335025438603257,0.000433502401761504,-60.0,60.0,0.999947327643445,0.000825947821553576,564.0
subsonic_interior__subsonic_mstab17__shooting_box__c563f678d2d0,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673225801506519,0.1336612900753259,2.6633894873981852e-05,2.0194839173657902e-28,3.4062447081087157,True,subsonic_cr0_physical,1.153626407168762e-05,4.315298109497951e-05,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_interior__subsonic_mstab17__shooting_box__c563f678d2d0/mode.npz,c563f678d2d0516bcde08ff75f3e8e19445c4d0f05c8e027c1df616d0011f09e,,,,1.0,,,robust_reference_primary,subsonic_interior__subsonic_mstab17__shooting_box__f76a83b25a5e,,0.0,3.068634471969922e-06,1.5343172360127166e-06,3.068634471969922e-06,1.1479012529906877e-05,0.001,2000,0.00020709661698868642,,2.3821792536134723e-05,2.3821796949489563e-05,2.3821792536134723e-05,2.3821796949489563e-05,0.0003990322013052026,0.0003990320728418664,5.994991299242351e-05,5.994990247999524e-05,0.0003990322013052026,0.0003990320728418664,-80.0,80.0,0.9999956491761142,0.00047658972586662145,424.0
subsonic_interior__subsonic_mstab17__shooting_box__f76a83b25a5e,subsonic,subsonic_interior,subsonic_mstab17,shooting_box,shooting_box,0.5,0.5,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.2673341164147236,0.0,0.2673341164147236,0.0,0.2673256487851239,0.1336628243925619,1.7030881637125933e-05,3.2311742677852644e-27,4.591356332995929,True,subsonic_cr0_physical,8.467629599662185e-06,3.167433215492067e-05,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_interior__subsonic_mstab17__shooting_box__f76a83b25a5e/mode.npz,f76a83b25a5e1f740f82552452541078af5bf7e8429e443749254d7fc999b122,,,,1.25,,,robust_reference_primary,subsonic_interior__subsonic_mstab17__shooting_box__f76a83b25a5e,,0.0,0.0,0.0,0.0,0.0,0.001,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.0,0.0,338.0
subsonic_neutral__subsonic_mstab17__shooting_box__1ec1da986337,subsonic,subsonic_neutral,subsonic_mstab17,shooting_box,shooting_box,0.49,0.86,100.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.007751080898254,0.0066659295724984,1.3466278202921649e-05,1.746651640129672e-24,2.513861292041838,True,subsonic_cr0_neutral,8.974846510420922e-07,0.0001157749166356,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_neutral__subsonic_mstab17__shooting_box__1ec1da986337/mode.npz,1ec1da98633759646a199ee26999950f80e1bd9f98376ffd7457c46a39f87b11,,,,1.25,,,secondary_near_neutral,subsonic_neutral__subsonic_mstab17__shooting_box__1ec1da986337,,0.0,0.0,0.0,0.0,0.0,0.001,2000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,100.0,1.0,0.0,214.0
subsonic_neutral__subsonic_mstab17__shooting_box__21784cf8d536,subsonic,subsonic_neutral,subsonic_mstab17,shooting_box,shooting_box,0.49,0.86,80.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.0077406245647093,0.00665693712565,1.732852111885729e-06,3.155443620884047e-26,2.3440276669571176,True,subsonic_cr0_neutral,1.1353818195724253e-05,0.0014646349144577,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_neutral__subsonic_mstab17__shooting_box__21784cf8d536/mode.npz,21784cf8d5360fb5034680db01b67fb719ec9f97203a38e41a6528ea00ffa049,,,,1.0,,,secondary_near_neutral,subsonic_neutral__subsonic_mstab17__shooting_box__1ec1da986337,,0.0,1.0456333544700373e-05,8.992446848400497e-06,1.0456333544700373e-05,0.001349016180060223,0.001,2000,0.0003067588969257115,,4.406168816011627e-05,4.4061692410729485e-05,4.4061688160111845e-05,4.406169241072506e-05,0.0007198361152098521,0.0007198359665554523,4.774816660873873e-05,4.7748169345211517e-05,0.0007198361152098521,0.0007198359665554523,-80.0,80.0,0.9999956614142014,3.571167213279534e-05,268.0
subsonic_neutral__subsonic_mstab17__shooting_box__cb4c27a34903,subsonic,subsonic_neutral,subsonic_mstab17,shooting_box,shooting_box,0.49,0.86,40.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.0077481325443948,0.0066633939881795,9.6357351331293e-06,4.696562285323816e-26,3.0804541249526665,True,subsonic_cr0_neutral,3.845838510280024e-06,0.000496110582398,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_neutral__subsonic_mstab17__shooting_box__cb4c27a34903/mode.npz,cb4c27a34903ab5c54806a230604412faf2c0cc7a21c080c6627670a797f6dd0,,,,0.5,,,secondary_near_neutral,subsonic_neutral__subsonic_mstab17__shooting_box__1ec1da986337,,0.0,2.948353859200635e-06,2.535584318900247e-06,2.948353859200635e-06,0.000380379704186132,0.001,2000,0.0007523213024578379,,9.213411920074165e-05,9.213413052543006e-05,9.213411920073351e-05,9.21341305254219e-05,0.0017703855791238127,0.0017703852130127628,9.427628966013482e-05,9.427630045807207e-05,0.0017703855791238127,0.0017703852130127628,-40.0,40.0,0.9999446757562099,5.5362833769547154e-05,536.0
subsonic_neutral__subsonic_mstab17__shooting_box__f7f085e234e4,subsonic,subsonic_neutral,subsonic_mstab17,shooting_box,shooting_box,0.49,0.86,60.0,,,,,1e-10,1e-12,,1.0,0.0,0.0077519783829051,0.0,0.0077519783829051,0.0,0.0077439416120549,0.0066597897863672,4.223496113979643e-06,1.1152599933652577e-25,2.2666226669680327,True,subsonic_cr0_neutral,8.036770850167012e-06,0.0010367380368203,True,classic_supersonic/reproducibility/results/classical_convergence/runs/subsonic_neutral__subsonic_mstab17__shooting_box__f7f085e234e4/mode.npz,f7f085e234e407bfe4951dde95ea8735f0c36524be6f6c713865859dd160038a,,,,0.75,,,secondary_near_neutral,subsonic_neutral__subsonic_mstab17__shooting_box__1ec1da986337,,0.0,7.1392861991006334e-06,6.139786131200559e-06,7.1392861991006334e-06,0.000921069756955939,0.001,2000,0.0005946269690452178,,7.478723650172391e-05,7.47872419144125e-05,7.478723650173839e-05,7.478724191442694e-05,0.0013988293065223302,0.0013988290254542532,7.673569257090932e-05,7.673569740854502e-05,0.0013988293065223302,0.0013988290254542532,-60.0,60.0,0.9999540000606495,5.607346970612578e-05,358.0
supersonic_M140__supersonic_gep__supersonic_gep_resolution__a34b2f61e402,supersonic,supersonic_M140,supersonic_gep,supersonic_gep_resolution,supersonic_gep_resolution,1.4,0.18125,123.7373737373735,301.0,pin,5.0,0.98,,,,,0.3153193678544234,0.0427209194542578,0.3153193678544234,0.0427209194542578,0.6792205774281455,0.0498050896206322,0.0090271724937396,,,12.028990874998271,False,supersonic_M140_branch_guided,0.3639701578373756,1.1438400532471782,False,classic_supersonic/reproducibility/results/classical_convergence/runs/supersonic_M140__supersonic_gep__supersonic_gep_resolution__a34b2f61e402/mode.npz,a34b2f61e40276ffa7f25c7f684d766619a9579bca2751b3b51bd8eb915b2e4d,,,,,nearest_to_target,112.0,modal_spectral_validated_with_exported_fields,,"No converged branch-validated run for {'case_id': 'supersonic_M140', 'solver': 'supersonic_gep', 'sweep_type': 'supersonic_gep_resolution'}",,,,,,0.001,2000,,reference unavailable,,,,,,,,,,,,,,,
supersonic_M140__supersonic_gep__supersonic_gep_resolution__c33690b9aec1,supersonic,supersonic_M140,supersonic_gep,supersonic_gep_resolution,supersonic_gep_resolution,1.4,0.18125,123.7373737373735,241.0,pin,5.0,0.98,,,,,0.3153193678544234,0.0427209194542578,0.3153193678544234,0.0427209194542578,0.7643264794633692,0.0467196405869023,0.008467934856376,,,6.155294999945909,False,supersonic_M140_branch_guided,0.4490249169546217,1.4111395504797677,False,classic_supersonic/reproducibility/results/classical_convergence/runs/supersonic_M140__supersonic_gep__supersonic_gep_resolution__c33690b9aec1/mode.npz,c33690b9aec17c4059f854b453bdefafde387c817dcd98d258ea17d1a088343b,,,,,nearest_to_target,94.0,modal_spectral_validated_with_exported_fields,,"No converged branch-validated run for {'case_id': 'supersonic_M140', 'solver': 'supersonic_gep', 'sweep_type': 'supersonic_gep_resolution'}",,,,,,0.001,2000,,reference unavailable,,,,,,,,,,,,,,,
