raw_index,cr,ci,omega_i,admissible,p_overlap_previous,ci_jump
976,0.09917827024183583,0.01159190426701113,0.00458144671906361,True,0.9999995034661526,4.61366497350197e-05
978,0.0931342499585032,0.004992422685440144,0.0019731459133492278,True,0.9312422770684161,0.006553344931835967
982,0.06802024354961231,3.844760837136511e-12,1.519557659996539e-12,True,0.8503737089448256,0.01154576761343135
984,0.02694659279663219,1.0025254507034575e-12,3.962262654268272e-13,True,0.7943228561925184,0.011545767616273584
985,5.084731727445427e-11,0.011121993497118324,0.004395724761274086,True,0.7711897634311177,0.0004237741201577865
992,-0.026946592732637074,1.9426846675491717e-13,7.678036404809956e-14,True,0.7365605180140334,0.011545767617081842
995,-0.0882260590588656,6.017343274239985e-13,2.378223367466997e-13,True,0.5604301664070828,0.011545767616674377
997,-0.09917827022399232,0.011591904242681885,0.0045814467094480085,True,0.5149477708448766,4.6136625405774484e-05
998,-0.09313424996380722,0.00499242272979776,0.0019731459308806056,True,0.5065631128873002,0.00655334488747835
979,0.0949465363528861,1.326302373881606e-12,5.241920153359672e-13,True,0.3858284906608556,0.011545767615949809
1000,-0.09494653635868579,7.428605084519762e-16,2.935993742507642e-16,True,0.20372108174280742,0.011545767617275368
