raw_index,cr,ci,omega_i,admissible,p_overlap_previous,ci_jump
986,5.50128192511919e-11,0.013478881561314805,0.0052997861350944685,True,0.9999940427887315,0.0011350397358815892
987,-1.736349274466767e-10,3.3074673982677743e-12,1.3004691657745125e-12,True,0.9990334993051244,0.014613921293888927
983,0.04747661215799941,4.4355739414108575e-12,1.7440314442218843e-12,True,0.9852008719703522,0.014613921292760821
995,-0.047476612216914765,4.896586975427591e-14,1.9252980036664046e-14,True,0.9852008719227072,0.014613921297147428
1003,-0.09918493567721332,0.011684190702562805,0.0045941283483762335,True,0.7741308042084644,0.002929730594633589
977,0.09918493569450183,0.0116841906815037,0.004594128340095965,True,0.7741308037657209,0.002929730615692695
980,0.09310195759594954,0.005026381638655793,0.0019763322050915695,True,0.7686007259341344,0.009587539658540601
1002,-0.0931019576212819,0.005026381626478245,0.0019763322003034573,True,0.7686007251957341,0.00958753967071815
1004,-0.09494678209504324,3.545963305525346e-16,1.3942438084858296e-16,True,0.3243486246475405,0.01461392129719604
979,0.09494678209642374,3.777608350683607e-12,1.4853247481771885e-12,True,0.3243486240761,0.014613921293418786
