point_id,Mach,eta,alpha,canonical_chart_id,selected_chart,selected_source,seed_chart_path,ci_ref,seed_method,gep_regime,N,mapping_kind,mapping_scale,xi_max,n_candidates,ci_seed_runtime,ci_seed_release,ci_gep_seeded,cr_gep_seeded,ci_gep_central,cr_gep_central,central_fallback,t_seed_provider_s,t_gep_init_s,t_gep_solve_s,t_candidate_filter_s,t_selector_seeded_s,t_selector_central_s,t_gep_common_s,t_total_gep_seeded_s,t_total_gep_central_s,t_classical_s,ci_classical_runtime,classical_success,classical_source,classical_primary_success,classical_secondary_used,execution_order,success,error,seed_vs_release_abs,gep_seeded_abs_err,gep_central_abs_err,classical_abs_err,speedup_seeded_vs_classical,speedup_central_vs_classical,seeded_overhead_fraction
OFFGRID_0001,0.1501592574793525,0.8642279982470455,0.854429226982608,NEUTRAL2_LOWM,NEUTRAL2_LOWM,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_NEUTRAL2_LOWM_M0.10_0.40_eta0.80_0.92_ciIDW,0.0888286745377249,CiGridIDW,standard_N301,301,pin,5.0,0.98,1,0.0916906261001581,0.0916906261001581,0.0888409214390891,1.085091126105882e-14,0.0888409214390891,1.085091126105882e-14,False,0.000507264,0.000520032,9.872570455,0.004569503,1.6001e-05,8.688e-06,9.87765999,9.878183255,9.877668678,8.055283391,0.0888372733737827,True,secondary_neutral,True,True,classical_then_gep,True,,4.163336342344337e-17,1.2246901364199037e-05,1.2246901364199037e-05,8.598836057832626e-06,0.8154620321426704,0.8155045136248696,5.209498483651925e-05
OFFGRID_0002,0.9583486963921384,0.1767770713187233,0.0504876603518869,HM2_VLOW_MOD,HM2_VLOW_MOD,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM2_VLOW_MOD_M0.85_0.98_eta0.12_0.25_ciIDW,0.4312690636545718,CiGridIDW,longwave_map10_N301,301,pin,10.0,0.99,120,0.4332282099855946,0.4332282099855946,0.4317088317778562,-4.027730209266493e-14,0.4317088317778562,-4.027730209266493e-14,False,0.000508339,0.00051862,5.833363028,0.004173372,7.6649e-05,1.8798e-05,5.8380550200000005,5.8386400080000005,5.838073818000001,2.001246698,0.4312514239029436,True,primary,True,False,classical_then_gep,True,,0.0,0.0004397681232844,0.0004397681232844,1.7639751628217848e-05,0.3427590492405641,0.3427922908116952,9.698232972904828e-05
OFFGRID_0003,0.763056999675404,0.1031581019968346,0.0666742994665267,HM1_VLOW_EXTREME,HM1_VLOW_EXTREME,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM1_VLOW_EXTREME_M0.70_0.85_eta0.05_0.12_ciIDW,0.5498182624935805,CiGridIDW,standard_N301,301,pin,5.0,0.98,134,0.5559163920295785,0.5559163920295785,0.5498842933163394,-2.811341395841489e-13,0.5498842933163394,-2.811341395841489e-13,False,0.000511806,0.000554124,11.296884334,0.004245571,8.5381e-05,2.1701e-05,11.301684029000002,11.302281216000004,11.301705730000002,2.120548121,0.5497935535982188,True,primary,True,False,classical_then_gep,True,,0.0,6.603082275891126e-05,6.603082275891126e-05,2.47088953616581e-05,0.1876212492393181,0.1876308029655272,5.092027820836563e-05
OFFGRID_0004,0.5170693375861489,0.5598378936344495,0.4791896142649015,HIGH_HIM,HIGH_HIM,core,assets/pinn_subsonic/seedGEP_pq2d_REPAIR_HIGH_HIM_M0.35_0.70_eta0.50_0.65_ciIDW,0.2770389733779503,CiGridIDW,standard_N301,301,pin,5.0,0.98,134,0.2846716940471454,0.2846716940471454,0.2770927448811861,-4.3725181650071706e-15,0.2770927448811861,-4.3725181650071706e-15,False,0.000493314,0.000525248,7.679374253000001,0.00414225,7.5832e-05,2.0568e-05,7.684041751,7.684610897000001,7.684062319000001,1.869967022,0.2770490714946085,True,primary,True,False,gep_then_classical,True,,0.0,5.377150323582214e-05,5.377150323582214e-05,1.0098116658252554e-05,0.243339194015668,0.2433565664057962,7.139166462037087e-05
OFFGRID_0005,0.1328783810978405,0.0864899576040803,0.0857229949585971,VLOW_EXTREME_CI_ONLY,VLOW_EXTREME_CI_ONLY,core,assets/pinn_subsonic/seedGEP_pQscaled2d_ATLAS_VLOW_EXTREME_M010_070_eta005_012_ciIDW,0.8435561219963619,CiGridIDW,standard_N301,301,pin,5.0,0.98,1,0.8507614858029423,0.8507614858029423,0.8436232460213493,4.131091790764164e-14,0.8436232460213493,4.131091790764164e-14,False,0.000503037,0.000510029,5.879978809000001,0.00428444,1.4015e-05,5.531e-06,5.884773278000001,5.88529033,5.884778809000001,2.0673553460000003,0.8435493648232003,True,primary,True,False,gep_then_classical,True,,0.0,6.712402498743053e-05,6.712402498743053e-05,6.757173161564545e-06,0.3512749975072173,0.351305531286622,8.692272328345909e-05
OFFGRID_0006,0.7336593611594919,0.5187831274953748,0.3525221790916363,HM1_MID,HM1_MID,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pq2d_ATLAS_HM1_MID_M0.70_0.85_eta0.35_0.55_ciIDW,0.2607496656391755,CiGridIDW,standard_N301,301,pin,5.0,0.98,131,0.2644766255026039,0.2644766255026039,0.2607994592695901,-1.7998487936088813e-13,0.2607994592695901,-1.7998487936088813e-13,False,0.00049973,0.000551686,7.492105391000001,0.004364482,7.6439e-05,1.6078e-05,7.497021559,7.497597728,7.497037637,1.898923469,0.2607390328471526,True,primary,True,False,classical_then_gep,True,,0.0,4.979363041462959e-05,4.979363041462959e-05,1.0632792022902128e-05,0.2532709192850417,0.2532898407269927,7.470830841710655e-05
OFFGRID_0007,0.2091052451163215,0.2691023175860971,0.2631533107666388,LOW,LOW,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW,0.5933927553489929,CiGridIDW,standard_N301,301,pin,5.0,0.98,1,0.6074021211412763,0.6074021211412763,0.5934751653513208,2.1258187153499575e-14,0.5934751653513208,2.1258187153499575e-14,False,0.000489958,0.000524914,5.6464938700000005,0.00411501,1.5676e-05,5.091e-06,5.651133794,5.651639428,5.651138885,1.895990745,0.5933949414652148,True,primary,True,False,gep_then_classical,True,,0.0,8.241000232789286e-05,8.241000232789286e-05,2.186116221825074e-06,0.3354762399750177,0.3355059543895815,8.857382736227726e-05
OFFGRID_0008,0.5365367820999808,0.3194289818637784,0.2695587501708273,LOW,LOW,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_LOW_M010_070_eta0.25_0.40_ciIDW,0.4587105259454351,CiGridIDW,standard_N301,301,pin,5.0,0.98,137,0.4674831773817184,0.4674831773817184,0.4587609973271375,2.9655231987549115e-14,0.4587609973271375,2.9655231987549115e-14,False,0.00053058,0.000509126,8.228591655,0.004020205,7.891300000000001e-05,1.6072e-05,8.233120986000001,8.233730479,8.233137058,1.877436807,0.4586867015684214,True,primary,True,False,gep_then_classical,True,,5.551115123125783e-17,5.0471381702388296e-05,5.0471381702388296e-05,2.3824377013703657e-05,0.228017763246972,0.2280341981159813,7.207714335606464e-05
OFFGRID_0009,0.6763304594873472,0.4182804570652573,0.30810468893147,MID,MID,core,assets/pinn_subsonic/seedGEP_pq2d_ATLAS_MID_M010_070_eta0.35_0.55_ciIDW,0.3407368893973738,CiGridIDW,standard_N301,301,pin,5.0,0.98,133,0.3408869998675579,0.3408869998675579,0.3408148990265389,-4.626874529506543e-14,0.3408148990265389,-4.626874529506543e-14,False,0.000512879,0.000512689,11.682524555,0.004056972,7.6032e-05,2.2145e-05,11.687094216000002,11.687683127000003,11.687116361000005,1.90495624,0.3407609584412936,True,primary,True,False,gep_then_classical,True,,5.551115123125783e-17,7.800962916515441e-05,7.800962916515441e-05,2.4069043919883185e-05,0.1629883544326517,0.1629962585430272,4.84949394267766e-05
OFFGRID_0010,0.9728673763086998,0.1231976094503044,0.0285034298430144,HM2_VLOW_MOD,HM2_VLOW_MOD,extension,assets/pinn_subsonic/local_atlas_ext_M005_098_eta005_098/seedGEP_pQscaled2d_ATLAS_HM2_VLOW_MOD_M0.85_0.98_eta0.12_0.25_ciIDW,0.4560269098663282,CiGridIDW,longwave_map10_N301,301,pin,10.0,0.99,117,0.4584138745995493,0.4584138745995493,0.456486767525223,9.276226842708492e-14,0.456486767525223,9.276226842708492e-14,False,0.000377182,0.001005827,6.9206784500000005,0.004405155,7.8224e-05,1.9869e-05,6.926089432,6.926544838000001,6.926109301,1.988861038,0.4560173099110703,True,primary,True,False,gep_then_classical,True,,0.0,0.0004598576588948,0.0004598576588948,9.599955257844073e-06,0.2871360951984066,0.2871541512798312,6.28833564520194e-05
