epoch,loss,loss_anchor,loss_monotone,loss_smooth,anchor_mae,anchor_max_abs,anchor_mean_rel,anchor_max_rel
1,8.533906936645508,0.08529502153396606,0.004405471961945295,0.0006016587722115219,0.04254864901304245,0.06019052863121033,0.30757832527160645,0.8525955677032471
100,0.09385347366333008,0.0009385347366333008,0.0,2.7769784927368164,0.026894012466073036,0.051124341785907745,0.3298649489879608,1.1547349691390991
200,0.07817108184099197,0.0007817108416929841,0.0,2.4254472255706787,0.02406642585992813,0.047844648361206055,0.306566059589386,1.0806572437286377
300,0.044453445822000504,0.0004445344675332308,0.0,2.173975706100464,0.015492511913180351,0.03547415882349014,0.22674374282360077,0.8012474775314331
400,0.02817123383283615,0.0002817123313434422,0.0,2.2129204273223877,0.014565471559762955,0.02392551302909851,0.1649395227432251,0.5404006242752075
500,0.017489494755864143,0.00017489494348410517,0.0,1.906376600265503,0.011820707470178604,0.018077358603477478,0.12655849754810333,0.40830954909324646
600,0.0019472154090180993,1.9472154235700145e-05,0.0,2.9803528785705566,0.0033712126314640045,0.007516220211982727,0.047797512263059616,0.1697673201560974
700,1.708803574729245e-05,1.7088035519918776e-07,0.0,5.50439453125,0.0002808608114719391,0.0007512867450714111,0.0046026804484426975,0.016969159245491028
800,1.1465574090152586e-07,1.1465574045743665e-09,0.0,5.851565361022949,2.2716820240020752e-05,6.161630153656006e-05,0.00037645362317562103,0.001391714671626687
900,4.045461743373835e-10,4.045461882151713e-12,0.0,5.8816962242126465,1.346692442893982e-06,3.6731362342834473e-06,2.2401887690648437e-05,8.296436863020062e-05
1000,1.2132655990981789e-12,1.2132655990981789e-14,0.0,5.88352108001709,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
1001,1.021405182655144e-12,1.021405182655144e-14,0.0,5.883522987365723,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
1100,1.021405182655144e-12,1.021405182655144e-14,0.0,5.883522987365723,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
1200,1.021405182655144e-12,1.021405182655144e-14,0.0,5.883522987365723,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
1300,1.021405182655144e-12,1.021405182655144e-14,0.0,5.883522987365723,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
1400,1.021405182655144e-12,1.021405182655144e-14,0.0,5.883522987365723,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
1500,1.021405182655144e-12,1.021405182655144e-14,0.0,5.883522987365723,7.450580596923828e-08,1.7881393432617188e-07,1.0925588185273227e-06,4.038833594677271e-06
