chart_id,field_family,Mach,eta,alpha,y,p_re_even,p_im_odd,q_re_odd,q_im_even
VLOW_EXTREME_CI_ONLY,pQscaled,0.285838657617569,0.11340534389019012,0.10867381870806653,11.45023413002491,0.0007966807626796912,-0.0002680525794080124,0.001804841707975624,0.0005385968433658794
VLOW_EXTREME_CI_ONLY,pQscaled,0.656227171421051,0.05349226821213961,0.04036330688508045,44.83444780111313,-0.00152336836937228,-0.00010757552906145908,-0.0009997295737708134,-0.0007143312703562013
VLOW_EXTREME_CI_ONLY,pQscaled,0.2436124712228775,0.09296935379505157,0.09016843385255961,29.084652960300446,-0.00042635200022167474,4.792869801552172e-05,0.0009169111509763905,-0.00027897054817336425
VLOW_EXTREME_CI_ONLY,pQscaled,0.4735174536705017,0.08226699352264405,0.07245948741511483,21.1658875644207,-0.00027305053089654585,-0.00014797364935264026,-0.0007993298803415372,0.00020912326208142457
VLOW_EXTREME_CI_ONLY,pQscaled,0.10030537284910679,0.06741273999214173,0.06707275722916273,19.13293644785881,-0.001036715698575108,-8.230505298827823e-05,-0.0011839260342947355,0.00045668763455166544
VLOW_EXTREME_CI_ONLY,pQscaled,0.480209493637085,0.10811631262302399,0.09483463774819241,40.587562918663025,-0.000405906847507298,0.0004930469373555552,-0.0001491882276576581,-0.00013431856847036412
VLOW_EXTREME_CI_ONLY,pQscaled,0.36760508418083193,0.06898098558187485,0.06415107425694631,50.51976561546326,-0.00013340766227387668,0.00029362672120327837,0.00014168975810553708,4.914627373377688e-05
VLOW_EXTREME_CI_ONLY,pQscaled,0.5879921674728393,0.09766237676143646,0.07899583671536645,3.1699488684535027,-0.00012507414735629663,0.0004965203949929761,-0.0016937940840610066,-0.0009290895330987189
VLOW_EXTREME_CI_ONLY,pQscaled,0.1795192539691925,0.07327450633049011,0.07208412240261465,4.349875785410404,-0.0007367270655377345,0.00041311987070677403,-6.295415101897905e-05,0.00015608940608301952
VLOW_EXTREME_CI_ONLY,pQscaled,0.4092811942100525,0.10201525509357452,0.09307956537096866,51.961611211299896,-0.00028349898587032296,0.0005494335222478572,0.0007432838291579619,4.673128227177664e-05
VLOW_EXTREME_CI_ONLY,pQscaled,0.2965944051742554,0.06308497175574303,0.060246371261884625,35.681473314762115,-4.3025592777135024e-05,-8.261079612211387e-05,-0.0011438521980801641,-0.0005951712059043338
VLOW_EXTREME_CI_ONLY,pQscaled,0.6671236634254455,0.10386604011058807,0.07737469392880532,14.595976769924164,-0.00043189544097821386,-0.00015439842495107436,0.00019966530888437806,0.0002509130799248985
VLOW_EXTREME_CI_ONLY,pQscaled,0.3590420603752136,0.08864217698574066,0.08273163897505906,25.884128212928772,-0.0001166665886145335,-0.0001193159112841671,0.0003457286979422769,-0.00021899963846328321
VLOW_EXTREME_CI_ONLY,pQscaled,0.5795721769332886,0.07801614314317704,0.06357698646878009,33.86318564414978,-9.257794964523391e-05,-7.139001344993925e-05,-0.0011105150738757175,-0.00047113797559790796
VLOW_EXTREME_CI_ONLY,pQscaled,0.16689338088035582,0.11769840776920318,0.11604768155958751,43.466461300849915,-7.849852976082872e-06,0.0006304515603975322,-0.0004234051598195586,3.255885065180271e-05
VLOW_EXTREME_CI_ONLY,pQscaled,0.5466567516326905,0.057845590114593504,0.04843739772776595,10.250172168016434,-0.0014107779038653456,0.000240181549510117,-0.003236960039698644,0.0006288127137453782
VLOW_EXTREME_CI_ONLY,pQscaled,0.14677249491214753,0.09919218897819518,0.09811796493934717,7.606019824743271,-9.585002583445412e-05,0.0003201758774009876,0.0001668040182899455,0.0013753566985529563
VLOW_EXTREME_CI_ONLY,pQscaled,0.5170096516609192,0.0742710953950882,0.06357454011889642,42.64960527420044,-3.725400317722283e-05,0.00022647055361533228,0.0008531776114334283,-0.00031231545521686124
VLOW_EXTREME_CI_ONLY,pQscaled,0.32961466908454895,0.10499928116798402,0.09913145398789261,31.216617226600647,-0.0006168646333051253,0.0002119675373588076,0.0008039779926754115,-0.00025717981034361834
VLOW_EXTREME_CI_ONLY,pQscaled,0.5590850710868835,0.05930494114756584,0.04917033732180169,25.062971115112305,-0.0008220620440431148,-0.00015176588438025468,-0.00017735080724506913,0.00024438118127405317
VLOW_EXTREME_CI_ONLY,pQscaled,0.3170817792415619,0.07943782538175582,0.07533869058344052,17.001809775829315,-0.0008994820413291693,-0.00014641356361053126,-0.000530252000063347,0.0003293468644238115
VLOW_EXTREME_CI_ONLY,pQscaled,0.6965507507324218,0.08515048742294312,0.061096115674593734,36.689641773700714,4.602285071930723e-06,-2.53609600075937e-05,-0.0013487812245816522,-0.0004461203268056879
VLOW_EXTREME_CI_ONLY,pQscaled,0.20916607677936555,0.054764124080538754,0.05355274887814423,54.363143146038055,0.0004390654242905079,0.00010851545358054671,0.0005026490565256114,0.00012192951032454456
VLOW_EXTREME_CI_ONLY,pQscaled,0.42940237522125246,0.11843642950057982,0.10696151255656693,5.355628579854965,0.001665467063013737,0.0006075725569835919,-0.002027830334069336,0.0013196521413893839
VLOW_EXTREME_CI_ONLY,pQscaled,0.3937365055084229,0.050299625946208834,0.04623659058516699,0.446078316308558,4.191239747541875e-05,-6.555303993231775e-05,0.0008411356231683431,-0.002158594608208858
VLOW_EXTREME_CI_ONLY,pQscaled,0.6233476519584655,0.11404946327209473,0.0891803872680867,49.836360812187195,-0.0003338405061072969,0.000533892443810776,0.00035227798585018774,5.781497185547782e-05
VLOW_EXTREME_CI_ONLY,pQscaled,0.13602706044912338,0.0838680773973465,0.08308853385274455,37.859601974487305,1.2832575480237196e-05,0.000291519128606046,8.289138334505175e-06,-0.00033905892144803565
