metric,aggregation,n,mean,median,p90,p95,p99,max
compat_abs,pooled_points,512,0.0007204328831559047,0.00042052475387976084,0.00166792487671331,0.0023851729900406767,0.004114851794589206,0.007753678857901366
compat_rel,pooled_points,512,0.033966054653961436,0.0035432793826372343,0.05127199790498056,0.14669691884667246,0.6862454031272612,0.999140377557171
ode_abs,pooled_points,512,0.014221902731575408,0.004831315449944975,0.03173604488658018,0.07020281595854932,0.14124896719064015,0.1865971218085688
ode_rel,pooled_points,512,0.5387221053967902,0.46214813493186924,0.9863008746557266,0.9983104984188842,0.9999179210016983,0.9999652979889839
bc_left_abs,pooled_points,128,3.1704361498742975e-05,2.0474841294481817e-05,6.387075076270057e-05,7.990526547314382e-05,0.00011578219710401049,0.00014186056299893025
bc_right_abs,pooled_points,128,5.506653589418324e-05,5.5442508031694135e-05,7.048113636215405e-05,9.564767858127949e-05,0.00012372133472539546,0.0002035820644648402
gauge_abs,pooled_points,128,5.648728331875813e-05,4.693176047741095e-05,0.00010308991614388508,0.00013105277874647436,0.00025097327589440784,0.0003603163591172729
q_center_abs,pooled_points,128,0.0001734370065028357,0.0001389154725286593,0.0003552316439207282,0.00041588711505485853,0.0007393266237715803,0.0010217302501819995
parity_p_re_even_abs,pooled_points,128,0.00047455825892019077,0.00031238890255541607,0.0010995838595652119,0.0015243213021049807,0.0022571949989876445,0.002483948376174494
parity_p_im_odd_abs,pooled_points,128,0.0002472051312862903,0.00019108231468429032,0.0005452206643773623,0.0005716182910040049,0.0006242742294757684,0.0007158084541269982
parity_q_re_odd_abs,pooled_points,128,0.0009479867914602284,0.0007290794360138853,0.001826839447856293,0.0022451243319580164,0.005070613987983448,0.007338402910374686
parity_q_im_even_abs,pooled_points,128,0.0004453859402297266,0.0003049172642788957,0.0008536928552594899,0.0013558601035457054,0.003003131440487618,0.0035610986741891337
