point_id,reference_tier,Mach,alpha,cr,ci,omega_i,spectral_ok,modal_ok,pinning_use,best_status,best_stage1_mismatch,best_stage2_mismatch,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,decision,source_kind,source_short,source,validation_note,original_row_index,tol_ci,tol_scaled,scale_M,scale_alpha,matched_ci_isoline,ci_abs_err_to_isoline,scaled_distance_to_isoline,nearest_isoline_M,nearest_isoline_alpha,match_score,keep_on_blumen_ci_isoline,filter_reason
M1.10_a0.175000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,True,True,YES,validated,9.209272529347948e-06,3.3933657261595065e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",0,0.012,1.0,0.05,0.025,0.1,0.007786765965101999,0.5468570095232334,1.0889892488889161,0.1624860594522399,0.8485989146814408,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.10_a0.200000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,True,True,YES,validated,1.314381709687337e-05,2.9859546502175105e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_core_band_M11_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",1,0.012,1.0,0.05,0.025,0.07,0.009179656667581498,0.6371598598328472,1.1135757472545684,0.2144103331323014,0.9955671312962505,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.20_a0.150000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,True,True,YES,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",2,0.012,1.0,0.05,0.025,0.1,0.0109460065768857,0.7235652889229899,1.1825726141078838,0.1341479256932823,1.164300543236842,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.20_a0.175000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,True,True,YES,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",3,0.012,1.0,0.05,0.025,0.07,0.006242851815757594,0.27546723748398244,1.2075443235014909,0.1807616985391135,0.5886674891403988,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.20_a0.187500,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,True,True,YES,validated,1.1222729728655301e-07,5.0165079385983805e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",4,0.012,1.0,0.05,0.025,0.07,0.0001341155135681088,0.14285463568966908,1.1960875870569063,0.18451203906033795,0.14329115973681,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.20_a0.200000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,True,True,YES,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",5,0.012,1.0,0.05,0.025,0.07,0.006501288809242403,0.5326459854247129,1.1829431510589035,0.1897732792563638,0.7597571229913875,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.20_a0.208333,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.208333,0.2439966767431603,0.0592701955657576,0.0123479376528009,True,True,YES,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",6,0.012,1.0,0.05,0.025,0.05,0.009270195565757595,0.6189607093668809,1.2158601605580976,0.22162055250621082,0.9898958476005644,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.20_a0.216667,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.2,0.216667,0.2479483075702228,0.055042805686539,0.0119259595796853,True,True,YES,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",7,0.012,1.0,0.05,0.025,0.05,0.005042805686538997,0.3327041870101521,1.2085251644320523,0.22380933437927833,0.5359930305308346,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.25_a0.250000,B_EXTENSION_VALIDATED_MODAL_SPECTRAL,1.25,0.25,0.2550098377696084,0.0304106202499422,0.0076026550624855,True,True,YES,validated,0.0285205931752853,6.926989067349518e-19,,,,,extension_or_unmatched,other_csv,shooting/supersonic_shooting_point_batch_core_v2_summary.csv,assets/classic_supersonic/shooting/supersonic_shooting_point_batch_core_v2_summary.csv,"extension point kept because best_status=validated, best_spectral_success=True, best_mode_success=True; not part of canonical FINAL23",8,0.012,1.0,0.05,0.025,0.03,0.0004106202499422028,0.028784245904757883,1.2507679553922146,0.25060860014507325,0.04471497035503193,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
M1.30_a0.100000,A_FINAL23_VALIDATED_MODAL_SPECTRAL,1.3,0.1,0.2292287978156679,0.0908323489283033,0.0090832348928303,True,True,YES,validated,1.804350463478206e-06,6.609309114153527e-19,True,True,True,True,canonical_FINAL23,canonical_FINAL23_source,shooting/supersonic_reference_core_local_modal.csv,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv,"strict FINAL23 canonical point: best_status=validated, spectral_ok=True, modal_ok=True",9,0.012,1.0,0.05,0.025,0.1,0.009167651071696703,0.6243990276887296,1.2792740102435012,0.08832611126209348,0.9866740679779572,True,"kept: ci close to isoline and point close to isoline in (M,alpha)"
