dataset,metric,n,stage2_median,stage2_p95,stage3_median,stage3_p95,median_ratio_stage3_over_stage2,fraction_points_improved
V64,r_kappa_abs,16384,0.0118692635,0.047017182499999984,0.00664032265,0.026188211549999993,0.5707695673099775,0.7281494140625
V64,r_q_abs,16384,0.011225898,0.041905253749999975,0.0062705147,0.023134005449999953,0.571207219767868,0.72381591796875
V64,r_logamp_abs,16384,0.0070072682,0.028113827699999996,0.0038708474,0.015638778949999984,0.5547821719514514,0.70025634765625
T401,r_kappa_abs,102656,0.011880942,0.04676926675,0.00650740605,0.0259695745,0.5719203390005225,0.7332352711970075
T401,r_q_abs,102656,0.011235667,0.0436679525,0.0062600335,0.02398568225,0.5688654953549759,0.7260169887780549
T401,r_logamp_abs,102656,0.00714353135,0.0292093575,0.0039738735,0.01634319,0.5538038706131732,0.7026281951371571
ALL,r_kappa_abs,119040,0.011878695750000001,0.04680812639999996,0.006527411049999999,0.0259998217,0.5717965066954926,0.7325352822580645
ALL,r_q_abs,119040,0.011234489,0.043360115799999994,0.00626114405,0.02388045239999998,0.5691258395826243,0.7257140456989247
ALL,r_logamp_abs,119040,0.007126968500000001,0.029065928949999976,0.0039593523500000005,0.016272995049999992,0.5539071795641495,0.7023017473118279
