dataset,metric,n,stage2_median,stage2_p95,stage2_max,stage3_median,stage3_p95,stage3_max,median_ratio_stage3_over_stage2,p95_ratio_stage3_over_stage2,median_delta,fraction_improved,fraction_degraded
V64,r_kappa_normalized_rms,64,0.01874932319556855,0.030116470955430092,0.0389934943566194,0.0097998450202329,0.01943890286320406,0.0264299493450259,0.5417501854648559,0.7451892438728387,-0.0083679859873876,1.0,0.0
V64,r_q_normalized_rms,64,0.016925107313149598,0.027309093708437673,0.0353110435542061,0.0095388052781589,0.01661086210975006,0.0257431848337143,0.5512314228027497,0.6621549076134287,-0.00766712611310465,1.0,0.0
V64,r_logamp_normalized_rms,64,0.01146004882563535,0.022010849219393027,0.0315365634975391,0.00691838935798155,0.011896880613354893,0.0139483021880947,0.5781625634863734,0.9416811119805818,-0.00448364654314345,0.96875,0.03125
V64,bc_kappa_rmse,64,0.0011739209853694498,0.00521314938975259,0.0084600134156526,0.0008463561726350501,0.003797608177511755,0.0052949239938886,0.7260026327402382,2.480100688322164,-0.000332130360509,0.65625,0.34375
V64,bc_q_rmse,64,0.0015691961256181501,0.0043704756172713985,0.0057271603933104,0.00102990110284245,0.0033113483372815586,0.0047337107732664,0.7083451296299297,3.5251507173880237,-0.00023194416683469999,0.625,0.375
T401,r_kappa_normalized_rms,401,0.0176871136303638,0.0317214114030977,0.0565369083931918,0.0097494695815333,0.0204461325358732,0.0325403953470462,0.5613529987733087,0.7161878036008055,-0.007883944735137101,1.0,0.0
T401,r_q_normalized_rms,401,0.0166338508433256,0.0310904379933579,0.0563616769063833,0.0093930922960651,0.0187342513027036,0.0339331197213715,0.5577664001229298,0.7078838174456976,-0.0075026039066207004,1.0,0.0
T401,r_logamp_normalized_rms,401,0.0116926040641225,0.0232269295128709,0.0346985182011306,0.0074020401371356,0.0118225266038482,0.016727387048662,0.5684804857674577,0.9456666937249028,-0.004766109385635101,0.9650872817955112,0.034912718204488775
T401,bc_kappa_rmse,401,0.0012135925829046,0.0054954010991319,0.0084037655221202,0.0009624402873782,0.0043251955430053,0.0056385535667766,0.7832350529520219,4.89172864668923,-0.00022604206080579993,0.6084788029925187,0.3915211970074813
T401,bc_q_rmse,401,0.0014085697820863,0.0042390268749131,0.0058501010011138,0.0009601649306741,0.0032648156804439,0.0060403957527603,0.751325875797929,4.179126843219336,-0.0002731972441976998,0.5835411471321695,0.4164588528678304
ALL,r_kappa_normalized_rms,465,0.0178072977573456,0.03110525888862526,0.0565369083931918,0.0097494695815333,0.020302896255677494,0.0325403953470462,0.560081587958031,0.718894931359813,-0.007986145416641102,1.0,0.0
ALL,r_q_normalized_rms,465,0.0166629330108766,0.031047488067682573,0.0563616769063833,0.0093980244748823,0.01789712124261551,0.0339331197213715,0.5566281915014673,0.7067440206500533,-0.007526965573498398,1.0,0.0
ALL,r_logamp_normalized_rms,465,0.0116456016300828,0.023207427909271935,0.0346985182011306,0.0073497122406667,0.011914610218158195,0.016727387048662,0.5698196752510878,0.9490320808421951,-0.004724775928223701,0.9655913978494624,0.034408602150537634
ALL,bc_kappa_rmse,465,0.0012115549699426,0.005485251420957818,0.0084600134156526,0.0009303717394294,0.0042071914216693755,0.0056385535667766,0.7781355593003021,4.100752923077403,-0.000234058156788,0.6150537634408603,0.3849462365591398
ALL,bc_q_rmse,465,0.0014248793514886,0.004259753180517498,0.0058501010011138,0.0009629802852307,0.0033111371477610174,0.0060403957527603,0.751325875797929,4.158372005396599,-0.0002670948095876999,0.589247311827957,0.410752688172043
