ranking_metric,stage,dataset,source_id,chart,Mach,alpha,ranking_value
r_kappa_normalized_rms,modal,T401,301,C22,1.6,0.255,0.05653690839319189
r_kappa_normalized_rms,modal,T401,340,C30,1.9,0.125,0.0494835024531809
r_kappa_normalized_rms,modal,T401,0,C00,1.0,0.055,0.04360849927634926
r_kappa_normalized_rms,modal,T401,334,C30,1.9,0.05,0.042916080044690365
r_kappa_normalized_rms,modal,T401,300,C22,1.6,0.245,0.04160353119763324
r_kappa_normalized_rms,modal,T401,388,C31,1.9,0.205,0.04059196542367971
r_kappa_normalized_rms,modal,T401,6,C00,1.0,0.125,0.04026512260423349
r_kappa_normalized_rms,modal,T401,291,C22,1.5,0.27,0.04011119619266917
r_kappa_normalized_rms,modal,T401,296,C22,1.55,0.255,0.0398313086850907
r_kappa_normalized_rms,modal,T401,299,C22,1.6,0.235,0.03966802567694377
r_kappa_normalized_rms,modal,V64,46,C22,1.55,0.26,0.03899349435661943
r_kappa_normalized_rms,modal,T401,83,C02,1.0,0.35,0.038052155722553514
r_kappa_normalized_rms,modal,T401,36,C01,1.0,0.215,0.0378463527028961
r_kappa_normalized_rms,modal,T401,290,C22,1.5,0.26,0.037434098331968084
r_kappa_normalized_rms,modal,T401,298,C22,1.6,0.225,0.035386110582588254
r_kappa_normalized_rms,modal,T401,1,C00,1.0,0.065,0.03403504283207078
r_kappa_normalized_rms,modal,V64,47,C22,1.6,0.22,0.03367119161958972
r_kappa_normalized_rms,modal,T401,295,C22,1.55,0.24,0.03351161850032625
r_kappa_normalized_rms,joint,T401,301,C22,1.6,0.255,0.03254039534704622
r_kappa_normalized_rms,modal,T401,94,C02,1.05,0.355,0.03236933711388263
r_q_normalized_rms,modal,T401,334,C30,1.9,0.05,0.05636167690638335
r_q_normalized_rms,modal,T401,36,C01,1.0,0.215,0.04264325843814884
r_q_normalized_rms,modal,T401,0,C00,1.0,0.055,0.04075919040191965
r_q_normalized_rms,modal,T401,6,C00,1.0,0.125,0.0393346840470289
r_q_normalized_rms,modal,T401,290,C22,1.5,0.26,0.03801015503614642
r_q_normalized_rms,modal,T401,292,C22,1.55,0.21,0.037797207865662666
r_q_normalized_rms,modal,T401,340,C30,1.9,0.125,0.036961387455055346
r_q_normalized_rms,modal,T401,301,C22,1.6,0.255,0.03687306977681556
r_q_normalized_rms,modal,T401,294,C22,1.55,0.225,0.0355727554129017
r_q_normalized_rms,modal,T401,83,C02,1.0,0.35,0.035349160976928834
r_q_normalized_rms,modal,T401,289,C22,1.5,0.25,0.03531741414806443
r_q_normalized_rms,modal,V64,47,C22,1.6,0.22,0.0353110435542061
r_q_normalized_rms,modal,T401,295,C22,1.55,0.24,0.03519973284422469
r_q_normalized_rms,modal,T401,291,C22,1.5,0.27,0.03498823362992234
r_q_normalized_rms,modal,T401,300,C22,1.6,0.245,0.03463855019056802
r_q_normalized_rms,modal,V64,46,C22,1.55,0.26,0.03411975783739125
r_q_normalized_rms,modal,T401,298,C22,1.6,0.225,0.03408375116779669
r_q_normalized_rms,modal,T401,299,C22,1.6,0.235,0.03402748791939221
r_q_normalized_rms,joint,T401,334,C30,1.9,0.05,0.033933119721371585
r_q_normalized_rms,modal,T401,284,C22,1.45,0.25,0.03331953042477621
r_logamp_normalized_rms,modal,T401,334,C30,1.9,0.05,0.03469851820113061
r_logamp_normalized_rms,modal,V64,13,C02,1.0,0.315,0.031536563497539145
r_logamp_normalized_rms,modal,T401,81,C02,1.0,0.32,0.03034082342402767
r_logamp_normalized_rms,modal,T401,83,C02,1.0,0.35,0.030203854671432356
r_logamp_normalized_rms,modal,V64,12,C02,1.0,0.25,0.029628081527125236
r_logamp_normalized_rms,modal,T401,79,C02,1.0,0.29,0.02859392642594717
r_logamp_normalized_rms,modal,T401,80,C02,1.0,0.305,0.028435391070168785
r_logamp_normalized_rms,modal,T401,82,C02,1.0,0.335,0.02753092467179967
r_logamp_normalized_rms,modal,T401,78,C02,1.0,0.28,0.026972912698088734
r_logamp_normalized_rms,modal,T401,71,C02,1.0,0.235,0.026868202701724256
r_logamp_normalized_rms,modal,T401,76,C02,1.0,0.27,0.026820467768452202
r_logamp_normalized_rms,modal,T401,69,C02,1.0,0.225,0.026510089821977195
r_logamp_normalized_rms,modal,T401,72,C02,1.0,0.24,0.026222144652012596
r_logamp_normalized_rms,modal,T401,77,C02,1.0,0.275,0.02622196928799682
r_logamp_normalized_rms,modal,V64,16,C02,1.05,0.35,0.026205651973347337
r_logamp_normalized_rms,modal,T401,94,C02,1.05,0.355,0.025920547640564222
r_logamp_normalized_rms,modal,T401,36,C01,1.0,0.215,0.025592784338576993
r_logamp_normalized_rms,modal,T401,340,C30,1.9,0.125,0.025517229425636917
r_logamp_normalized_rms,modal,T401,73,C02,1.0,0.245,0.024994908360083796
r_logamp_normalized_rms,modal,T401,70,C02,1.0,0.23,0.024849267101831468
bc_kappa_rmse,modal,V64,12,C02,1.0,0.25,0.008460013415652608
bc_kappa_rmse,modal,T401,74,C02,1.0,0.26,0.008403765522120204
bc_kappa_rmse,modal,T401,73,C02,1.0,0.245,0.008280480767035607
bc_kappa_rmse,modal,T401,75,C02,1.0,0.265,0.008184853247167261
bc_kappa_rmse,modal,T401,72,C02,1.0,0.24,0.007962557602689983
bc_kappa_rmse,modal,T401,76,C02,1.0,0.27,0.007860637976579581
bc_kappa_rmse,modal,T401,71,C02,1.0,0.235,0.007517918616619456
bc_kappa_rmse,modal,T401,77,C02,1.0,0.275,0.007457762910827434
bc_kappa_rmse,modal,T401,83,C02,1.0,0.35,0.007396009392479893
bc_kappa_rmse,modal,T401,78,C02,1.0,0.28,0.007011548996739326
bc_kappa_rmse,modal,T401,70,C02,1.0,0.23,0.006972337646294459
bc_kappa_rmse,modal,T401,92,C02,1.05,0.325,0.006550240656856751
bc_kappa_rmse,modal,T401,82,C02,1.0,0.335,0.006499608886374437
bc_kappa_rmse,modal,T401,93,C02,1.05,0.34,0.006412883931227524
bc_kappa_rmse,modal,T401,94,C02,1.05,0.355,0.006383459910017343
bc_kappa_rmse,modal,T401,69,C02,1.0,0.225,0.006367455093177808
bc_kappa_rmse,modal,V64,16,C02,1.05,0.35,0.006334533675785049
bc_kappa_rmse,modal,T401,91,C02,1.05,0.31,0.006308243542692666
bc_kappa_rmse,modal,T401,79,C02,1.0,0.29,0.006161089789567916
bc_kappa_rmse,modal,T401,81,C02,1.0,0.32,0.005750806056862796
bc_q_rmse,joint,T401,299,C22,1.6,0.235,0.006040395752760321
bc_q_rmse,modal,T401,94,C02,1.05,0.355,0.005850101001113854
bc_q_rmse,joint,T401,300,C22,1.6,0.245,0.005800084115231865
bc_q_rmse,modal,V64,16,C02,1.05,0.35,0.0057271603933104894
