stage,dataset,source,metric,n,median,p90,p95,max
joint,T401,independent_xi_pointwise,r_kappa_abs,102656,0.006507406011223793,0.01976853981614113,0.025969574227929115,0.3070542812347412
joint,T401,independent_xi_pointwise,r_q_abs,102656,0.006260033464059234,0.018424123525619507,0.02398568205535412,0.33869442343711853
joint,T401,independent_xi_pointwise,r_logamp_abs,102656,0.00397387333214283,0.012452466879040003,0.0163431903347373,0.18220585584640503
joint,V64,independent_xi_pointwise,r_kappa_abs,16384,0.0066403227392584085,0.019313506036996848,0.02618821179494261,0.24167223274707794
joint,V64,independent_xi_pointwise,r_q_abs,16384,0.0062705148011446,0.017710360884666446,0.02313400581479068,0.27631044387817383
joint,V64,independent_xi_pointwise,r_logamp_abs,16384,0.003870847402140498,0.011926948092877865,0.015638778731226904,0.18189585208892822
modal,T401,independent_xi_pointwise,r_kappa_abs,102656,0.011880942154675722,0.03580803610384464,0.04676926787942648,0.2970421016216278
modal,T401,independent_xi_pointwise,r_q_abs,102656,0.011235666926950216,0.0336382407695055,0.043667951598763466,0.3370972275733948
modal,T401,independent_xi_pointwise,r_logamp_abs,102656,0.007143531460314989,0.02180839143693447,0.02920935768634081,0.17937339842319489
modal,V64,independent_xi_pointwise,r_kappa_abs,16384,0.011869263369590044,0.03570504821836949,0.04701718334108589,0.2646771967411041
modal,V64,independent_xi_pointwise,r_q_abs,16384,0.011225897818803787,0.0327508956193924,0.04190525375306604,0.3160206377506256
modal,V64,independent_xi_pointwise,r_logamp_abs,16384,0.0070072682574391365,0.021069453470408925,0.028113827668130396,0.1799304485321045
joint,T401,coordinate_level,r_kappa_normalized_rms,401,0.009749469581533388,0.017123335139753768,0.020446132535873244,0.03254039534704622
joint,T401,coordinate_level,r_q_normalized_rms,401,0.009393092296065145,0.015302649403721415,0.01873425130270367,0.033933119721371585
joint,T401,coordinate_level,r_logamp_normalized_rms,401,0.007402040137135677,0.0106616530222466,0.011822526603848228,0.016727387048662067
joint,T401,coordinate_level,bc_kappa_rmse,401,0.0009624402873782298,0.003409250696884645,0.00432519554300538,0.005638553566776679
joint,T401,coordinate_level,bc_q_rmse,401,0.0009601649306741944,0.002381909141747707,0.0032648156804439693,0.006040395752760321
