epoch,loss,loss_anchor,loss_monotone,loss_smooth,anchor_mae,anchor_max_abs,anchor_mean_rel,anchor_max_rel
1,6.167393684387207,0.06167393922805786,0.0,0.00524055166170001,0.09529861807823181,0.2762942910194397,0.22830140590667725,0.4121057689189911
100,0.08683052659034729,0.0008683052728883922,0.0,2.6013717651367188,0.02565278485417366,0.05005285143852234,0.32089558243751526,1.1305334568023682
200,0.02451806515455246,0.0002451806503813714,0.0,2.124544382095337,0.013338496908545494,0.022715605795383453,0.15523912012577057,0.513072669506073
300,0.009190013632178307,9.19001322472468e-05,0.0,2.128328800201416,0.00806533731520176,0.013547427952289581,0.09268123656511307,0.3059929609298706
400,0.0007209936156868935,7.209936029539676e-06,0.0,3.922788143157959,0.0022531943395733833,0.004206959158182144,0.027819983661174774,0.09502171725034714
500,1.5945675841066986e-05,1.5945676068440662e-07,0.0,5.261728286743164,0.00031729694455862045,0.000665273517370224,0.004278523847460747,0.015026395209133625
600,0.0017043330008164048,1.7043330444721505e-05,0.0,5.31096076965332,0.003459160216152668,0.006378293037414551,0.019491616636514664,0.05720241740345955
700,2.457238679198781e-06,2.457238679198781e-08,0.0,6.073674201965332,0.00012171734124422073,0.00027400627732276917,0.001725217211060226,0.0061889230273664
800,6.302203203745194e-09,6.302203203745194e-11,0.0,6.159989356994629,5.714595317840576e-06,1.385807991027832e-05,8.655206329422072e-05,0.0003130096010863781
900,6.9610983643997315e-12,6.961098364399732e-14,0.0,6.164546012878418,2.0582228899002075e-07,4.209578037261963e-07,2.6847840217669727e-06,9.508086804999039e-06
1000,3.2282856943233185e-11,3.2282856943233185e-13,0.0,6.164669036865234,2.0954757928848267e-07,4.76837158203125e-07,4.312615828894195e-07,7.11224799943011e-07
1001,4.475586568020162e-14,4.475586568020162e-16,0.0,6.164677619934082,1.5832483768463135e-08,2.9802322387695312e-08,7.052638295590441e-08,1.312440645051538e-07
1100,4.475586568020162e-14,4.475586568020162e-16,0.0,6.164677619934082,1.5832483768463135e-08,2.9802322387695312e-08,7.052638295590441e-08,1.312440645051538e-07
1200,4.475586568020162e-14,4.475586568020162e-16,0.0,6.164677619934082,1.5832483768463135e-08,2.9802322387695312e-08,7.052638295590441e-08,1.312440645051538e-07
1300,4.475586568020162e-14,4.475586568020162e-16,0.0,6.164677619934082,1.5832483768463135e-08,2.9802322387695312e-08,7.052638295590441e-08,1.312440645051538e-07
1400,4.475586568020162e-14,4.475586568020162e-16,0.0,6.164677619934082,1.5832483768463135e-08,2.9802322387695312e-08,7.052638295590441e-08,1.312440645051538e-07
1500,4.475586568020162e-14,4.475586568020162e-16,0.0,6.164677619934082,1.5832483768463135e-08,2.9802322387695312e-08,7.052638295590441e-08,1.312440645051538e-07
