Mach_key,alpha_key,field_source_file,field_source_priority,n_y,selected_for_point
1.4,0.18125,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/curated_strict/supersonic_reference_core_local_modal_fields_CURATED.csv,1,4594,True
1.4,0.1875,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/curated_strict/supersonic_reference_core_local_modal_fields_CURATED.csv,1,4594,True
1.4,0.19375,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_modal_fields_candidates_normalized.csv,8,13780,True
1.4,0.2,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_modal_fields_candidates_normalized.csv,8,13781,True
1.5,0.1,assets/classic_supersonic/shooting/experiment_point_batch_core_v2_2026-05-22/supersonic_shooting_point_batch_core_v2_fields.csv,4,4594,True
1.5,0.125,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0,4594,True
1.5,0.1375,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0,4594,True
1.5,0.15,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0,4594,True
1.5,0.15625,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0,4594,True
1.5,0.158333,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_2026-05-28/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_fields.csv,5,4594,True
1.5,0.1625,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0,4594,True
1.5,0.165625,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_modal_fields_candidates_normalized.csv,8,4594,True
1.6,0.1,assets/classic_supersonic/shooting/experiment_pointwise_core_solid_2026-06-11/supersonic_shooting_core_band_M16_fields.csv,3,4595,True
1.6,0.125,assets/classic_supersonic/shooting/experiment_pointwise_core_solid_2026-06-11/supersonic_shooting_core_band_M16_fields.csv,3,4595,True
1.7,0.1,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3,4594,True
1.7,0.125,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3,4594,True
1.7,0.15,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3,4594,True
1.7,0.175,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3,4594,True
