Mach,alpha,cr,ci,Mach_key,alpha_key,has_merged_modal_fields,field_source_file,field_source_priority,n_y
1.5,0.15,0.3623598528407056,0.0418239381434009,1.5,0.15,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.5,0.15625,0.3652797747157056,0.0399391725184009,1.5,0.15625,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.5,0.158333,0.2399414062499999,0.0374707031249999,1.5,0.158333,True,assets/classic_supersonic/shooting/experiment_modal_front_spectral_dense_2026-05-28/assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_fields.csv,5.0,4594.0
1.5,0.1625,0.3680825090907056,0.0380056534011514,1.5,0.1625,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.5,0.165625,0.3680825090907056,0.0380056534011514,1.5,0.165625,True,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_modal_fields_candidates_normalized.csv,8.0,4594.0
1.6,0.1,0.3723024463246057,0.0286170504353144,1.6,0.1,True,assets/classic_supersonic/shooting/experiment_pointwise_core_solid_2026-06-11/supersonic_shooting_core_band_M16_fields.csv,3.0,4595.0
1.6,0.125,0.3875635867175142,0.0251098747521818,1.6,0.125,True,assets/classic_supersonic/shooting/experiment_pointwise_core_solid_2026-06-11/supersonic_shooting_core_band_M16_fields.csv,3.0,4595.0
1.7,0.1,0.4086724851271471,0.0255832924228237,1.7,0.1,True,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3.0,4594.0
1.7,0.125,0.4192415320846353,0.0221873441527381,1.7,0.125,True,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3.0,4594.0
1.7,0.15,0.4298105790421235,0.0187913958826526,1.7,0.15,True,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3.0,4594.0
1.7,0.175,0.4403796259996116,0.015395447612567,1.7,0.175,True,assets/classic_supersonic/shooting/experiment_pointwise_core_M17_2026-06-16/assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_fields.csv,3.0,4594.0
