metric,n,mean,median,p95,p99,min,max
ci_seed_abs_err,387,0.0010447176609742874,0.00041938862424723,0.001632086219847083,0.003200452716880581,2.903471556514603e-06,0.1484978281947952
ci_final_abs_err,387,0.0005922167619863676,6.791145666101839e-05,0.0015196214496054127,0.0019093542080724053,9.74726360701561e-07,0.14770367880461782
omega_final_abs_err,387,0.00011162758785551074,1.9650109528049353e-05,5.0696523132582646e-05,0.0006647250766696425,8.796428745128093e-07,0.028584362788467585
p_rel_final,387,0.0018162253822959285,5.87834704446741e-05,0.00018681306485436998,0.0013864745028805557,8.750850579288358e-06,0.6648138594582467
rho_rel_final,387,0.0018162253822959279,5.878347044467023e-05,0.00018681306485436998,0.0013864745028805557,8.750850579288358e-06,0.6648138594582466
u_rel_final,387,0.15886311625079508,0.0008212118938254,0.00374585488116671,0.0056583400866190405,0.0002689802893752,61.04749908381303
v_rel_final,387,0.011122001108487517,9.782641604674298e-05,0.0015691023135608793,0.003845355724153962,3.6189143551934285e-05,4.17788847801992
p_overlap_final,387,0.9993462195001362,0.9999999982722516,0.9999999998470811,0.9999999999483155,0.7470090576908894,0.9999999999617112
modal_error_mean,387,0.04340439203096861,0.00025914925735465107,0.0014171782805060974,0.002837434972963408,0.00011541979777040514,16.63875382018736
modal_error_max,387,0.15887048244045723,0.0008212118938254,0.00376534424394813,0.0056583400866190405,0.0002689802893752,61.04749908381303
