stage,stage_step,global_step,elapsed_seconds,loss,spectral,riccati_kappa,riccati_q,log_amp_compatibility,boundary_kappa,boundary_q,modal_kappa,modal_q,modal_log_amp
spectral_prefit,1,1,4.333705902099609,1.36076819896698,1.36076819896698,,,,,,,,
spectral_prefit,2,2,4.5339977741241455,1.3160529136657715,1.3160529136657715,,,,,,,,
spectral_prefit,3,3,4.7351977825164795,1.2733454704284668,1.2733454704284668,,,,,,,,
spectral_prefit,4,4,4.933878660202026,1.232609510421753,1.232609510421753,,,,,,,,
spectral_prefit,5,5,5.134925365447998,1.193788766860962,1.193788766860962,,,,,,,,
modal_frozen_spectrum,1,6,23.333155870437622,52.744468688964844,0.0,0.09342700988054276,0.11966890096664429,1.8595778942108154,0.16854877769947052,0.19726142287254333,36.37608337402344,1.8370394706726074,1.362259864807129
modal_frozen_spectrum,2,7,36.23353362083435,30.16199493408203,0.0,0.09946539998054504,0.10632000118494034,2.248030185699463,0.08055069297552109,0.12885481119155884,13.742626190185547,1.5440905094146729,1.3352866172790527
modal_frozen_spectrum,3,8,51.93826341629028,32.27072525024414,0.0,0.1295952945947647,0.1020481288433075,4.181044101715088,0.034514959901571274,0.07680658996105194,7.378966331481934,1.3267161846160889,1.314961314201355
modal_frozen_spectrum,4,9,64.63323283195496,23.88389778137207,0.0,0.10877306014299393,0.12742914259433746,2.6509108543395996,0.018447499722242355,0.04894968867301941,7.257645606994629,1.189822793006897,1.2716991901397705
modal_frozen_spectrum,5,10,77.43393754959106,16.125930786132812,0.0,0.0942889153957367,0.11251959204673767,1.2413345575332642,0.014063605107367039,0.033802371472120285,6.91145658493042,1.0953803062438965,1.2269537448883057
joint,1,11,90.33361864089966,73.61506652832031,1.1568059921264648,0.09962615370750427,0.09265057742595673,1.5704513788223267,0.012350876815617085,0.027177516371011734,5.122164726257324,1.0227742195129395,1.1900129318237305
joint,2,12,116.95557236671448,69.26023864746094,1.1477456092834473,0.07360449433326721,0.10118240863084793,1.3456530570983887,0.010683397762477398,0.0245957188308239,2.4539222717285156,0.962736964225769,1.2004528045654297
joint,3,13,130.7390434741974,66.76425170898438,1.1387996673583984,0.07418011128902435,0.1199597492814064,1.1217817068099976,0.010558994486927986,0.022107530385255814,1.596244215965271,0.9054878950119019,1.1928274631500244
joint,4,14,146.13863921165466,64.76942443847656,1.1299198865890503,0.09288139641284943,0.09250535070896149,0.8282837867736816,0.010486746206879616,0.019748080521821976,1.6109709739685059,0.8533611297607422,1.1799484491348267
joint,5,15,160.9358184337616,63.395973205566406,1.1211079359054565,0.08323396742343903,0.08752226084470749,0.6705436110496521,0.009502208791673183,0.017652373760938644,1.5786404609680176,0.8074735999107361,1.1594431400299072
