alpha,Mach,y,p_real,p_imag,point_id,cr_ref,ci_ref,omega_i_ref,q_real,q_imag,gamma_real,gamma_imag,Q_real,Q_imag
0.07,1.8,-1999.9999999999343,0.0001667394169913,2.2228593439626136e-05,nan,0.434396576,0.027510992,0.00192576944,-1.619726283218914e-05,-8.291036358715063e-06,-0.10195807189509415,-0.03613213923487085,-0.0002313894690312734,-0.00011844337655307231
0.07,1.8,-1179.6663837113076,-0.000353580587284,0.0036584635909704,nan,0.434396576,0.027510992,0.00192576944,1.4928705762373216e-05,1.7156295383407763e-05,0.004255354606166593,-0.004491862809208488,0.00021326722517676022,0.0002450899340486823
0.07,1.8,-836.4167479660698,0.0070059238896294,0.011374790642122,nan,0.434396576,0.027510992,0.00192576944,3.318273296860463e-05,4.762560357820233e-05,0.00433805143543925,-0.0002453385623015795,0.0004740390424086375,0.0006803657654028904
0.07,1.8,-647.8206317999015,0.0144808034251741,0.0229624301328176,nan,0.434396576,0.027510992,0.00192576944,0.00015930782284235501,-9.694879574863563e-05,0.00010953724192908141,-0.006868682219693752,0.0022758260406050713,-0.0013849827964090803
0.07,1.8,-528.5746663278279,0.0425006533743871,-0.0005404961134005,nan,0.434396576,0.027510992,0.00192576944,-3.788198903402601e-05,-0.0004561744239325972,-0.0007547052683898735,-0.010742948706574072,-0.0005411712719146573,-0.006516777484751388
0.07,1.8,-446.36760082966265,0.0239229053642881,-0.052723942961923,nan,0.434396576,0.027510992,0.00192576944,-0.00021089328462474714,0.0009266737220150887,-0.016080295332110115,0.00329630314183141,-0.003012761208924959,0.01323819602878698
0.07,1.8,-386.26228219886696,0.0119104122406206,0.0715933211739146,nan,0.434396576,0.027510992,0.00192576944,0.0008315764916277255,5.997526743040936e-05,0.002695462939096079,-0.011166857518757884,0.011879664166110363,0.0008567895347201337
0.07,1.8,-340.40165958749776,0.0861388152384612,0.0040679780868125,nan,0.434396576,0.027510992,0.00192576944,0.0008373095675977737,-0.0002490146005146638,0.009562617402980205,-0.0033424550565910767,0.011961565251396767,-0.0035573514359237683
0.07,1.8,-304.25831215571657,0.0941478927019291,0.0299160369203361,nan,0.434396576,0.027510992,0.00192576944,-0.001997081081483023,0.0018163565990742155,-0.013698697920632651,0.023645429418971783,-0.028529729735471753,0.02594795141534593
0.07,1.8,-275.039637930475,-0.0166107656815899,0.1089987379162633,nan,0.434396576,0.027510992,0.00192576944,-0.0031549422364793326,-0.0033071696422580636,-0.025341809079948284,0.03280670177852028,-0.045070603378276175,-0.04724528060368662
0.07,1.8,-250.9295590227856,-0.0800288686463758,-0.0903789673114111,nan,0.434396576,0.027510992,0.00192576944,0.0038071363132159593,0.0006779021425310106,-0.02511147130203699,0.01988840687540205,0.054387661617370846,0.00968431632187158
0.07,1.8,-230.6959948198959,0.106313827308724,0.0752668420599749,nan,0.434396576,0.027510992,0.00192576944,-0.001851069437782315,-0.0019777974056980363,-0.02037142827361727,-0.004181058499575831,-0.026443849111175928,-0.02825424865282909
0.07,1.8,-213.47358408123247,-0.087708322226648,-0.1078005645488161,nan,0.434396576,0.027510992,0.00192576944,-0.0019649854689672537,0.004303886943997944,-0.015098903365159056,-0.03051268761304244,-0.02807122098524648,0.061484099199970624
0.07,1.8,-198.6366952918491,0.0020169344489225,0.146932500403208,nan,0.434396576,0.027510992,0.00192576944,0.008019134027019394,-0.0016717094548342737,-0.010626219742229362,-0.05472285841195531,0.11455905752884848,-0.02388156364048962
0.07,1.8,-185.72178868770985,0.1277488406130678,-0.0864617127978524,nan,0.434396576,0.027510992,0.00192576944,-0.007428433259971044,-0.009003144548599924,-0.007167203782342141,-0.07532618861676092,-0.10612047514244348,-0.12861635069428462
0.07,1.8,-174.37811512213435,-0.1275305019478479,-0.0982350906351826,nan,0.434396576,0.027510992,0.00192576944,-0.008474748361251106,0.012211154917503653,-0.004583401071441186,-0.09222032312428848,-0.12106783373215865,0.17444507025005218
0.07,1.8,-164.33537735490918,-0.0879050967351514,0.1421954869877669,nan,0.434396576,0.027510992,0.00192576944,0.01528400292240342,0.008923280345098178,-0.002672627779108237,-0.10583363535467571,0.21834289889147743,0.12747543350140253
0.07,1.8,-155.3819142990345,0.1394459739997284,0.1022153457602626,nan,0.434396576,0.027510992,0.00192576944,0.011756084665164113,-0.01640574908700966,-0.0012571652891580107,-0.11672798457653771,0.1679440666452016,-0.234367844100138
0.07,1.8,-147.34961888918158,0.1356114489002678,-0.1156019776103658,nan,0.434396576,0.027510992,0.00192576944,-0.014528074310524735,-0.016987599616731575,-0.00020070037714896283,-0.12543779389708704,-0.2075439187217819,-0.24267999452473676
0.07,1.8,-140.10328341823782,-0.0615171427532782,-0.1724765473073906,nan,0.434396576,0.027510992,0.00192576944,-0.02287559792193508,0.008043170292228268,0.0005959344117287154,-0.1324176422603894,-0.326794256027644,0.11490243274611811
0.07,1.8,-133.53292673575964,-0.1860323885022001,-0.024955022936211,nan,0.434396576,0.027510992,0.00192576944,-0.0036685681212013854,0.02564897447322524,0.0012035417986786994,-0.1380351512613744,-0.052408116017162644,0.36641392104607484
0.07,1.8,-127.5481730938382,-0.1246777223356873,0.1459723628994627,nan,0.434396576,0.027510992,0.00192576944,0.020604287262160775,0.018020728997947613,0.001672419647054669,-0.14258041947899178,0.29434696088801104,0.25743898568496587
0.07,1.8,-122.07406991954784,0.0399472837121326,0.1918469482581069,nan,0.434396576,0.027510992,0.00192576944,0.02814475730140428,-0.005452417950036282,0.002038404861854377,-0.14627977572159123,0.40206796144863255,-0.07789168500051831
0.07,1.8,-117.04793236505448,0.1725062519260359,0.1006067308246664,nan,0.434396576,0.027510992,0.00192576944,0.015422958782272107,-0.02552260717567323,0.0023272432526584767,-0.1493090437220819,0.22032798260388722,-0.36460867393818897
0.07,1.8,-112.41693209837516,0.197203007284732,-0.0490334174862645,nan,0.434396576,0.027510992,0.00192576944,-0.006939147357619682,-0.0300617709790331,0.0025575731286664365,-0.15180480683461312,-0.09913067653742402,-0.42945387112904426
0.07,1.8,-108.13623328898085,0.1189393229596162,-0.1688120924846863,nan,0.434396576,0.027510992,0.00192576944,-0.025649441650659383,-0.01876466137988629,0.0027430422711078456,-0.15387343915300933,-0.3664205950094197,-0.2680665911412327
0.07,1.8,-104.16753619234468,-0.009960176489608,-0.2093720433512274,nan,0.434396576,0.027510992,0.00192576944,-0.032606710123816926,0.0009439079661091622,0.002893778675807993,-0.15559807821540772,-0.46581014462595605,0.013484399515845173
0.07,1.8,-100.47792800651072,-0.1307040642379148,-0.1675956792512185,nan,0.434396576,0.027510992,0.00192576944,-0.0267142761244881,0.02002060367127683,0.003017316066468046,-0.15704402863547576,-0.3816325160641157,0.2860086238753833
0.07,1.8,-97.03896793745304,-0.2033057150019262,-0.0708659222166636,nan,0.434396576,0.027510992,0.00192576944,-0.011849628307477617,0.03195470262273645,0.0031193416889637553,-0.15826292757155844,-0.1692804043925374,0.4564957517533778
0.07,1.8,-93.82595261259245,-0.2135753567961398,0.0432936099424439,nan,0.434396576,0.027510992,0.00192576944,0.006212134319335625,0.034160368617459747,0.0032042706450859026,-0.1592957384426867,0.08874477599050892,0.48800526596371063
0.07,1.8,-90.81732168725974,-0.1683795518119044,0.1422099980585901,nan,0.434396576,0.027510992,0.00192576944,0.02222699383570121,0.027436019021239433,0.0032754252637093527,-0.16017515494384085,0.3175284833671601,0.391943128874849
0.07,1.8,-87.99417339187909,-0.0865428309745986,0.2052508073604516,nan,0.434396576,0.027510992,0.00192576944,0.03274185193183676,0.014611717569706077,0.0033353974990169735,-0.160927535918632,0.46774074188338227,0.20873882242437253
0.07,1.8,-85.33986700524277,0.0097326674986528,0.2247734095764479,nan,0.434396576,0.027510992,0.00192576944,0.0363505090746106,-0.0008113920495124369,0.003386319146734054,-0.1615740546212568,0.5192929867801513,-0.011591314993034812
0.07,1.8,-82.83969458542177,0.1008014290531237,0.2035128681796074,nan,0.434396576,0.027510992,0.00192576944,0.03334166680686043,-0.01564515067455967,0.0034296938391298482,-0.16213200207832235,0.47630952581229186,-0.22350215249370953
0.07,1.8,-80.48060827836419,0.1725939336566679,0.1507078556898033,nan,0.434396576,0.027510992,0.00192576944,0.025105798020492814,-0.027543944349851947,0.0034669402887307806,-0.16261544593103863,0.35865425743561163,-0.3934849192835992
0.07,1.8,-78.25099252757981,0.2173458674668219,0.0784214542820969,nan,0.434396576,0.027510992,0.00192576944,0.01354600521670593,-0.03516079625707071,0.0034989782802587193,-0.16303595571109394,0.19351436023865615,-0.5022970893867245
0.07,1.8,-76.14047278970776,0.2328982609741421,-0.0012595987753427,nan,0.434396576,0.027510992,0.00192576944,0.0006155533465063562,-0.03806072882274211,0.0035267572483410224,-0.1634030514631298,0.008793619235805088,-0.5437246974677444
0.07,1.8,-74.13975410799607,0.2213210436717821,-0.0779897199592409,nan,0.434396576,0.027510992,0.00192576944,-0.011982961972548258,-0.036512642401544906,0.0035508523140663556,-0.1637246590870573,-0.17118517103640365,-0.5216091771649272
0.07,1.8,-72.24048424421895,0.1873902131142863,-0.1440220829081052,nan,0.434396576,0.027510992,0.00192576944,-0.022951329508534048,-0.031247804002250038,0.0035719368231648613,-0.16400731772591495,-0.3278761358362007,-0.44639720003214334
0.07,1.8,-70.43513711796429,0.1372269419763295,-0.194395628283515,nan,0.434396576,0.027510992,0.00192576944,-0.03143806727760691,-0.023238374712425895,0.0035903463254572327,-0.16425657205580857,-0.44911524682295584,-0.3319767816060842
0.07,1.8,-68.71691312289879,0.0772369611943658,-0.2266972310086323,nan,0.434396576,0.027510992,0.00192576944,-0.03700791946835379,-0.013521309445127853,0.003606595741709553,-0.16447700661275458,-0.5286845638336255,-0.19316156350182648
0.07,1.8,-67.07965353627473,0.0133785615960627,-0.240600700600539,nan,0.434396576,0.027510992,0.00192576944,-0.039571880366470066,-0.003074266325915301,0.003620874501721225,-0.16467251491841334,-0.565312576663858,-0.04391809037021858
0.07,1.8,-65.5177667506188,-0.0492755267828922,-0.2373301472400775,nan,0.434396576,0.027510992,0.00192576944,-0.03930207732706859,0.0072605451847704144,0.0036335480526192114,-0.16484645034627185,-0.5614582475295513,0.10372207406814878
0.07,1.8,-64.02616446536915,-0.1067415146378999,-0.2191406239614169,nan,0.434396576,0.027510992,0.00192576944,-0.03654758134245022,0.016813786994624866,0.0036447941450127503,-0.16500149466232458,-0.5221083048921459,0.2401969570660695
0.07,1.8,-62.60020630411231,-0.1561593767162121,-0.1888680051706381,nan,0.434396576,0.027510992,0.00192576944,-0.03176042274480619,0.025097914982107505,0.003654780338942304,-0.16514017023086092,-0.4537203249258027,0.35854164260153576
0.07,1.8,-61.23565158737524,-0.195717311811327,-0.1495693882825236,nan,0.434396576,0.027510992,0.00192576944,-0.02543555535725961,0.03179712355191914,0.003663742139667313,-0.1652644159232833,-0.3633650765322801,0.4542446221702734
0.07,1.8,-59.92861720511739,-0.2245129747136485,-0.1042567267161109,nan,0.434396576,0.027510992,0.00192576944,-0.01806590934442917,0.03674625855546891,0.0036717164554649195,-0.1653760088560629,-0.258084419206131,0.5249465507924129
