kind,Mach,alpha,requested_target,cr_seed,ci_seed,accepted,box_scale,seed_distance,error,cr,ci,omega_i,stage1_mismatch,stage2_mismatch,ln_p_start_right,y_limit,min_abs_U_minus_c,success,point_index,alpha_step_used
alpha_trace,1.2,0.13,True,0.1932300126720001,0.09936538017034577,True,0.0,0.0,,0.1932300126720001,0.09936538017034577,0.01291749942214495,9.954894570193973e-07,4.191454548949472e-18,-13.461982505076197,278.770688587529,0.09945180918970505,True,0,0.0
alpha_trace,1.2,0.14,True,0.1932300126720001,0.09936538017034577,True,2.0,0.013287955179807976,,0.20159947187200009,0.09420490767356504,0.013188687074299108,3.9577898120011473e-07,4.7757134294715e-18,-14.600156370683779,274.58864431876407,0.09429956567727439,True,1,0.010000000000000009
alpha_trace,1.2,0.15200000000000002,True,0.21164282291200007,0.08801234067742816,True,1.0,0.0009280155832284009,,0.21071618073600004,0.08803757557574719,0.013381711487513576,3.2803010582160435e-07,5.617614015120599e-18,-16.119800442471785,272.25255873963243,0.08811739227250347,True,2,0.01200000000000001
alpha_trace,1.2,0.16640000000000002,True,0.22165623137279997,0.08063677705836578,True,1.0,0.0011149938068356281,,0.22054158279679995,0.08065064916439668,0.01342026802095561,1.705160790855176e-07,6.924615299247018e-18,-18.223533778375426,273.1730137888923,0.08075095005212328,True,3,0.014399999999999996
alpha_trace,1.2,0.18368,True,0.23233206526975983,0.07178633747077608,True,1.0,0.0013140287125524227,,0.2310191948697598,0.07181391812620677,0.01319078048142166,3.1526316956554726e-07,9.138444190875214e-18,-21.28242859947594,279.7270278067743,0.07195330693122971,True,4,0.01727999999999999
alpha_trace,1.2,0.20368,True,0.24314606069494482,0.06158622016533882,True,1.0,0.0014464755979065145,,0.24170228213494482,0.06163036516795334,0.012552872777408736,1.7126457158492376e-07,1.3262654479461918e-17,-25.86570912430018,295.82735896539907,0.06171423671057249,True,5,0.01999999999999999
alpha_trace,1.2,0.22368,True,0.25238536940012984,0.051446812209699905,True,1.0,0.0012474454643397945,,0.25114086124012985,0.05148958961669052,0.011517191405461336,2.9841033997586755e-07,2.092693091781766e-17,-32.20350120656312,324.21059327151715,0.0515861395187749,True,6,0.01999999999999999
alpha_trace,1.2,0.24367999999999998,True,0.2605794403453149,0.0413488140654277,True,1.0,0.0010145251555652686,,0.25956969852131495,0.041398014523098395,0.010087868178988615,1.5327072813791866e-07,3.684952384181526e-17,-41.56943534206431,371.9389079837838,0.04159615056883416,True,7,0.01999999999999999
alpha_trace,1.2,0.26367999999999997,True,0.26799853580250005,0.03130643942950627,True,1.0,0.0008352384906965827,,0.2671691326665001,0.03135571867040589,0.008267875899012624,1.9990634129861462e-07,7.642774514424151e-17,-56.85287240936706,455.76805947905814,0.03155539788909567,True,8,0.01999999999999999
alpha_trace,1.2,0.28368,True,0.27476856681168527,0.021313422817713368,True,1.0,0.0006964189734487357,,0.27408000463568527,0.02136558007119153,0.006060987754595613,2.0252323340779702e-07,2.1536729039801366e-16,-86.29261839385894,624.1356453930009,0.021397861069619967,True,9,0.020000000000000018
alpha_trace,1.2,0.30368,True,0.28099087660487043,0.011375441471977173,True,1.0,0.0005874137659983492,,0.28041336518087046,0.011429143165697861,0.0034708021965591264,1.1861492281423902e-07,9.903685268106299e-16,-166.60469017687132,1093.782826197237,0.011558057577230971,True,10,0.020000000000000018
alpha_trace,1.2,0.32368,True,0.28674672572605564,0.0014927062602041914,True,1.0,0.0005006383378669599,,0.2862587528620557,0.0015486554097551403,0.0005012687830295439,2.1560438860176009e-07,3.675643935988565e-15,-337.39644656141854,2000.0,0.004405135217997325,True,11,0.020000000000000018
alpha_trace,1.2,0.32618,True,0.28698942632220387,0.0003135944402623003,True,1.0,3.2003460143385876e-05,,0.28695829672220385,0.00031730824777577264,0.00010349960425950153,1.9803201927059138e-08,3.7912840990055284e-15,-342.12781217402414,2000.0,0.004365861884588173,True,12,0.0025000000000000022
alpha_trace,1.2,0.32718,True,0.2872381142662631,1e-08,True,1.0,0.00020840250636299144,,0.2870444553862631,3.850624285408e-05,1.2598472536997896e-05,4.562470557756357e-06,6.3015327482871305e-15,-343.560081071042,2000.0,0.004268330758628247,True,13,0.0010000000000000009
alpha_trace,1.5,0.13,True,0.3520868518399999,0.04749254842109924,True,0.0,0.0,,0.3520868518399999,0.04749254842109924,0.006174031294742902,4.7239337826999745e-07,1.6752722115651724e-17,-22.804428095265358,563.7935329873678,0.047530733736994076,True,0,0.0
alpha_trace,1.5,0.14,True,0.3520868518399999,0.04749254842109924,True,1.0,0.007660572121681948,,0.3574128949759998,0.04473947605804017,0.0062635266481256245,6.645508712263385e-08,1.9744986384415283e-17,-25.09509128752598,556.4174704636082,0.04487009257444308,True,1,0.010000000000000009
