Mach,alpha,field,setting,ref_setting,rel_l2_core_amp_ge_0.1,n_core_amp_ge_0.1,rel_l2_core_amp_ge_0.05,n_core_amp_ge_0.05,rel_l2_core_amp_ge_0.02,n_core_amp_ge_0.02,rel_l2_core_amp_ge_0.01,n_core_amp_ge_0.01,rel_l2_tail_amp_0p001_0p02,n_tail
1.8,0.07,p,ms1p5_y1200,ms3_y2000,0.02827575343262629,4394,0.028279140944337283,4400,0.02828095584373542,4405,0.028282605644787944,4408,,6
1.8,0.07,p,ms2_y1600,ms3_y2000,0.023677241639090952,4394,0.023685507642579318,4400,0.023687736166906132,4405,0.023688546727484213,4408,,6
1.8,0.07,p,ms5_y1600,ms3_y2000,0.009803568571654918,4394,0.010080670787017382,4400,0.010082714588370088,4405,0.010084156346423845,4408,,6
1.8,0.07,rho,ms1p5_y1200,ms3_y2000,0.02827575343262629,4394,0.028279140944337273,4400,0.0282809558437354,4405,0.028282605644787965,4408,,6
1.8,0.07,rho,ms2_y1600,ms3_y2000,0.02367724163909096,4394,0.023685507642579325,4400,0.023687736166906132,4405,0.02368854672748421,4408,,6
1.8,0.07,rho,ms5_y1600,ms3_y2000,0.00980356857165493,4394,0.010080670787017385,4400,0.0100827145883701,4405,0.010084156346423873,4408,,6
1.8,0.07,v,ms1p5_y1200,ms3_y2000,0.045248496145468636,4185,0.04523562998168956,4391,0.04523830814011771,4400,0.04524088893435454,4404,,10
1.8,0.07,v,ms2_y1600,ms3_y2000,0.03788977442640166,4185,0.03788770025941737,4391,0.03789112648818441,4400,0.037892387888581465,4404,,10
1.8,0.07,v,ms5_y1600,ms3_y2000,0.015688293989171733,4185,0.0161252326016674,4391,0.01612845096882578,4400,0.016130753208970987,4404,,10
1.8,0.07,u,ms1p5_y1200,ms3_y2000,7.424073078948824e-07,2073,1.1487503682226287e-06,3512,0.001818920593085637,4376,0.002503721707780076,4391,0.7980090140874695,31
1.8,0.07,u,ms2_y1600,ms3_y2000,1.0119159660765264e-06,2073,1.1269157654151057e-06,3512,0.001087158772434644,4376,0.0020619176465756367,4391,0.8265122179359564,31
1.8,0.07,u,ms5_y1600,ms3_y2000,4.879238704084587e-06,2073,4.847636913870825e-06,3512,0.00015026556374397895,4376,0.0004921537421635139,4391,0.4033963095224812,31
1.8,0.0725,p,ms1p5_y1200,ms3_y2000,0.028239405159555947,4393,0.028239798480005237,4399,0.02825094224567862,4404,0.028250964879908014,4406,,7
1.8,0.0725,p,ms2_y1600,ms3_y2000,0.02368810138348045,4393,0.023714304854905242,4399,0.023716215685064063,4404,0.023716222058960696,4406,,7
1.8,0.0725,p,ms5_y1600,ms3_y2000,0.009514897436685656,4393,0.009747053775376342,4399,0.009748826119178178,4404,0.009748826299107746,4406,,7
1.8,0.0725,rho,ms1p5_y1200,ms3_y2000,0.028239405159555926,4393,0.02823979848000526,4399,0.02825094224567865,4404,0.028250964879908014,4406,,7
1.8,0.0725,rho,ms2_y1600,ms3_y2000,0.023688101383480466,4393,0.023714304854905253,4399,0.023716215685064067,4404,0.023716222058960717,4406,,7
1.8,0.0725,rho,ms5_y1600,ms3_y2000,0.009514897436685656,4393,0.009747053775376362,4399,0.00974882611917817,4404,0.009748826299107746,4406,,7
1.8,0.0725,v,ms1p5_y1200,ms3_y2000,0.04517139995766472,4188,0.04515377162960399,4389,0.04517136509909912,4399,0.04517433427570945,4404,,10
1.8,0.0725,v,ms2_y1600,ms3_y2000,0.037891277380193315,4188,0.03791788967516339,4389,0.03792078762787035,4399,0.03792763991892232,4404,,10
1.8,0.0725,v,ms5_y1600,ms3_y2000,0.015219965696028116,4188,0.01558504008808505,4389,0.015587818965488916,4399,0.015589264060837101,4404,,10
1.8,0.0725,u,ms1p5_y1200,ms3_y2000,7.622132377306948e-07,2595,1.1516281748839583e-06,3520,0.0019281894347058272,4374,0.002575890897943678,4390,0.7655403146561799,32
1.8,0.0725,u,ms2_y1600,ms3_y2000,1.039097994621453e-06,2595,1.1490658337805023e-06,3520,0.0011655626608534989,4374,0.00213008174836206,4390,0.8072508800765248,32
1.8,0.0725,u,ms5_y1600,ms3_y2000,5.0831239535798614e-06,2595,5.064195533772553e-06,3520,0.00016267733827015195,4374,0.0005211543891865317,4390,0.38467046771508007,32
1.8,0.075,p,ms1p5_y1200,ms3_y2000,0.02829798832931162,4391,0.028298505620169497,4398,0.028327385892568748,4403,0.028327402060336748,4405,,7
1.8,0.075,p,ms2_y1600,ms3_y2000,0.023695615838375383,4391,0.023752954198286224,4398,0.023754858174007486,4403,0.02375486129100484,4405,,7
1.8,0.075,p,ms5_y1600,ms3_y2000,0.009260256270836114,4391,0.009461451846353856,4398,0.009463036216470589,4403,0.009463036214456842,4405,,7
1.8,0.075,rho,ms1p5_y1200,ms3_y2000,0.028297988329311633,4391,0.028298505620169497,4398,0.02832738589256873,4403,0.028327402060336754,4405,,7
1.8,0.075,rho,ms2_y1600,ms3_y2000,0.023695615838375407,4391,0.023752954198286234,4398,0.023754858174007486,4403,0.023754861291004837,4405,,7
1.8,0.075,rho,ms5_y1600,ms3_y2000,0.009260256270836124,4391,0.009461451846353879,4398,0.009463036216470586,4403,0.009463036214456846,4405,,7
1.8,0.075,v,ms1p5_y1200,ms3_y2000,0.045243460364778325,4191,0.04522606411264919,4388,0.04527203452560534,4398,0.045272028593237326,4402,,11
1.8,0.075,v,ms2_y1600,ms3_y2000,0.03788517303473437,4191,0.037961568921993046,4388,0.03796447437195848,4398,0.03796446605851259,4402,,11
