benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
7,C11,1.306,0.16625,1.1319883624629218e-06,2.3796272635826458e-21,2.2639767249258435e-05,2.379627263582646e-19,2.2639767249258435e-05
8,C11,1.306,0.18175,4.107638454890716e-07,1.253577785522207e-21,8.215276909781431e-06,1.253577785522207e-19,8.215276909781431e-06
9,C11,1.306,0.19725,3.3206412272048e-07,4.308971353397037e-22,6.6412824544096e-06,4.308971353397037e-20,6.6412824544096e-06
10,C11,1.342,0.11975,8.837250835411864e-07,5.9082560327755616e-21,1.767450167082373e-05,5.908256032775561e-19,1.767450167082373e-05
11,C11,1.342,0.13525,3.461769332050105e-07,5.39674909712369e-21,6.9235386641002094e-06,5.39674909712369e-19,6.9235386641002094e-06
12,C11,1.342,0.15075,1.1089853086956662e-06,4.353960991306515e-21,2.2179706173913323e-05,4.353960991306515e-19,2.2179706173913323e-05
13,C11,1.342,0.16625,1.1897167386131923e-06,3.111686161423205e-21,2.3794334772263845e-05,3.1116861614232047e-19,2.3794334772263845e-05
14,C11,1.342,0.18175,9.307735407043364e-07,1.8443667431538795e-21,1.8615470814086726e-05,1.8443667431538795e-19,1.8615470814086726e-05
15,C11,1.342,0.19725,1.729864051427116e-06,8.76994264862766e-22,3.4597281028542316e-05,8.769942648627659e-20,3.4597281028542316e-05
16,C11,1.378,0.11975,8.940062454085429e-07,6.3663656401432755e-21,1.7880124908170858e-05,6.366365640143275e-19,1.7880124908170858e-05
17,C11,1.378,0.13525,9.006854100281993e-07,5.849146263895629e-21,1.8013708200563987e-05,5.849146263895629e-19,1.8013708200563987e-05
18,C11,1.378,0.15075,8.914972544908956e-07,4.981221032919591e-21,1.782994508981791e-05,4.981221032919591e-19,1.782994508981791e-05
19,C11,1.378,0.16625,9.410835472064212e-07,3.748422124672603e-21,1.8821670944128423e-05,3.748422124672603e-19,1.8821670944128423e-05
20,C11,1.378,0.18175,1.1419501466827586e-06,2.5079114508584786e-21,2.283900293365517e-05,2.5079114508584786e-19,2.283900293365517e-05
21,C11,1.378,0.19725,5.669479683891005e-07,1.428838893519947e-21,1.133895936778201e-05,1.428838893519947e-19,1.133895936778201e-05
22,C12,1.234,0.21275,8.891047868777642e-07,3.458695329147183e-22,1.7782095737555284e-05,3.458695329147183e-20,1.7782095737555284e-05
23,C12,1.234,0.2282499999999999,2.3509940052742377e-06,1.1641013777647546e-21,4.701988010548475e-05,1.1641013777647546e-19,4.701988010548475e-05
24,C12,1.234,0.24375,2.038792057875617e-06,2.5691279784931664e-21,4.077584115751234e-05,2.5691279784931664e-19,4.077584115751234e-05
25,C12,1.234,0.25925,2.090299658600105e-06,4.055899642278657e-21,4.1805993172002095e-05,4.0558996422786566e-19,4.1805993172002095e-05
26,C12,1.234,0.27475,2.435305656128546e-06,6.081202500603945e-21,4.870611312257092e-05,6.081202500603945e-19,4.870611312257092e-05
27,C12,1.234,0.29025,1.289492947927355e-06,7.999436120784618e-21,2.57898589585471e-05,7.999436120784618e-19,2.57898589585471e-05
28,C12,1.234,0.3057499999999999,2.323186561266241e-06,1.0109545976385531e-20,4.6463731225324816e-05,1.0109545976385531e-18,4.6463731225324816e-05
29,C12,1.234,0.32125,1.6439257839120395e-05,1.3318190890976108e-19,0.00032878515678240786,1.3318190890976108e-17,0.00032878515678240786
30,C12,1.234,0.33675,0.0021896074104091,1.0919272715295446e-19,0.043792148208181995,1.0919272715295446e-17,0.043792148208181995
31,C12,1.27,0.21275,1.5757473479431277e-06,3.8180748694700283e-23,3.151494695886255e-05,3.818074869470028e-21,3.151494695886255e-05
32,C12,1.27,0.2282499999999999,3.935892646506213e-06,4.32835180215443e-22,7.871785293012425e-05,4.3283518021544293e-20,7.871785293012425e-05
33,C12,1.27,0.24375,1.3280697311167578e-06,1.2627454921031113e-21,2.6561394622335154e-05,1.2627454921031113e-19,2.6561394622335154e-05
34,C12,1.27,0.25925,1.7614249248450414e-07,2.4136292724897056e-21,3.5228498496900827e-06,2.4136292724897056e-19,3.5228498496900827e-06
35,C12,1.27,0.27475,1.8495440971206827e-06,3.887427340083123e-21,3.6990881942413655e-05,3.887427340083123e-19,3.6990881942413655e-05
36,C12,1.27,0.29025,5.854063451583657e-07,5.568588318207781e-21,1.1708126903167313e-05,5.568588318207781e-19,1.1708126903167313e-05
