metric,mismatch,ecdf
stage1_mismatch,5.957069367846977e-07,0.264
stage1_mismatch,5.980302045996249e-07,0.266
stage1_mismatch,6.016342979405931e-07,0.268
stage1_mismatch,6.053731746726344e-07,0.27
stage1_mismatch,6.291950278771798e-07,0.272
stage1_mismatch,6.329636087308909e-07,0.274
stage1_mismatch,6.337235018028261e-07,0.276
stage1_mismatch,6.431203348460671e-07,0.278
stage1_mismatch,6.52714298279842e-07,0.28
stage1_mismatch,6.528558494866812e-07,0.282
stage1_mismatch,6.54207046671675e-07,0.284
stage1_mismatch,6.542160408586623e-07,0.286
stage1_mismatch,6.627289708560146e-07,0.288
stage1_mismatch,6.670360823639792e-07,0.29
stage1_mismatch,6.710785882103418e-07,0.292
stage1_mismatch,6.729423793472152e-07,0.294
stage1_mismatch,6.846162589822171e-07,0.296
stage1_mismatch,6.894146464281662e-07,0.298
stage1_mismatch,6.951624643311655e-07,0.3
stage1_mismatch,6.952638266014757e-07,0.302
stage1_mismatch,6.981468924810801e-07,0.304
stage1_mismatch,7.055501676491814e-07,0.306
stage1_mismatch,7.175162902055086e-07,0.308
stage1_mismatch,7.221315427739566e-07,0.31
stage1_mismatch,7.23108720363477e-07,0.312
stage1_mismatch,7.264176721581985e-07,0.314
stage1_mismatch,7.422322179408589e-07,0.316
stage1_mismatch,7.471289174269283e-07,0.318
stage1_mismatch,7.525268410942029e-07,0.32
stage1_mismatch,7.551199972661466e-07,0.322
stage1_mismatch,7.552666532350393e-07,0.324
stage1_mismatch,7.597975920441379e-07,0.326
stage1_mismatch,7.667074967758058e-07,0.328
stage1_mismatch,7.73013294711208e-07,0.33
stage1_mismatch,7.756243485879186e-07,0.332
stage1_mismatch,7.766301357371662e-07,0.334
stage1_mismatch,7.801055155745426e-07,0.336
stage1_mismatch,7.853129248130737e-07,0.338
stage1_mismatch,7.944952320033149e-07,0.34
stage1_mismatch,7.945687292876349e-07,0.342
stage1_mismatch,7.956897153149625e-07,0.344
stage1_mismatch,8.016650245216038e-07,0.346
stage1_mismatch,8.018502977208172e-07,0.348
stage1_mismatch,8.196364280716897e-07,0.35
stage1_mismatch,8.215199510820676e-07,0.352
stage1_mismatch,8.274270966290567e-07,0.354
stage1_mismatch,8.289756956131819e-07,0.356
stage1_mismatch,8.370155443097127e-07,0.358
stage1_mismatch,8.407169664398557e-07,0.36
