task_index,blumen_row_id,source_row_id,curve_id,curve_label,curve_key,family,Mach,alpha,blumen_ci,status,accepted_seed_source,n_attempts,classical_cr,classical_ci,classical_omega_i,delta_ci,residual_norm,settings_name,spectral_extent,matching_y,max_step,rtol,atol,mode_status,has_root,delta_ci_recomputed,delta_ci_signed,abs_delta_ci,blumen_omega_i,delta_omega_i_signed,abs_delta_omega_i
34,34,42,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.0110650069156293,0.3417639057640433,0.01,accepted_root,nearest_parameter,1,0.1740780115866844,0.0105569827469324,0.003607995656675236,0.0005569827469324,2.8615524344480846e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,0.0005569827469324,0.0005569827469324006,0.0005569827469324006,0.0034176390576404333,0.0001903565990348027,0.0001903565990348027
35,35,43,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.04149377593361,0.3433132359796123,0.01,accepted_root,nearest_parameter,1,0.1973267415410407,0.0077539186480432,0.0026620229025823713,-0.0022460813519567,2.8977565238836885e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0022460813519568,-0.0022460813519568,0.0022460813519568,0.0034331323597961228,-0.0007711094572137515,0.0007711094572137515
36,36,44,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.0816044260027662,0.3421536263114861,0.01,accepted_root,nearest_parameter,1,0.2237691176551446,0.0046057055191048,0.0015758588450845328,-0.0053942944808951,2.191424239111488e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0053942944808952,-0.0053942944808952,0.0053942944808952,0.0034215362631148613,-0.0018456774180303284,0.0018456774180303284
37,37,45,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.1217150760719226,0.3340879392952937,0.01,accepted_root,nearest_parameter,1,0.2458369563335051,0.0046306232666902,0.00154703538482137,-0.0053693767333097,8.722203266933362e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0053693767333098,-0.0053693767333098,0.0053693767333098,0.003340879392952937,-0.0017938440081315668,0.0017938440081315668
38,38,46,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.156293222683264,0.3287541169008812,0.01,accepted_root,nearest_parameter,1,0.2641005362941341,0.0036274798798946,0.0011925489444904638,-0.0063725201201053,1.1984475571272289e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0063725201201054,-0.0063725201201054,0.0063725201201054,0.003287541169008812,-0.002094992224518348,0.002094992224518348
39,39,47,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.1908713692946058,0.3206578635672422,0.01,accepted_root,nearest_parameter,1,0.2805843121950687,0.0039982329342177,0.0012820648307304335,-0.0060017670657822,2.5596756911001893e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0060017670657823,-0.0060017670657823005,0.0060017670657823005,0.003206578635672422,-0.0019245138049419886,0.0019245138049419886
40,40,48,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.2295988934993085,0.3112033195020748,0.01,accepted_root,nearest_parameter,1,0.2979486084696661,0.0045868445833295,0.0014274412603722515,-0.0054131554166704,4.327919040491841e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0054131554166705,-0.0054131554166705,0.0054131554166705,0.003112033195020748,-0.0016845919346484964,0.0016845919346484964
41,41,49,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.2697095435684649,0.3031376324858822,0.01,accepted_root,nearest_parameter,1,0.3154338584423261,0.0044145093339739,0.001338203908087677,-0.005585490666026,8.51979942870699e-13,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0055854906660261,-0.0055854906660261,0.0055854906660261,0.0030313763248588223,-0.0016931724167711453,0.0016931724167711453
42,42,50,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.30567081604426,0.2950490207316049,0.01,accepted_root,nearest_parameter,1,0.3300897909603876,0.0047286016152245,0.0013951692760018736,-0.0052713983847754,7.39592610311547e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0052713983847755,-0.005271398384775501,0.005271398384775501,0.002950490207316049,-0.0015553209313141753,0.0015553209313141753
43,43,51,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.3374827109266945,0.2855562687696293,0.01,accepted_root,nearest_parameter,1,0.3418393790506147,0.0060703974891261,0.0017334400569433755,-0.0039296025108738,3.001089462991593e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0039296025108739,-0.0039296025108739,0.0039296025108739,0.002855562687696293,-0.0011221226307529175,0.0011221226307529175
44,44,52,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.3748271092669433,0.2774752985947136,0.01,accepted_root,nearest_parameter,1,0.355852610144855,0.0063378380673331,0.0017585935101781945,-0.0036621619326668,1.3275512004635207e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0036621619326669,-0.0036621619326669,0.0036621619326669,0.002774752985947136,-0.0010161594757689416,0.0010161594757689416
45,45,53,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.4135546334716458,0.2680207545295462,0.01,accepted_root,nearest_parameter,1,0.3694100127743229,0.0071148950257988,0.0019069395332131096,-0.0028851049742011,4.522077348863035e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0028851049742012,-0.0028851049742012,0.0028851049742012,0.002680207545295462,-0.0007732680120823524,0.0007732680120823524
46,46,54,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.4564315352697097,0.2613515661416902,0.01,accepted_root,nearest_parameter,1,0.3847150073011075,0.0065432365720518,0.0017100851257413222,-0.0034567634279481,6.927411659658035e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0034567634279482,-0.0034567634279482,0.0034567634279482,0.002613515661416902,-0.0009034305356755798,0.0009034305356755798
47,47,55,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.4923928077455049,0.2532629543874128,0.01,accepted_root,nearest_parameter,1,0.3962944844733321,0.0071021468950173,0.001798710705125472,-0.0028978531049826,3.608377121864471e-11,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0028978531049827,-0.0028978531049827,0.0028978531049827,0.0025326295438741282,-0.0007339188387486563,0.0007339188387486563
48,48,56,3,ci=0.01,3__ci=0.01__ci_0.01,ci_level,1.536652835408022,0.2438389766396919,0.01,accepted_root,nearest_parameter,1,0.4100221458632306,0.0076322032571496,0.0018610286317294817,-0.0023677967428503,1.3083502130441448e-10,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed,True,-0.0023677967428504,-0.0023677967428504003,0.0023677967428504003,0.002438389766396919,-0.0005773611346674373,0.0005773611346674373
