test_id,Mach,alpha,primary_chart,test_source
241,1.6,0.05,C20,geometry_extension
242,1.6,0.06,C20,existing_T128
243,1.6,0.07,C20,existing_T128
244,1.6,0.08,C20,geometry_extension
245,1.6,0.095,C20,existing_T128
246,1.6,0.105,C20,existing_T128
247,1.6,0.115,C20,geometry_extension
248,1.45,0.125,C21,geometry_extension
249,1.45,0.13,C21,geometry_extension
250,1.45,0.135,C21,geometry_extension
251,1.45,0.145,C21,geometry_extension
252,1.45,0.15,C21,geometry_extension
253,1.45,0.155,C21,geometry_extension
254,1.45,0.17,C21,existing_T128
255,1.45,0.185,C21,geometry_extension
256,1.45,0.2,C21,geometry_extension
257,1.5,0.12,C21,geometry_extension
258,1.5,0.135,C21,existing_T128
259,1.5,0.145,C21,existing_T128
260,1.5,0.155,C21,geometry_extension
261,1.5,0.165,C21,geometry_extension
262,1.5,0.18,C21,geometry_extension
263,1.5,0.195,C21,existing_T128
264,1.55,0.125,C21,geometry_extension
265,1.55,0.14,C21,geometry_extension
266,1.55,0.155,C21,geometry_extension
267,1.55,0.165,C21,geometry_extension
268,1.55,0.175,C21,geometry_extension
269,1.55,0.185,C21,geometry_extension
270,1.55,0.195,C21,existing_T128
271,1.55,0.205,C21,geometry_extension
272,1.6,0.13,C21,geometry_extension
273,1.6,0.145,C21,existing_T128
274,1.6,0.15,C21,existing_T128
275,1.6,0.165,C21,existing_T128
276,1.6,0.18,C21,geometry_extension
277,1.6,0.19,C21,geometry_extension
278,1.6,0.2,C21,existing_T128
279,1.6,0.205,C21,existing_T128
280,1.45,0.21,C22,geometry_extension
281,1.45,0.215,C22,geometry_extension
282,1.45,0.225,C22,geometry_extension
283,1.45,0.24,C22,geometry_extension
284,1.45,0.25,C22,geometry_extension
285,1.45,0.265,C22,existing_T128
286,1.5,0.21,C22,existing_T128
287,1.5,0.225,C22,existing_T128
288,1.5,0.23,C22,existing_T128
289,1.5,0.25,C22,existing_T128
290,1.5,0.26,C22,geometry_extension
291,1.5,0.27,C22,geometry_extension
292,1.55,0.21,C22,geometry_extension
293,1.55,0.22,C22,existing_T128
294,1.55,0.225,C22,existing_T128
295,1.55,0.24,C22,geometry_extension
296,1.55,0.255,C22,geometry_extension
297,1.6,0.215,C22,geometry_extension
298,1.6,0.225,C22,geometry_extension
299,1.6,0.235,C22,geometry_extension
300,1.6,0.245,C22,geometry_extension
301,1.6,0.255,C22,geometry_extension
302,1.65,0.06,C30,geometry_extension
303,1.65,0.065,C30,existing_T128
304,1.65,0.07,C30,geometry_extension
305,1.65,0.075,C30,geometry_extension
306,1.65,0.08,C30,geometry_extension
307,1.65,0.085,C30,geometry_extension
308,1.65,0.09,C30,geometry_extension
309,1.65,0.095,C30,geometry_extension
310,1.65,0.105,C30,existing_T128
311,1.65,0.115,C30,existing_T128
312,1.7,0.055,C30,existing_T128
313,1.7,0.07,C30,geometry_extension
314,1.7,0.085,C30,geometry_extension
315,1.7,0.1,C30,geometry_extension
316,1.7,0.115,C30,geometry_extension
317,1.75,0.05,C30,existing_T128
318,1.75,0.065,C30,geometry_extension
319,1.75,0.075,C30,existing_T128
320,1.75,0.085,C30,geometry_extension
