cost_id,Mach,alpha,classical_success,classical_cr,classical_ci,classical_omega_i,classical_residual_norm,classical_delta_kappa,classical_delta_q,classical_parameterization,classical_settings_name,classical_best_seed_index,classical_best_seed_cr,classical_best_seed_ci,classical_n_generic_starts,classical_n_accepted_starts,classical_n_solver_attempts,classical_objective_calls,classical_integration_failures,classical_seconds,status
195,1.342,0.29025,True,0.34513295815065276,0.0036449815381951575,0.0010579558914611444,6.053017275565304e-13,5.992289997536204e-13,-8.552652943499828e-14,linear_ci,nominal,1,0.5,0.0001,6,2,32,2678,0,229.09027821791824,COMPLETED
196,1.342,0.3057499999999999,False,0.35360254092748067,3.59816985273527e-05,1.1001404324738085e-05,1.1571228598965764e-08,8.034237358733876e-09,8.327326182698029e-09,linear_ci,nominal,4,0.5,0.002,6,0,45,3415,0,298.6118449399946,COMPLETED
197,1.342,0.32125,False,0.9051206970083226,6.1382639621577485e-06,1.9719172978431765e-06,3.111555269624625e-08,3.109837531022427e-08,1.033766248873903e-09,linear_ci,strict_L30_y1p5,2,0.9,0.0001,6,0,45,3387,0,281.0107732301112,COMPLETED
198,1.342,0.33675,True,0.9051406515962714,4.933215786717264e-06,1.6612604161770386e-06,3.385039769074275e-09,2.677661324473077e-09,-2.0708993383637717e-09,linear_ci,strict_L30_y1p5,2,0.9,0.0001,6,1,45,2909,0,255.21733988600317,COMPLETED
199,1.342,0.3522499999999999,True,0.9051406398988829,4.9691545092149006e-06,1.7503846758709483e-06,3.5886667218497992e-09,2.8735090293911388e-09,-2.149761544571811e-09,linear_ci,strict_L30_y1p5,2,0.9,0.0001,6,1,45,3651,0,302.3014157350408,COMPLETED
