test_id,Mach,alpha,primary_chart,test_source
81,1.0,0.32,C02,geometry_extension
82,1.0,0.335,C02,geometry_extension
83,1.0,0.35,C02,existing_T128
84,1.05,0.21,C02,geometry_extension
85,1.05,0.23,C02,geometry_extension
86,1.05,0.245,C02,existing_T128
87,1.05,0.255,C02,geometry_extension
88,1.05,0.27,C02,geometry_extension
89,1.05,0.28,C02,geometry_extension
90,1.05,0.295,C02,existing_T128
91,1.05,0.31,C02,geometry_extension
92,1.05,0.325,C02,existing_T128
93,1.05,0.34,C02,geometry_extension
94,1.05,0.355,C02,geometry_extension
95,1.1,0.21,C02,existing_T128
96,1.1,0.22,C02,geometry_extension
97,1.1,0.23,C02,geometry_extension
98,1.1,0.245,C02,geometry_extension
99,1.1,0.26,C02,geometry_extension
100,1.1,0.27,C02,geometry_extension
101,1.1,0.28,C02,geometry_extension
102,1.1,0.29,C02,geometry_extension
103,1.1,0.305,C02,existing_T128
104,1.1,0.31,C02,existing_T128
105,1.1,0.315,C02,existing_T128
106,1.1,0.325,C02,existing_T128
107,1.1,0.335,C02,geometry_extension
108,1.1,0.345,C02,geometry_extension
109,1.15,0.21,C02,geometry_extension
110,1.15,0.225,C02,existing_T128
111,1.15,0.24,C02,existing_T128
112,1.15,0.245,C02,existing_T128
113,1.15,0.255,C02,geometry_extension
114,1.15,0.27,C02,geometry_extension
115,1.15,0.28,C02,geometry_extension
116,1.15,0.295,C02,existing_T128
117,1.15,0.305,C02,geometry_extension
118,1.15,0.315,C02,geometry_extension
119,1.15,0.325,C02,geometry_extension
120,1.15,0.335,C02,geometry_extension
121,1.2,0.21,C02,existing_T128
122,1.2,0.22,C02,existing_T128
123,1.2,0.235,C02,geometry_extension
124,1.2,0.245,C02,geometry_extension
125,1.2,0.255,C02,existing_T128
126,1.2,0.27,C02,geometry_extension
127,1.2,0.28,C02,geometry_extension
128,1.2,0.29,C02,geometry_extension
129,1.2,0.305,C02,geometry_extension
130,1.2,0.325,C02,existing_T128
131,1.25,0.055,C10,geometry_extension
132,1.25,0.06,C10,geometry_extension
133,1.25,0.065,C10,geometry_extension
134,1.25,0.07,C10,existing_T128
135,1.25,0.085,C10,geometry_extension
136,1.25,0.1,C10,geometry_extension
137,1.25,0.11,C10,geometry_extension
138,1.3,0.05,C10,geometry_extension
139,1.3,0.065,C10,geometry_extension
140,1.3,0.08,C10,geometry_extension
141,1.3,0.095,C10,geometry_extension
142,1.3,0.105,C10,geometry_extension
143,1.3,0.115,C10,geometry_extension
144,1.35,0.06,C10,geometry_extension
145,1.35,0.07,C10,geometry_extension
146,1.35,0.085,C10,existing_T128
147,1.35,0.095,C10,geometry_extension
148,1.35,0.105,C10,existing_T128
149,1.35,0.11,C10,existing_T128
150,1.4,0.055,C10,existing_T128
151,1.4,0.065,C10,existing_T128
152,1.4,0.08,C10,geometry_extension
153,1.4,0.09,C10,existing_T128
154,1.4,0.1,C10,geometry_extension
155,1.4,0.115,C10,existing_T128
156,1.25,0.12,C11,existing_T128
157,1.25,0.125,C11,geometry_extension
158,1.25,0.13,C11,geometry_extension
159,1.25,0.135,C11,geometry_extension
160,1.25,0.14,C11,geometry_extension
