task_index,blumen_row_id,source_row_id,curve_id,curve_label,curve_key,family,Mach,alpha,blumen_ci,status,accepted_seed_source,n_attempts,classical_cr,classical_ci,classical_omega_i,delta_ci,residual_norm,settings_name,spectral_extent,matching_y,max_step,rtol,atol,mode_status
0,0,4,0,ci=0,0__ci=0__ci_0,ci_special,1.0,0.0834154803114708,0.0,accepted_root,nearest_parameter,1,-5.0949312223228815e-09,0.0075980432119175,0.0006337944239494,0.0075980432119175,3.2273888647252703e-14,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
1,1,5,0,ci=0,0__ci=0__ci_0,ci_special,1.004149377593361,0.0337146481434782,0.0,accepted_root,nearest_parameter,1,-1.0837285961887368e-07,0.0033945787460724,0.0001144470280191,0.0033945787460724,3.284249143336124e-12,nominal,20.0,1.0,0.5,1e-09,1e-11,reconstructed
2,2,8,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.008298755186722,0.4121906115555964,0.0,no_accepted_root,,110,,,,,,,,,,,,not_reconstructed
3,3,9,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.037344398340249,0.4358317477056159,0.0,no_accepted_root,,95,,,,,,,,,,,,not_reconstructed
4,4,10,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.0677731673582296,0.4484308016780909,0.0,no_accepted_root,,100,,,,,,,,,,,,not_reconstructed
5,5,11,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.103734439834025,0.4596792064983992,0.0,no_accepted_root,,110,,,,,,,,,,,,not_reconstructed
6,6,12,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.1410788381742738,0.4640291755500028,0.0,no_accepted_root,,115,,,,,,,,,,,,not_reconstructed
7,7,13,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.1811894882434302,0.4587259194730368,0.0,no_accepted_root,,120,,,,,,,,,,,,not_reconstructed
8,8,14,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.215767634854772,0.4533920970786243,0.0,no_accepted_root,,110,,,,,,,,,,,,not_reconstructed
9,9,15,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.2448132780082988,0.4480277083667653,0.0,no_accepted_root,,130,,,,,,,,,,,,not_reconstructed
10,10,16,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.2710926694329183,0.4371231746177301,0.0,no_accepted_root,,110,,,,,,,,,,,,not_reconstructed
11,11,17,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.297372060857538,0.4248374253990816,0.0,no_accepted_root,,120,,,,,,,,,,,,not_reconstructed
12,12,18,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.326417704011065,0.4153293902783828,0.0,no_accepted_root,,125,,,,,,,,,,,,not_reconstructed
13,13,19,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.360995850622407,0.4017082750662908,0.0,no_accepted_root,,110,,,,,,,,,,,,not_reconstructed
14,14,20,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.3831258644536653,0.3935432475183972,0.0,no_accepted_root,,120,,,,,,,,,,,,not_reconstructed
15,15,21,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.4190871369294606,0.3799297738856668,0.0,no_accepted_root,,105,,,,,,,,,,,,not_reconstructed
16,16,22,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.446749654218534,0.3704140971856064,0.0,accepted_root,nearest_parameter,33,0.4621381713606075,9.365746283504562e-07,3.469204454073791e-07,9.365746283504562e-07,3.0299026104231243e-10,strict_L30_y0p5,30.0,0.5,0.2,1e-11,1e-13,reconstructed
17,17,23,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.4744121715076073,0.3595172050159327,0.0,no_accepted_root,,100,,,,,,,,,,,,not_reconstructed
18,18,24,2,ci_sup=0,2__ci_sup=0__ci_0,ci_special,1.5089903181189488,0.347277305273454,0.0,no_accepted_root,,105,,,,,,,,,,,,not_reconstructed
