chart_1,chart_2,metric,n,mean,median,p90,p95,max
C00,C01,delta_c,441,0.0153491316572287,0.014927546493709,0.0256867054849863,0.0298463739454746,0.0422257184982299
C00,C10,delta_c,441,0.0181270792302148,0.0172955207526683,0.0312940180301666,0.0341273173689842,0.0737884044647216
C00,C11,delta_c,441,0.0166225490539626,0.016260702162981,0.0293198395520448,0.0323563925921916,0.0364670194685459
C01,C02,delta_c,441,0.0186934537444867,0.0144355669617652,0.0417768657207489,0.0565819591283798,0.0876272618770599
C01,C10,delta_c,441,0.0088070977648232,0.0073827928863465,0.0176653340458869,0.0211732853204011,0.0298571195453405
C01,C11,delta_c,441,0.0077579446225912,0.0064425407908856,0.014920006506145,0.0174749363213777,0.0261452998965978
C01,C12,delta_c,441,0.0070900485498852,0.0060842731036245,0.0140762729570269,0.0166512411087751,0.0255469307303428
C02,C11,delta_c,441,0.010996321317198,0.0097364578396081,0.0215880554169416,0.0237324014306068,0.0269253104925155
C02,C12,delta_c,441,0.0142347017855768,0.0061850426718592,0.040501557290554,0.0453135222196579,0.0587902516126632
C10,C11,delta_c,441,0.0051163951839435,0.0035139240790158,0.0118787558749318,0.016243252903223,0.0261226166039705
C10,C20,delta_c,441,0.0130397811980094,0.0130231967195868,0.0233451221138238,0.0246147010475397,0.0267584659159183
C10,C21,delta_c,441,0.0062365582480877,0.004901077132672,0.0127346822991967,0.0158112477511167,0.0274185463786125
C11,C12,delta_c,441,0.0055789463546722,0.0043512405827641,0.0117091638967394,0.014991289936006,0.0193985216319561
C11,C20,delta_c,441,0.0090866527180113,0.0074182222597301,0.0177727229893207,0.018498295918107,0.0194884166121482
C11,C21,delta_c,441,0.0049220722382112,0.0034190500155091,0.0108545580878853,0.0128397112712264,0.030779106542468
C11,C22,delta_c,441,0.0109878939680323,0.0088888751342892,0.0237873345613479,0.027734849601984,0.0373150743544101
C12,C21,delta_c,441,0.0045810551094862,0.0037367625627666,0.0101655405014753,0.0120200905948877,0.0146362977102398
C12,C22,delta_c,441,0.0106169564745221,0.0071534290909767,0.0199826955795288,0.0399203225970268,0.0794224143028259
C20,C21,delta_c,441,0.0091884125148744,0.0070639424957334,0.0196579992771148,0.0234911181032657,0.0358342714607715
C20,C30,delta_c,441,0.0056142582243265,0.0047353371046483,0.0109122730791568,0.0117639107629656,0.013114689849317
C20,C31,delta_c,441,0.0056475132648741,0.0046285893768072,0.0112397465854883,0.0125834075734019,0.0187798961997032
C21,C22,delta_c,441,0.0091362114484388,0.0079655051231384,0.0181926023215055,0.0216605812311172,0.0326309651136398
C21,C30,delta_c,441,0.0174281070703934,0.0176100526005029,0.0308273416012525,0.0326100401580333,0.034935250878334
C21,C31,delta_c,441,0.0061345711942284,0.0050269495695829,0.0128811262547969,0.0158622544258832,0.0211826488375663
C21,C32,delta_c,441,0.0045883827364472,0.0036185949575155,0.0095095736905932,0.011155642569065,0.0166396033018827
C22,C31,delta_c,441,0.0051245202275141,0.00313760060817,0.011385740712285,0.0165547002106905,0.0249132122844457
C22,C32,delta_c,441,0.042878624095366,0.0240771733224391,0.1168040558695793,0.1487818509340286,0.1729719191789627
C30,C31,delta_c,441,0.0115316221740953,0.0106934010982513,0.0216298606246709,0.0242719836533069,0.0300992000848054
C31,C32,delta_c,441,0.0070281691065441,0.004588876850903,0.0169994477182626,0.0222925283014774,0.0315255559980869
