Mach,alpha,study_type,configuration,Ly,rtol,atol,max_step,cr,ci,cr_reference,ci_reference,delta_cr,delta_ci,is_upper_bound,is_upper_bound_cr,is_upper_bound_ci,reference_run_id,branch_status
1.8,0.1,integration_accuracy,loose_tolerance,2000.0,1e-08,1e-10,,0.4487940449998261,0.027002809982437,0.4487940455152223,0.0270028123017194,5.153961701864773e-10,2.319282401547218e-09,False,False,False,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_adaptive,2000.0,1e-10,1e-12,,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_step_2,2000.0,1e-10,1e-12,2.0,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_step_1,2000.0,1e-10,1e-12,1.0,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_step_0p5,2000.0,1e-10,1e-12,0.5,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_step_0p25,2000.0,1e-10,1e-12,0.25,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,loose_tolerance,2000.0,1e-08,1e-10,,0.479014233700213,0.0219970491304755,0.4790142333566156,0.0219970508570523,3.435974282872678e-10,1.7265768016694327e-09,False,False,False,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_adaptive,2000.0,1e-10,1e-12,,0.4790142333566156,0.0219970508570523,0.4790142333566156,0.0219970508570523,0.0,0.0,True,True,True,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_2,2000.0,1e-10,1e-12,2.0,0.4790142333566156,0.0219970508570523,0.4790142333566156,0.0219970508570523,0.0,0.0,True,True,True,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_1,2000.0,1e-10,1e-12,1.0,0.4790142333566156,0.0219970508570523,0.4790142333566156,0.0219970508570523,0.0,0.0,True,True,True,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_0p5,2000.0,1e-10,1e-12,0.5,0.4790142333566156,0.0219970508570523,0.4790142333566156,0.0219970508570523,0.0,0.0,True,True,True,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_0p25,2000.0,1e-10,1e-12,0.25,0.4790142333566156,0.0219970508570523,0.4790142333566156,0.0219970508570523,0.0,0.0,True,True,True,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=1000,1000.0,1e-10,1e-12,0.25,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=1500,1500.0,1e-10,1e-12,0.25,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=2000,2000.0,1e-10,1e-12,0.25,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=2500,2500.0,1e-10,1e-12,0.25,0.4487940455152223,0.0270028123017194,0.4487940455152223,0.0270028123017194,0.0,0.0,True,True,True,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,resolved; validated_core_stable_tail_sensitive
