Mach,alpha,ci,source
0.4226901415984657,0.4226901415984657,0.908713692946058,KH_RT_Blumen/supersonic/ci_datasets.csv
0.4061690470186379,0.4061690470186379,0.9183955739972338,KH_RT_Blumen/supersonic/ci_datasets.csv
0.3799870857308789,0.3799870857308789,0.9294605809128632,KH_RT_Blumen/supersonic/ci_datasets.csv
0.3386270374360973,0.3386270374360973,0.9432918395573996,KH_RT_Blumen/supersonic/ci_datasets.csv
0.3193205871789583,0.3193205871789583,0.9488243430152145,KH_RT_Blumen/supersonic/ci_datasets.csv
0.277952897304815,0.277952897304815,0.9612724757952974,KH_RT_Blumen/supersonic/ci_datasets.csv
0.2310679871315804,0.2310679871315804,0.975103734439834,KH_RT_Blumen/supersonic/ci_datasets.csv
0.1800165058114212,0.1800165058114212,0.9847856154910096,KH_RT_Blumen/supersonic/ci_datasets.csv
0.1262025935520354,0.1262025935520354,0.9944674965421854,KH_RT_Blumen/supersonic/ci_datasets.csv
0.0834154803114708,0.0834154803114708,1.0,KH_RT_Blumen/supersonic/ci_datasets.csv
0.0337146481434782,0.0337146481434782,1.004149377593361,KH_RT_Blumen/supersonic/ci_datasets.csv
-0.0021969540664664,-0.0021969540664664,1.004149377593361,KH_RT_Blumen/supersonic/ci_datasets.csv
