blumen_row_id,source_row_id,digitization_order,curve_id,curve_key,curve_label,Mach,alpha_blumen,target_ci,alpha_classical,delta_alpha,abs_delta_alpha,classical_cr,classical_ci,delta_ci,residual_norm,status,n_solver_calls,bracket_alpha_left,bracket_alpha_right,message,converged
34,42,2,3,3__ci=0.01__ci_0.01,ci=0.01,1.0110650069156293,0.3417639057640433,0.01,0.3427596055671431,0.00099569980309977,0.00099569980309977,0.174481416029189,0.0099997371267767,-2.6287322330009744e-07,9.217931199976929e-14,converged_root,4,0.3417639057640433,0.3427596055671431,Classical alpha root validated with the production solver.,True
35,43,3,3,3__ci=0.01__ci_0.01,ci=0.01,1.04149377593361,0.3433132359796123,0.01,0.3392617787755005,-0.004051457204111764,0.004051457204111764,0.1958701181812297,0.0099997650295855,-2.349704145004905e-07,6.273796208798165e-14,converged_root,6,0.3383132359796122,0.3392617787755005,Classical alpha root validated with the production solver.,True
36,44,4,3,3__ci=0.01__ci_0.01,ci=0.01,1.0816044260027662,0.3421536263114861,0.01,0.3321905660371012,-0.009963060274384927,0.009963060274384927,0.2205170015788986,0.0099999993657216,-6.342784006352353e-10,8.240576558821643e-14,converged_root,21,0.3321536263114861,0.3321905660371012,Classical alpha root validated with the production solver.,True
37,45,5,3,3__ci=0.01__ci_0.01,ci=0.01,1.1217150760719226,0.3340879392952937,0.01,0.3238917136858881,-0.010196225609405585,0.010196225609405585,0.2426742067834016,0.0099999764354421,-2.3564557900465632e-08,2.09360254023798e-12,converged_root,25,0.3228379392952937,0.3238917136858881,Classical alpha root validated with the production solver.,True
38,46,6,3,3__ci=0.01__ci_0.01,ci=0.01,1.156293222683264,0.3287541169008812,0.01,0.3163199729389422,-0.012434143961938982,0.012434143961938982,0.2603671707523162,0.009999998413649,-1.5863510002128711e-09,1.8232846295847373e-13,converged_root,36,0.3162541169008812,0.3163199729389422,Classical alpha root validated with the production solver.,True
39,47,7,3,3__ci=0.01__ci_0.01,ci=0.01,1.1908713692946058,0.3206578635672422,0.01,0.3086080084046625,-0.01204985516257967,0.01204985516257967,0.2770343439237283,0.0099999301766423,-6.98233576998386e-08,3.3161480343626024e-14,converged_root,24,0.3081578635672422,0.3086080084046625,Classical alpha root validated with the production solver.,True
40,48,8,3,3__ci=0.01__ci_0.01,ci=0.01,1.2295988934993085,0.3112033195020748,0.01,0.2999610173933067,-0.011242302108768087,0.011242302108768087,0.2946828909148997,0.0099999184247774,-8.157522259945316e-08,9.839206654264453e-14,converged_root,22,0.2987033195020748,0.2999610173933067,Classical alpha root validated with the production solver.,True
41,49,9,3,3__ci=0.01__ci_0.01,ci=0.01,1.2697095435684649,0.3031376324858822,0.01,0.2910999274280858,-0.012037705057796388,0.012037705057796388,0.3119834053878368,0.0099999750030819,-2.499691809966509e-08,1.4119640410758383e-14,converged_root,24,0.2906376324858822,0.2910999274280858,Classical alpha root validated with the production solver.,True
42,50,10,3,3__ci=0.01__ci_0.01,ci=0.01,1.30567081604426,0.2950490207316049,0.01,0.2832905687059228,-0.011758452025682098,0.011758452025682098,0.3267455449394848,0.0099999985489666,-1.4510334010731096e-09,3.763727005937031e-14,converged_root,19,0.2825490207316048,0.2832905687059228,Classical alpha root validated with the production solver.,True
43,51,11,3,3__ci=0.01__ci_0.01,ci=0.01,1.3374827109266945,0.2855562687696293,0.01,0.2765106698886196,-0.009045598881009698,0.009045598881009698,0.3392689477760995,0.010000033543458,3.354345799906622e-08,5.789750729510549e-14,converged_root,10,0.2765106698886196,0.2780562687696293,Classical alpha root validated with the production solver.,True
