test_id,Mach,alpha,primary_chart,test_source
0,1.0,0.055,C00,geometry_extension
1,1.0,0.065,C00,geometry_extension
2,1.0,0.075,C00,geometry_extension
3,1.0,0.085,C00,geometry_extension
4,1.0,0.095,C00,existing_T128
5,1.0,0.11,C00,geometry_extension
6,1.0,0.125,C00,geometry_extension
7,1.05,0.05,C00,geometry_extension
8,1.05,0.06,C00,existing_T128
9,1.05,0.07,C00,existing_T128
10,1.05,0.075,C00,existing_T128
11,1.05,0.085,C00,existing_T128
12,1.05,0.1,C00,geometry_extension
13,1.05,0.115,C00,geometry_extension
14,1.1,0.095,C00,geometry_extension
15,1.1,0.11,C00,geometry_extension
16,1.15,0.06,C00,geometry_extension
17,1.15,0.075,C00,existing_T128
18,1.15,0.08,C00,existing_T128
19,1.15,0.09,C00,geometry_extension
20,1.15,0.105,C00,geometry_extension
21,1.15,0.115,C00,geometry_extension
22,1.2,0.05,C00,geometry_extension
23,1.2,0.065,C00,geometry_extension
24,1.2,0.08,C00,existing_T128
25,1.2,0.09,C00,geometry_extension
26,1.2,0.1,C00,existing_T128
27,1.2,0.115,C00,geometry_extension
28,1.0,0.135,C01,geometry_extension
29,1.0,0.14,C01,geometry_extension
30,1.0,0.15,C01,geometry_extension
31,1.0,0.16,C01,existing_T128
32,1.0,0.165,C01,geometry_extension
33,1.0,0.175,C01,geometry_extension
34,1.0,0.195,C01,existing_T128
35,1.0,0.205,C01,geometry_extension
36,1.0,0.215,C01,geometry_extension
37,1.05,0.12,C01,geometry_extension
38,1.05,0.13,C01,geometry_extension
39,1.05,0.145,C01,geometry_extension
40,1.05,0.16,C01,geometry_extension
41,1.05,0.17,C01,geometry_extension
42,1.05,0.18,C01,existing_T128
43,1.05,0.19,C01,geometry_extension
44,1.05,0.205,C01,existing_T128
45,1.1,0.12,C01,geometry_extension
46,1.1,0.135,C01,existing_T128
47,1.1,0.15,C01,geometry_extension
48,1.1,0.165,C01,geometry_extension
49,1.1,0.175,C01,geometry_extension
50,1.1,0.19,C01,geometry_extension
51,1.1,0.2,C01,geometry_extension
52,1.15,0.12,C01,geometry_extension
53,1.15,0.13,C01,existing_T128
54,1.15,0.145,C01,existing_T128
55,1.15,0.16,C01,existing_T128
56,1.15,0.17,C01,geometry_extension
57,1.15,0.18,C01,geometry_extension
58,1.15,0.1875,C01,geometry_extension
59,1.15,0.195,C01,geometry_extension
60,1.15,0.205,C01,geometry_extension
61,1.2,0.13,C01,existing_T128
62,1.2,0.14,C01,geometry_extension
63,1.2,0.15,C01,geometry_extension
64,1.2,0.16,C01,geometry_extension
65,1.2,0.17,C01,existing_T128
66,1.2,0.185,C01,existing_T128
67,1.2,0.195,C01,existing_T128
68,1.2,0.205,C01,existing_T128
69,1.0,0.225,C02,existing_T128
70,1.0,0.23,C02,geometry_extension
71,1.0,0.235,C02,geometry_extension
72,1.0,0.24,C02,geometry_extension
73,1.0,0.245,C02,existing_T128
74,1.0,0.26,C02,geometry_extension
75,1.0,0.265,C02,geometry_extension
76,1.0,0.27,C02,geometry_extension
77,1.0,0.275,C02,geometry_extension
78,1.0,0.28,C02,geometry_extension
79,1.0,0.29,C02,existing_T128
80,1.0,0.305,C02,geometry_extension
