budget,n_points,mean,median,p90,p95,max,n_le_1e-2,n_le_1e-3,n_le_1e-4,n_le_1e-5
24,64,0.04326222794456716,0.026547995713865652,0.10520460041434244,0.11657690451442852,0.2288242442510929,15,2,0,0
36,64,0.03308135330284028,0.021399431632899597,0.06821084104570196,0.08693112742151268,0.2016028515058522,18,2,0,0
48,64,0.023728761254448127,0.0128696377271097,0.06168534853452096,0.08515686299373164,0.1169472400182358,27,1,0,0
60,64,0.013794671659139182,0.005414223864696749,0.030924152390792506,0.0564044053176435,0.1143589996137716,41,3,0,0
76,64,0.008765411373276839,0.005170293210086149,0.01803696454572407,0.0245898775178988,0.0946409391613922,47,4,0,0
