case_id,regime,Mach,alpha,reference_cr,reference_ci,reference_omega_i,validation_status,spectral_source,modal_source,branch_identifier,selection_rank,selection_rule,canonical_stage1_mismatch,best_stage2_mismatch,canonical_provenance_source
supersonic_M110,supersonic,1.1,0.175,0.1508143457011082,0.092213234034898,0.0161373159561071,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.10_a0.175000,1,max(alpha*ci) among canonical modal-spectral points,9.209272529347948e-06,3.3933657261595065e-19,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv
supersonic_M110,supersonic,1.1,0.2,0.1656761547463344,0.0791796566675815,0.0158359313335163,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.10_a0.200000,2,max(alpha*ci) among canonical modal-spectral points,1.314381709687337e-05,2.9859546502175105e-19,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_summary.csv
supersonic_M120,supersonic,1.2,0.15,0.209251477505801,0.0890539934231143,0.0133580990134671,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.20_a0.150000,1,max(alpha*ci) among canonical modal-spectral points,2.732693095535446e-06,1.1680993728282036e-18,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M120,supersonic,1.2,0.175,0.2259107392431602,0.0762428518157576,0.0133424990677575,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.20_a0.175000,2,max(alpha*ci) among canonical modal-spectral points,2.48514172215903e-06,1.0773235011332662e-20,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M120,supersonic,1.2,0.1875,0.2331694872807306,0.0698658844864319,0.0130998533412059,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.20_a0.187500,3,max(alpha*ci) among canonical modal-spectral points,1.1222729728655301e-07,5.0165079385983805e-19,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M130,supersonic,1.3,0.15,0.2679464671366972,0.0699190855162764,0.0104878628274414,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.30_a0.150000,1,max(alpha*ci) among canonical modal-spectral points,2.48584615768089e-06,5.4148242835433054e-20,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M130,supersonic,1.3,0.1625,0.2753741570531295,0.0644937399606446,0.0104802327436047,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.30_a0.162500,2,max(alpha*ci) among canonical modal-spectral points,3.525295246738324e-06,3.76409257947918e-19,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M130,supersonic,1.3,0.175,0.2821847483866972,0.0590180438496097,0.0103281576736816,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.30_a0.175000,3,max(alpha*ci) among canonical modal-spectral points,2.234820388918325e-06,1.157558020111278e-18,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M140,supersonic,1.4,0.18125,0.3153193678544234,0.0427209194542578,0.0077431666510842,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.40_a0.181250,1,max(alpha*ci) among canonical modal-spectral points,0.0058666869984485,1.3654422406630672e-18,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv
supersonic_M140,supersonic,1.4,0.1875,0.3183709082056269,0.0411403935788011,0.0077138237960252,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.40_a0.187500,2,max(alpha*ci) among canonical modal-spectral points,0.0060030096781822,6.8384475574140265e-19,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_M140_branch_guided.csv
supersonic_M140,supersonic,1.4,0.16875,0.32767268188658,0.0450433791097876,0.0076010702247766,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.40_a0.168750,3,max(alpha*ci) among canonical modal-spectral points,0.0006446884127008,7.4935395227477695e-19,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M150,supersonic,1.5,0.165625,0.3680825090907056,0.0380056534011514,0.0062946863445657,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.50_a0.165625,1,max(alpha*ci) among canonical modal-spectral points,2.1496167389108205e-06,4.5129458631744745e-19,assets/classic_supersonic/shooting/supersonic_shooting_modal_front_spectral_dense_M140_M150_branch_guided_summary.csv
supersonic_M150,supersonic,1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.50_a0.150000,2,max(alpha*ci) among canonical modal-spectral points,1.5826674783649809e-06,1.7707920233320626e-18,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M150,supersonic,1.5,0.1375,0.3561293840907055,0.0454370701278998,0.0062475971425862,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.50_a0.137500,3,max(alpha*ci) among canonical modal-spectral points,2.9242691405786992e-06,8.883374749124309e-19,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal.csv
supersonic_M160,supersonic,1.6,0.125,0.3875635867175142,0.0251098747521818,0.0031387343440227,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.60_a0.125000,1,max(alpha*ci) among canonical modal-spectral points,0.0170167361331252,1.1590165901932192e-18,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_summary.csv
supersonic_M160,supersonic,1.6,0.1,0.3723024463246057,0.0286170504353144,0.0028617050435314,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.60_a0.100000,2,max(alpha*ci) among canonical modal-spectral points,0.010372068730472,7.9348249071463715e-19,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M16_summary.csv
supersonic_M170,supersonic,1.7,0.15,0.4298105790421235,0.0187913958826526,0.0028187093823978,modal_spectral_validated_with_exported_fields,classic_supersonic/data/spectral/supersonic_primary_modal_spectral_133pts.csv,classic_supersonic/data/modal/supersonic_reference_v2_modal_raw.parquet,M1.70_a0.150000,1,max(alpha*ci) among canonical modal-spectral points,6.137244186249679e-07,5.716878123491789e-18,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M17_manual_summary.csv
