Mach,alpha,study_type,configuration,reference_configuration,A_star_real,A_star_imag,core_relative_L2_p,tail_contribution_p,full_relative_L2_p,phase_mismatch_p,full_relative_L2_rho,full_relative_L2_u,full_relative_L2_v,n_common_points,n_core_points,n_tail_points,branch_status
1.8,0.1,integration_accuracy,strict_step_0p5,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,1.0,7.395209922836034e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4418,4409,7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_adaptive,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,1.0,7.395209922836034e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4418,4409,7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_step_1,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,1.0,7.395209922836034e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4418,4409,7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,loose_tolerance,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,1.0000001367852986,-9.385408853275161e-07,1.8226212998254726e-06,6.177080257846476e-11,1.8226212979246222e-06,1.6611156894441592e-12,1.8226212979289874e-06,1.281377427570036e-06,1.932849666248506e-06,4418,4409,7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,integration_accuracy,strict_step_2,supersonic_M180__supersonic_shooting__shooting_accuracy__3fe75b9d98f0,1.0,7.395209922836034e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4418,4409,7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=2000,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,0.9459239452684477,0.08375415088679397,0.4629494416543686,1.3584956912365568e-05,0.4629494412901942,0.11361531236606526,0.46294944129019416,0.22388406652156584,0.5062852290435926,4416,4408,7,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=1000,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,0.956139444254485,-0.07148788871124247,0.45876761454184817,3.2274596308270357e-06,0.4587676139947265,0.11144371261715669,0.45876761399472643,0.2168590567356858,0.5022777224859578,4413,4407,6,resolved; validated_core_stable_tail_sensitive
1.8,0.1,domain_size,Ly=1500,supersonic_M180__supersonic_shooting__shooting_box__4088df6303d7,0.9664949408150783,-0.07972364782517663,0.4246848526106606,4.098705628353267e-06,0.424684852113519,0.09465875165048332,0.4246848521135189,0.20358266109977377,0.4646418541128775,4416,4408,7,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_0p5,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,1.0,2.974550165353902e-35,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,4418,4410,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_adaptive,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,1.0,2.974550165353902e-35,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,4418,4410,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_2,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,1.0,2.974550165353902e-35,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,4418,4410,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,loose_tolerance,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,1.000000115169079,-8.26508894670952e-07,1.4775196205016276e-06,1.5151798985042273e-11,1.477519619605577e-06,1.092015367021304e-12,1.4775196196030108e-06,1.144843474780701e-06,1.541460473593585e-06,4418,4410,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,integration_accuracy,strict_step_1,supersonic_M190__supersonic_shooting__shooting_accuracy__30bfafd55e43,1.0,2.974550165353902e-35,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,4418,4410,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,domain_size,Ly=1500,supersonic_M190__supersonic_shooting__shooting_box__bdbedb30ed32,0.9206648152798718,-0.10498241773851712,0.5230257273712279,3.11883744383299e-06,0.5230257272250673,0.14768310558349385,0.5230257272250672,0.25822105834409587,0.5663274083165555,4416,4409,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,domain_size,Ly=2000,supersonic_M190__supersonic_shooting__shooting_box__bdbedb30ed32,0.9020689399391658,0.11360214387074354,0.5523248241111627,8.657846211887961e-06,0.5523248240148517,0.16637101257779374,0.5523248240148516,0.2774591652988285,0.5975506238996109,4416,4409,6,resolved; validated_core_stable_tail_sensitive
1.9,0.1,domain_size,Ly=1000,supersonic_M190__supersonic_shooting__shooting_box__bdbedb30ed32,0.9130546285270809,-0.09458486277409733,0.5503480976800211,1.619683920550424e-06,0.5503480975187485,0.16506469030230742,0.5503480975187486,0.267767279863357,0.5963393457259955,4413,4408,5,resolved; validated_core_stable_tail_sensitive
