task_index,role,Mach,alpha,reference_cr,reference_ci,reference_omega_i,reference_residual_norm,reference_mode_gamma_mismatch
0,low_alpha,1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.0166492720998998,1.5096746018751327e-09,1.519857886974702e-09
1,peak_growth,1.1,0.17,0.1506987370978195,0.0986505663220147,0.0167705962747425,3.4330497438141133e-13,5.043954242401223e-11
2,near_neutral,1.1,0.345,0.2361168831795016,0.0011771278177396,0.0004061090971201,8.124561207589337e-12,1.0103579951675736e-07
3,low_alpha,1.15,0.06,-2.549736936302885e-09,0.1998472244836177,0.011990833469017,9.536208903643116e-09,9.535876797064404e-09
4,peak_growth,1.15,0.165,0.186149047302406,0.0913362385162638,0.0150704793551835,1.0468122633335321e-13,6.911629875229326e-11
5,near_neutral,1.15,0.335,0.2623955037838868,0.0011041412933339,0.0003698873332668,6.1932189099020235e-12,9.484694953471844e-08
6,low_alpha,1.2,0.05,0.0587939705593892,0.1408414697456862,0.0070420734872843,1.46583971323966e-12,2.291724109044303e-11
7,peak_growth,1.2,0.16,0.2163108523694062,0.0839300841651744,0.0134288134664279,5.6026195878645904e-14,7.864085917100426e-11
8,near_neutral,1.2,0.325,0.2866288204509615,0.0008989707890822,0.0002921655064517,2.7140093267745958e-11,1.743977694857736e-07
9,low_alpha,1.25,0.05,0.1201816977923283,0.124879699478062,0.0062439849739031,2.7588044572264835e-10,2.4519738429227846e-10
10,peak_growth,1.25,0.16,0.2464222279528879,0.0743731035158428,0.0118996965625348,2.8458420693008764e-14,3.911624765903848e-11
11,near_neutral,1.25,0.315,0.3091557589953352,0.0007606930795383,0.0002396183200545,1.9826595633753105e-11,2.478832652996116e-07
12,low_alpha,1.3,0.05,0.1615554191173152,0.1092546527199461,0.0054627326359973,5.2270132050080974e-11,5.438208116280829e-11
13,peak_growth,1.3,0.155,0.2710116736171365,0.0677588912197648,0.0105026281390635,3.693436449690247e-14,2.7836475808662008e-11
14,near_neutral,1.3,0.305,0.3301975224894724,0.0007663018022479,0.0002337220496856,5.137164658358689e-12,2.147689027566103e-07
15,low_alpha,1.35,0.05,0.1965550968817506,0.0943334435104853,0.0047166721755242,2.312911154047905e-11,4.3697183376469456e-11
16,peak_growth,1.35,0.155,0.2967549899429557,0.0596339037531516,0.0092432550817385,2.019965081417224e-14,7.819716081035359e-11
17,near_neutral,1.35,0.295,0.3499126544947055,0.0009334624149684,0.0002753714124156,3.04380288790317e-11,9.999919682840693e-08
18,low_alpha,1.4,0.05,0.2284495959648327,0.0805532227768955,0.0040276611388447,1.2691482053324894e-11,3.5003237796667564e-11
19,peak_growth,1.4,0.15,0.3181538770330802,0.0541759298007297,0.0081263894701094,1.505223228669901e-14,2.941357314459177e-11
20,near_neutral,1.4,0.285,0.3684256005207542,0.001253626453456,0.0003572835392349,9.499720699005214e-13,4.113917371101911e-08
21,low_alpha,1.45,0.05,0.2584141991785808,0.0683211956839623,0.0034160597841981,6.2584515896487216e-12,2.3602195668164208e-11
22,peak_growth,1.45,0.15,0.3409303879527062,0.0476035893642579,0.0071405384046386,1.2163462045380391e-14,3.159172358164787e-11
23,near_neutral,1.45,0.275,0.3858388736824294,0.0017066451649366,0.0004693274203575,1.113928252186415e-12,9.939338172673914e-09
24,low_alpha,1.5,0.05,0.2867884838082837,0.0578781158051297,0.0028939057902564,2.917626028311966e-12,1.9692713770452108e-11
