Mach,n_points,alpha_min,alpha_max,cr_min,cr_max,ci_min,ci_max,omega_i_min,omega_i_max,residual_median,residual_p95,residual_max,n_residual_above_1e8,neutral_alpha_lower,neutral_alpha_upper,neutral_alpha_uncertainty
1.0,63,0.05,0.36,-2.1381009935921505e-07,0.1726277897845503,0.0006922200572213,0.1010233002787392,0.0001288574238528,0.0191944270529604,4.720442890700721e-12,1.6100447545469983e-10,2.675991931448228e-09,0,0.3613191384228412,0.365,0.0018404307885794
1.05,62,0.05,0.355,1.2100138419185254e-10,0.207214037919543,0.0006067672856304,0.1304782261154136,0.0002154023863988,0.0184023569908442,1.4793633822706145e-12,1.7557472509051814e-10,8.04947810233612e-10,0,0.3571515976008527,0.36,0.0014242011995736
1.1,53,0.09,0.345,1.812993186489701e-09,0.2361168831795016,0.0011771278177396,0.1849919122211095,0.0004061090971201,0.0167705962747425,7.614472527316583e-13,2.2548108782017477e-10,1.5096746018751327e-09,0,,,
1.15,57,0.06,0.335,-2.7143269989556902e-09,0.2623955037838868,0.0011041412933339,0.1998472244836177,0.0003698873332668,0.0150704793551835,5.064035729569155e-13,2.380202752716077e-10,9.536208903643116e-09,0,,,
1.2,57,0.05,0.325,0.0587939705593892,0.2866288204509615,0.0008989707890822,0.1408414697456862,0.0002921655064517,0.0134288134664279,3.477977005154756e-13,1.5714619658597037e-10,1.047885677896171e-09,0,,,
1.25,55,0.05,0.315,0.1201816977923283,0.3091557589953352,0.0007606930795383,0.124879699478062,0.0002396183200545,0.0118996965625348,3.164160309841579e-13,1.2041184014194988e-10,3.1955901826624925e-10,0,,,
1.3,52,0.05,0.305,0.1615554191173152,0.3301975224894724,0.0007663018022479,0.1092546527199461,0.0002337220496856,0.0105026281390635,5.493603549547686e-13,1.7967296661440952e-10,3.1174456868512253e-10,0,,,
1.35,50,0.05,0.295,0.1965550968817506,0.3499126544947055,0.0009334624149684,0.0943334435104853,0.0002753714124156,0.0092432550817385,3.890725519946867e-13,1.1556826287794028e-10,2.353500991449322e-10,0,,,
1.4,48,0.05,0.285,0.2284495959648327,0.3684256005207542,0.001253626453456,0.0805532227768955,0.0003572835392349,0.0081263894701094,2.953262123285717e-13,3.9275888887304045e-11,1.8175476919123663e-10,0,,,
1.45,46,0.05,0.275,0.2584141991785808,0.3858388736824294,0.0017066451649366,0.0684112391288648,0.0004693274203575,0.0071405384046386,2.7326889808976963e-13,4.680773015563297e-11,3.4650207341738463e-10,0,,,
1.5,45,0.05,0.27,0.2867884838082837,0.403514362879259,0.0004165216734289,0.0586404622091123,0.0001124608518258,0.0062788327830075,1.9462162443674454e-13,8.410060605751298e-11,2.2295730576823848e-10,0,,,
1.55,43,0.05,0.26,0.3135717144297565,0.4189715103041552,0.0011522371683095,0.0508320672317021,0.0002995816637604,0.0055287576839084,1.998920860115633e-13,6.290499566779085e-11,3.6988859422221727e-10,0,,,
1.6,42,0.05,0.255,0.3386982234532665,0.4347990673571785,0.0002641241639164,0.0444438332205004,6.73516617987011e-05,0.0048754337032443,2.254427619120184e-13,1.2088015139378677e-10,5.891854140971548e-10,0,,,
1.65,40,0.05,0.245,0.3621555514026959,0.4485786032506465,0.0011851061122299,0.0391659824628922,0.0002903509974963,0.0043114775060078,2.4526625269868733e-13,4.607531242209634e-11,2.8453590863845705e-10,0,,,
1.7,39,0.05,0.24,0.3840001105701379,0.4628080238673403,0.0005983786311341,0.0347444091807322,0.0001436108714721,0.0038190359842547,2.3684304752524597e-13,8.240847649657989e-11,3.83349402017156e-10,0,,,
1.75,38,0.05,0.235,0.4043340347931455,0.4762994308359091,0.0001659878864715,0.0310102960939408,3.900715332082168e-05,0.0033947367232855,3.4775323810741296e-13,1.0385610310253245e-10,4.87994392282881e-10,0,,,
1.8,36,0.05,0.225,0.423279653101262,0.4880064912957754,0.0012262526181953,0.0278170962157899,0.0002759068390939,0.003023278037766,2.668425253494269e-13,1.0140331603221386e-10,5.848383094194352e-10,0,,,
1.85,35,0.05,0.22,0.4409623344477715,0.5002275325325128,0.0009551031056836,0.0250701844317049,0.0002101226832504,0.0027012565858548,4.0577064271960813e-13,1.1670791061197887e-10,6.585269993667955e-10,0,,,
1.9,34,0.05,0.215,0.4575013033096492,0.51185864489249,0.0007752887358164,0.0226924045559811,0.0001666870782005,0.0024190434868552,4.956075239298978e-13,1.27336408232134e-10,6.95871303455502e-10,0,,,
