status,Mach,target_ci,alpha_blumen,alpha_classical,delta_alpha,neutral_alpha_lower,neutral_alpha_upper,classical_cr,classical_ci,residual_norm,n_solver_calls,array_index,blumen_row_id,curve_key,curve_id_key,curve_label
no_neutral_bracket,1.0,0.0,0.0834154803114708,,,,,,,,28,0,4,0__ci=0__ci_0,0,ci=0
no_neutral_bracket,1.004149377593361,0.0,0.0337146481434782,,,,,,,,18,1,5,0__ci=0__ci_0,0,ci=0
no_neutral_bracket,1.008298755186722,0.0,0.4121906115555964,,,,,,,,33,2,8,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.037344398340249,0.0,0.4358317477056159,,,,,,,,33,3,9,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.0677731673582296,0.0,0.4484308016780909,,,,,,,,33,4,10,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.103734439834025,0.0,0.4596792064983992,,,,,,,,33,5,11,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.1410788381742738,0.0,0.4640291755500028,,,,,,,,33,6,12,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.1811894882434302,0.0,0.4587259194730368,,,,,,,,33,7,13,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.215767634854772,0.0,0.4533920970786243,,,,,,,,33,8,14,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.2448132780082988,0.0,0.4480277083667653,,,,,,,,33,9,15,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.2710926694329183,0.0,0.4371231746177301,,,,,,,,33,10,16,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.297372060857538,0.0,0.4248374253990816,,,,,,,,33,11,17,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.326417704011065,0.0,0.4153293902783828,,,,,,,,33,12,18,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.360995850622407,0.0,0.4017082750662908,,,,,,,,33,13,19,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.3831258644536653,0.0,0.3935432475183972,,,,,,,,33,14,20,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.4190871369294606,0.0,0.3799297738856668,,,,,,,,33,15,21,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.446749654218534,0.0,0.3704140971856064,,,,,,,,33,16,22,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.4744121715076073,0.0,0.3595172050159327,,,,,,,,33,17,23,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.5089903181189488,0.0,0.347277305273454,,,,,,,,33,18,24,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.5297372060857537,0.0,0.3404858516158121,,,,,,,,33,19,25,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.5601659751037344,0.0,0.3309854580744749,,,,,,,,33,20,26,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.5947441217150762,0.0,0.3159831273927697,,,,,,,,33,21,27,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.6307053941908711,0.0,0.306513300168879,,,,,,,,33,22,28,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.6680497925311202,0.0,0.2956698990547367,,,,,,,,33,23,29,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.706777316735823,0.0,0.2862153549895693,,,,,,,,33,24,30,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.744121715076072,0.0,0.2767531693450403,,,,,,,,33,25,31,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.784232365145228,0.0,0.270068697798461,,,,,,,,33,26,32,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.8229598893499304,0.0,0.2633765846725202,,,,,,,,33,27,33,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.8644536652835408,0.0,0.2580809701749158,,,,,,,,33,28,34,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.900414937759336,0.0,0.2541360048294782,,,,,,,,33,29,35,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.9529737206085755,0.0,0.2502827384363801,,,,,,,,33,30,36,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,1.991701244813278,0.0,0.2477342717192791,,,,,,,,33,31,37,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,2.033195020746888,0.0,0.2452010881609012,,,,,,,,33,32,38,2__ci_sup=0__ci_0,2,ci_sup=0
no_neutral_bracket,2.0677731673582294,0.0,0.2440109121753285,,,,,,,,33,33,39,2__ci_sup=0__ci_0,2,ci_sup=0
