final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40
M1.500000_a0.05000000,1.5,0.05,False,0.2867884838082837,0.0578781158051297,0.29578331112861633,0.07861949503421783,0.008994827320332632,0.020741379229088135,0.022607780316684145,0.26097471806169115,0.4098332115657165,0.03465436421320023,0.0633587205661067,0.1506885999444568,0.38698818635382937,1.5033009167615572,0.5303083969612808,0.8431162448736766,-0.37616436729853026,1601,3201
M1.500000_a0.05500000,1.5,0.055,False,0.2927446492549135,0.0583866509164055,0.2979477047920227,0.07296953350305557,0.005203055537109202,0.014582882586650074,0.015483289426290032,0.250626928632738,0.40264189079336316,0.03191625225700612,0.05677025437074046,0.1695939072619135,0.36376644980108397,1.379226417832587,0.46874594813617876,0.842006224638562,-0.3656591207133431,1601,3201
M1.500000_a0.06000000,1.5,0.06,False,0.2983284136239438,0.0586268857628369,0.30086827278137207,0.06765016168355942,0.0025398591574282703,0.009023275920722516,0.009373920891551358,0.24530429820331248,0.40789731751356034,0.030553868808080642,0.05559983337531427,0.1883205689926805,0.35021022164155435,1.2885404557560451,0.4218561638610664,0.8401385219123322,-0.3533590719438886,1601,3201
M1.500000_a0.06500000,1.5,0.065,False,0.3035789845194382,0.0586404622091123,0.304440975189209,0.0627855658531189,0.0008619906697707735,0.004145103644006595,0.004233782249281205,0.244956790116013,0.4235837393180029,0.030466003187067714,0.05930662361941974,0.2066637235910137,0.3454363539502626,1.221620997906524,0.3861605265431899,0.8375635942822616,-0.33942578564805553,1601,3201
M1.500000_a0.07000000,1.5,0.07,True,0.3085296796468241,0.0584602672387943,0.3085286617279053,0.05845851078629494,1.0179189188219695e-06,1.7564524993629593e-06,2.030094654890277e-06,0.24922969789795626,0.4470449595515629,0.03155559907360017,0.06731436512036704,0.2244976848687524,0.34805764565711966,1.171941059088901,0.3590869993274123,0.8343160120595873,-0.3240242951869516,1601,3201
M1.500000_a0.07500000,1.5,0.075,False,0.3132090515913153,0.0581127147885543,0.31297340989112854,0.05471209064126015,0.00023564170018675057,0.003400624147294154,0.0034087786085381074,0.25753103998468757,0.47566204370779425,0.033729973845610606,0.07902601773110784,0.24174256551793422,0.3564648228146898,1.1349335010906045,0.33868120601123824,0.8304171362968428,-0.3073247048417922,1601,3201
M1.500000_a0.08000000,1.5,0.08,False,0.3176417654238463,0.0576193324262716,0.31761106848716736,0.05155544355511665,3.0696936678953346e-05,0.006063888871154943,0.006063966568479599,0.2691460089995484,0.5072406763754794,0.03690061476521822,0.09383663407548393,0.2583455369292136,0.3691163646087794,1.10731583446214,0.32343385782189576,0.8258765755321035,-0.289504179334541,1601,3201
M1.500000_a0.08500000,1.5,0.085,False,0.3218492869365933,0.0569978921594081,0.3222862482070923,0.04897129908204079,0.00043696127049897004,0.008026593077367312,0.008038478188162043,0.2833458663053722,0.5401110805684428,0.040982210776224215,0.11114341786885262,0.27427011982938865,0.3847199092977488,1.086677449332121,0.3121706058102489,0.8206970604345606,-0.27074964657659,1601,3201
M1.500000_a0.09000000,1.5,0.09,False,0.3258504254289729,0.0562632320216114,0.3268648684024811,0.04692394658923149,0.0010144429735081673,0.009339285432379912,0.009394218803815661,0.2994591834218631,0.5730711407438424,0.04589088807185637,0.1303525574492419,0.28949003326069034,0.4022870712665011,1.071213598947496,0.3039754137766292,0.8148775150824084,-0.25126029163871166,1601,3201
M1.500000_a0.09500000,1.5,0.095,False,0.3296617663816018,0.0554278666161298,0.33124256134033203,0.045366715639829636,0.0015807949587302583,0.010061150976300164,0.010184580092937202,0.31690121459121845,0.6052779813106717,0.05154145046258851,0.1508824937346528,0.30398575983113996,0.421101764157642,1.0595512359788641,0.29813280459570696,0.8084177553177726,-0.23125151742630273,1601,3201
