side,y_fit_min,y_fit_max,n_fit_points,kappa_theory,kappa_fit,absolute_difference,relative_difference
left,-1074.8788603140451,-540.1914491517884,156,0.012861151313956603,0.012861151313956199,4.0419056990259605e-16,3.14272462889056e-14
right,99.95798425971785,197.78416910452063,187,-0.07023947424864835,-0.07023947424864638,1.970645868709653e-15,2.8056102210183826e-14
