Mach,alpha,ci_value,source
1.1,0.09,0.1849919122211095,dense_classical_reference
1.1,0.095,0.1439719750936911,dense_classical_reference
1.1,0.1,0.1408594531338783,dense_classical_reference
1.1,0.105,0.1377614529920954,dense_classical_reference
1.1,0.11,0.1346775747592678,dense_classical_reference
1.1,0.115,0.1316074319054831,dense_classical_reference
1.1,0.12,0.1285506661833083,dense_classical_reference
1.1,0.125,0.1255069324594236,dense_classical_reference
1.1,0.13,0.122475903263755,dense_classical_reference
1.1,0.135,0.1194572670812644,dense_classical_reference
1.1,0.14,0.1164507274034491,dense_classical_reference
1.1,0.145,0.1134560016881082,dense_classical_reference
1.1,0.15,0.1104728205019271,dense_classical_reference
1.1,0.155,0.1075009266966481,dense_classical_reference
1.1,0.16,0.1045400746294168,dense_classical_reference
1.1,0.165,0.1015900294887648,dense_classical_reference
1.1,0.17,0.0986505663220147,dense_classical_reference
1.1,0.175,0.0957214701503959,dense_classical_reference
1.1,0.18,0.0928025345122517,dense_classical_reference
1.1,0.185,0.0898935613408621,dense_classical_reference
1.1,0.1875,0.0884427509439601,dense_classical_reference
1.1,0.19,0.0869943604140983,dense_classical_reference
1.1,0.195,0.0841047488496381,dense_classical_reference
1.1,0.2,0.0812245506598016,dense_classical_reference
1.1,0.205,0.0783535962323096,dense_classical_reference
1.1,0.21,0.0754917222519709,dense_classical_reference
1.1,0.215,0.0726387709774911,dense_classical_reference
1.1,0.22,0.0697945900466464,dense_classical_reference
1.1,0.225,0.0669590322340125,dense_classical_reference
1.1,0.23,0.0641319550045144,dense_classical_reference
1.1,0.235,0.0613132204151196,dense_classical_reference
1.1,0.24,0.0585026948235119,dense_classical_reference
1.1,0.245,0.0557002486180792,dense_classical_reference
1.1,0.25,0.0529057559191424,dense_classical_reference
1.1,0.255,0.0501190946120559,dense_classical_reference
1.1,0.26,0.0473401459935351,dense_classical_reference
1.1,0.265,0.0445687947481188,dense_classical_reference
1.1,0.27,0.0418049284949206,dense_classical_reference
1.1,0.275,0.0390484380561166,dense_classical_reference
1.1,0.28,0.0362992172070976,dense_classical_reference
1.1,0.285,0.0335571621878426,dense_classical_reference
1.1,0.29,0.0308221720963001,dense_classical_reference
1.1,0.295,0.0280941487707899,dense_classical_reference
1.1,0.3,0.0253729963228432,dense_classical_reference
1.1,0.305,0.0226586211744938,dense_classical_reference
1.1,0.31,0.0199509324746749,dense_classical_reference
1.1,0.315,0.0172498403916324,dense_classical_reference
1.1,0.32,0.0145552597941017,dense_classical_reference
1.1,0.325,0.0118671046042683,dense_classical_reference
1.1,0.33,0.0091852939187754,dense_classical_reference
1.1,0.335,0.0065097464852899,dense_classical_reference
1.1,0.34,0.0038403842641137,dense_classical_reference
1.1,0.345,0.0011771278177396,dense_classical_reference
1.15,0.06,0.1998472244836177,dense_classical_reference
1.15,0.065,0.1599190568707925,dense_classical_reference
1.15,0.07,0.1450959349017018,dense_classical_reference
1.15,0.075,0.1421829713450822,dense_classical_reference
1.15,0.08,0.1392808657517153,dense_classical_reference
1.15,0.085,0.1363892725254269,dense_classical_reference
1.15,0.09,0.1335078749432744,dense_classical_reference
1.15,0.095,0.1306363663726639,dense_classical_reference
1.15,0.1,0.1277744569464649,dense_classical_reference
1.15,0.105,0.124921872190643,dense_classical_reference
1.15,0.11,0.1220783521564731,dense_classical_reference
1.15,0.115,0.1192436508743323,dense_classical_reference
1.15,0.12,0.1164175356042111,dense_classical_reference
1.15,0.125,0.1135997862286294,dense_classical_reference
1.15,0.13,0.1107901946633786,dense_classical_reference
1.15,0.135,0.1079885641008672,dense_classical_reference
1.15,0.14,0.1051947086301248,dense_classical_reference
1.15,0.145,0.1024084525397898,dense_classical_reference
1.15,0.15,0.0996296300519795,dense_classical_reference
1.15,0.155,0.0968580842660088,dense_classical_reference
1.15,0.16,0.0940936670254569,dense_classical_reference
1.15,0.165,0.0913362385162638,dense_classical_reference
1.15,0.17,0.0885856665308793,dense_classical_reference
1.15,0.175,0.0858418261519786,dense_classical_reference
1.15,0.18,0.0831045993477835,dense_classical_reference
1.15,0.185,0.0803738745892947,dense_classical_reference
1.15,0.1875,0.0790109172963611,dense_classical_reference
1.15,0.19,0.0776495464050718,dense_classical_reference
1.15,0.195,0.074931515120691,dense_classical_reference
1.15,0.2,0.0722196863696432,dense_classical_reference
1.15,0.205,0.0695139708760752,dense_classical_reference
1.15,0.21,0.0668142840877893,dense_classical_reference
1.15,0.215,0.064120546034354,dense_classical_reference
1.15,0.22,0.061432680827112,dense_classical_reference
1.15,0.225,0.0587506164605508,dense_classical_reference
1.15,0.23,0.0560742848095208,dense_classical_reference
1.15,0.235,0.0534036211135766,dense_classical_reference
1.15,0.24,0.0507385639093399,dense_classical_reference
1.15,0.245,0.048079054596058,dense_classical_reference
1.15,0.25,0.0454250379131812,dense_classical_reference
1.15,0.255,0.0427764608549247,dense_classical_reference
1.15,0.26,0.0401332732490241,dense_classical_reference
1.15,0.265,0.0374954270052493,dense_classical_reference
1.15,0.27,0.0348628766548256,dense_classical_reference
1.15,0.275,0.032235578489867,dense_classical_reference
1.15,0.28,0.0296134911601608,dense_classical_reference
1.15,0.285,0.0269965748646317,dense_classical_reference
1.15,0.29,0.0243847919214007,dense_classical_reference
1.15,0.295,0.0217781061290199,dense_classical_reference
1.15,0.3,0.0191764832750002,dense_classical_reference
1.15,0.305,0.0165798894695289,dense_classical_reference
1.15,0.31,0.0139882940338707,dense_classical_reference
1.15,0.315,0.0114016668043197,dense_classical_reference
1.15,0.32,0.0088199783947876,dense_classical_reference
1.15,0.325,0.0062432011009221,dense_classical_reference
1.15,0.33,0.0036713066046515,dense_classical_reference
1.15,0.335,0.0011041412933339,dense_classical_reference
1.2,0.05,0.1408414697456862,dense_classical_reference
1.2,0.055,0.1382418349818659,dense_classical_reference
1.2,0.06,0.1356419301356869,dense_classical_reference
1.2,0.065,0.1330421441116264,dense_classical_reference
1.2,0.07,0.1304428119843612,dense_classical_reference
1.2,0.075,0.1278442189910901,dense_classical_reference
1.2,0.08,0.1252466098615217,dense_classical_reference
1.2,0.085,0.1226501948965649,dense_classical_reference
1.2,0.09,0.1200551554586059,dense_classical_reference
1.2,0.095,0.1174616483235438,dense_classical_reference
1.2,0.1,0.1148698095470125,dense_classical_reference
1.2,0.105,0.1122797576975727,dense_classical_reference
1.2,0.11,0.1096915966196238,dense_classical_reference
1.2,0.115,0.1071054177329335,dense_classical_reference
1.2,0.12,0.1045213020226926,dense_classical_reference
1.2,0.125,0.1019393220463928,dense_classical_reference
1.2,0.13,0.0993595427438833,dense_classical_reference
1.2,0.135,0.0967820232804793,dense_classical_reference
1.2,0.14,0.094206817652732,dense_classical_reference
1.2,0.145,0.091633975727477,dense_classical_reference
1.2,0.15,0.089063544049155,dense_classical_reference
1.2,0.155,0.0864955663967861,dense_classical_reference
1.2,0.16,0.0839300841651744,dense_classical_reference
1.2,0.165,0.0813671371952737,dense_classical_reference
1.2,0.17,0.0788067637074469,dense_classical_reference
1.2,0.175,0.0762490007480093,dense_classical_reference
1.2,0.18,0.0736938845202286,dense_classical_reference
1.2,0.185,0.0711414505629227,dense_classical_reference
1.2,0.1875,0.0698662503663249,dense_classical_reference
