final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40
M1.400000_a0.05000000,1.4,0.05,False,0.2284495959648327,0.0805532227768955,0.24307504296302795,0.09625671058893204,0.014625446998195263,0.015703487812036537,0.02145933897769917,0.25904794506967704,0.4203655404669867,0.03413553634312738,0.06434058610506788,0.17325818788435798,0.3834594229626755,1.2773224242724097,0.5981975638134401,0.8361045159038655,-0.356076981652995,1601,3201
M1.400000_a0.05500000,1.4,0.055,False,0.2358953607948584,0.080102566612191,0.24541690945625305,0.09224310517311096,0.009521548661394652,0.012140538560919956,0.015428952182844131,0.2498870072795761,0.4213394494425253,0.031724995885539786,0.06082200452582287,0.19317463579932523,0.36682810967291984,1.207080776267456,0.5343668315675695,0.8331710766311321,-0.3472880293631075,1601,3201
M1.400000_a0.06000000,1.4,0.06,False,0.2427904346731541,0.0794784192111629,0.24841710925102234,0.088210329413414,0.005626674577868251,0.0087319102022511,0.010387767930860109,0.24461666726103723,0.4311136067902903,0.030380133197497328,0.061405714918826626,0.21279519893850285,0.3568114229559891,1.1555225173573171,0.4851985947226124,0.8298308846244551,-0.33696052223381384,1601,3201
M1.400000_a0.06500000,1.4,0.065,False,0.2492077677030013,0.0787065106241082,0.2520430088043213,0.08424116671085358,0.0028352411013199963,0.005534656086745374,0.006218601941044453,0.24317865531697141,0.44775825335836006,0.030018483888362812,0.06560052345295142,0.23197862535360825,0.35238208315120223,1.117500463778236,0.44704684622254126,0.8261235120819794,-0.32522575866763564,1601,3201
M1.400000_a0.07000000,1.4,0.07,False,0.2552060077707218,0.0778073448700083,0.25622111558914185,0.08041355013847351,0.001015107818420069,0.0026062052684652087,0.0027969179080540355,0.2453373269287204,0.46925968844312005,0.030562226847194562,0.07291006572339409,0.25063276218862923,0.3524016805879325,1.0894467466577962,0.4172623262837089,0.8220751112252402,-0.31221217673765417,1601,3201
M1.400000_a0.07500000,1.4,0.075,True,0.2608331471465684,0.0767975321674059,0.2608434855937958,0.07679614424705505,1.0338447227364878e-05,1.3879203508426752e-06,1.0431194273585924e-05,0.25071348401101984,0.493826332723016,0.03193866468334938,0.08284464704098926,0.2686948057440827,0.35577393933967355,1.0688218643743104,0.39388022030869385,0.8177006915399164,-0.2980469715217766,1601,3201
M1.400000_a0.08000000,1.4,0.08,False,0.2661290557451206,0.0756907205857265,0.2657780349254608,0.07344549149274826,0.00035102081965976417,0.0022452290929782376,0.0022725028703591316,0.25884198619638654,0.5200226563876806,0.03408032105049841,0.0949316334508915,0.2861196947488588,0.3615582552509653,1.0537729941955172,0.3754243191750155,0.8130065644402074,-0.28285687076980465,1601,3201
M1.400000_a0.08500000,1.4,0.085,False,0.2711272889364555,0.0744982632586794,0.2708815336227417,0.07040397077798843,0.00024575531371379133,0.0040942924806909725,0.0041016614428376705,0.26923351414853086,0.5467813643028687,0.03692507308141768,0.10872445839461564,0.30287304267356846,0.36902743902741975,1.0429193591803858,0.36078010794413146,0.8079891510509636,-0.2667696973112115,1601,3201
M1.400000_a0.09000000,1.4,0.09,False,0.275856408505958,0.0732297072154944,0.2760133147239685,0.06769858300685883,0.00015690621801051075,0.005531124208635579,0.005533349308746461,0.28142066515387304,0.5733528287964941,0.040415501779883733,0.12380828223603857,0.318926822209799,0.3776732006589298,1.0352111097263093,0.349103094294233,0.8026398846923825,-0.2499167308303997,1601,3201
M1.400000_a0.09500000,1.4,0.095,False,0.2803409677479588,0.071893158111068,0.28104740381240845,0.06534083932638168,0.0007064360644496448,0.006552318784686317,0.00659029084102578,0.29498495296844884,0.5992379818218428,0.0444981017694408,0.13980380697270356,0.33425655480055977,0.38718165217188905,1.0298345271997245,0.3397532780256094,0.796944490101116,-0.23243423050220957,1601,3201
