cost_id,Mach,alpha,primary_chart,classical_seconds
88,1.162,0.18175,C01,449.3475836169673
87,1.162,0.16625,C01,394.2107020249823
458,1.81,0.33675,C32,375.88417858991306
188,1.342,0.18175,C11,375.044614493032
5,1.018,0.13525,C01,357.01662303402554
204,1.378,0.11975,C11,355.588434516103
27,1.054,0.16625,C01,352.08752942900173
7,1.018,0.16625,C01,350.2755102489609
9,1.018,0.19725,C01,347.77895017398987
29,1.054,0.19725,C01,347.43125511391554
314,1.558,0.27475,C22,347.2077598189935
270,1.486,0.21275,C22,345.20909648097586
281,1.522,0.07325,C20,345.0736246369779
459,1.81,0.3522499999999999,C32,343.87010145094246
129,1.234,0.19725,C11,339.390359594021
208,1.378,0.18175,C11,339.1988218779443
249,1.45,0.19725,C21,337.6914665700169
207,1.378,0.16625,C11,335.8639110750519
24,1.054,0.11975,C01,334.91332851699553
271,1.486,0.2282499999999999,C22,333.18181729502976
457,1.81,0.32125,C32,330.7602986309212
348,1.63,0.18175,C31,330.69103663100395
362,1.666,0.08875,C30,330.281538866926
402,1.738,0.08875,C30,329.9872254449874
169,1.306,0.19725,C11,328.774807354901
