Mach,n_points,alpha_min,alpha_max,ci_min,ci_max,n_joint_modal_spectral,n_core_modal_tail_sensitive
1.1,2,0.175,0.2,0.0791796566675815,0.092213234034898,2,0
1.2,6,0.15,0.216667,0.055042805686539,0.0890539934231143,6,0
1.25,1,0.25,0.25,0.0304106202499422,0.0304106202499422,1,0
1.3,9,0.1,0.2249999999999999,0.0353543235424167,0.0908323489283033,9,0
1.33,1,0.18,0.18,0.0508498118838383,0.0508498118838383,1,0
1.4,11,0.1,0.2,0.0232528549709631,0.0535875093459158,11,0
1.5,8,0.1,0.165625,0.0374707031249999,0.0487962958623987,8,0
1.6,2,0.1,0.125,0.0251098747521818,0.0286170504353144,2,0
1.7,4,0.1,0.175,0.015395447612567,0.0255832924228237,4,0
1.8,49,0.07,0.19,0.010449408,0.027816272,0,49
1.9,40,0.08,0.1775,0.009649028,0.0226943199999999,0,40
