final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40,cr_corrected,ci_corrected,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,cr_pinn_original,ci_pinn_original
M1.450000_a0.05000000,1.45,0.05,False,0.2584141991785808,0.0683211956839623,0.2584138456055893,0.0686874924347296,0.0120763279744343,0.0200408200998244,0.0233981231644684,0.2665489670831176,0.4378976043167269,0.036178622281637,0.0712551157650731,0.1598625966610636,0.4126692684640414,1.411596699847008,0.5778870225503078,0.8337373417390446,-0.3664982844920548,1601,3201,0.2584138456055893,0.0686874924347296,0.0003662969214129,1.75050482253239e-05,14.995398494414983,80,False,Maximum number of function evaluations has been exceeded.,0.2704905271530151,0.0883620157837867
M1.450000_a0.05500000,1.45,0.055,False,0.265108862663616,0.0684112391288648,0.2651088653540861,0.0684112345973909,0.0075643567787515,0.0152219602052797,0.0169978694537687,0.2551030767088595,0.4322525642742954,0.0330861360732934,0.0646533856349674,0.1795398975980179,0.3899149239910274,1.3122092464041162,0.512911070972836,0.8322382293035623,-0.3569552966267349,1601,3201,0.2651088653540861,0.0684112345973909,5.2699985277680145e-09,3.1300622706220767e-10,15.156999402679505,80,False,Maximum number of function evaluations has been exceeded.,0.2726732194423675,0.0836331993341445
M1.450000_a0.06000000,1.45,0.06,False,0.2713415690822946,0.0682708215545038,0.2713415579766988,0.0682708405732734,0.0042328170375479,0.0107442397047659,0.01154796202396,0.2482805867805725,0.4373868539663083,0.0313118405658633,0.0632010204612432,0.1989719639417719,0.3753420481177658,1.2392017994106848,0.4632439241270803,0.830094521073271,-0.3456438355495541,1601,3201,0.2713415579766988,0.0682708405732734,2.2023802003241452e-08,1.38458871849022e-09,15.217027867212892,80,False,Maximum number of function evaluations has been exceeded.,0.2755743861198425,0.0790150612592697
M1.450000_a0.06500000,1.45,0.065,False,0.2771685946141995,0.0679358880480178,0.2771686068668635,0.0679358918670988,0.001965202077695,0.0066773403922669,0.0069605239688098,0.2461218829163955,0.4514552938128355,0.0307611136826546,0.066353252136324,0.217963933443167,0.3680858050978245,1.1851460014564543,0.4251740698640583,0.8273538215676056,-0.332709062697246,1601,3201,0.2771686068668635,0.0679358918670988,1.283406230925006e-08,9.225877824358467e-10,15.466806183569132,80,False,Maximum number of function evaluations has been exceeded.,0.2791337966918945,0.0746132284402847
M1.450000_a0.07000000,1.45,0.07,False,0.2826360536502847,0.0674347210568422,0.2826360523066481,0.0674346987613062,0.0006111191822043,0.003081194694615,0.003141214319492,0.2484049291901645,0.4722018166551725,0.0313437187763508,0.073539274941755,0.2363958307456859,0.3669959549216208,1.1449569982129038,0.3959757750357458,0.8240482363959172,-0.3182979503730141,1601,3201,0.2826360523066481,0.0674346987613062,2.233598623602956e-08,1.8301023655686635e-09,15.620882971212268,80,False,Maximum number of function evaluations has been exceeded.,0.283247172832489,0.0705159157514572
M1.450000_a0.07500000,1.45,0.075,True,0.287782306314316,0.0667899812334504,0.2877823201879493,0.0667899952907331,4.673839416713399e-06,1.8882128222097453e-08,4.67387755808708e-06,0.2546790340080949,0.4974392521094975,0.0329743593695647,0.0841783393841786,0.2541912261893249,0.3708219842210306,1.1150493380905655,0.3735990918456449,0.8201962420408738,-0.3025598246823912,1601,3201,0.2877823201879493,0.0667899952907331,1.975056703362496e-08,1.769301569331229e-09,15.871578965336084,80,False,Maximum number of function evaluations has been exceeded.,0.2877776324748993,0.0667899623513221
M1.450000_a0.08000000,1.45,0.08,False,0.2926396781797712,0.0660201084379359,0.2926396866147765,0.0660203405087079,6.956404402902461e-05,0.0025404837493105,0.0025414359792709,0.2643493019093512,0.5253278842131734,0.0355729957223104,0.0976944032962453,0.2712994609929257,0.3783934358986311,1.0928289861950575,0.3564818371734846,0.8158041444436105,-0.2856484134968299,1601,3201,0.2926396866147765,0.0660203405087079,2.322240137131839e-07,2.3135856230200798e-08,15.851012703962624,80,False,Maximum number of function evaluations has been exceeded.,0.2925701141357422,0.0634796246886253
M1.450000_a0.08500000,1.45,0.085,False,0.2972357177263615,0.0651403110606665,0.2972357162316586,0.0651387418240475,0.0002315736287715,0.0045331869406694,0.0045390979483371,0.2767725703726725,0.5544574075963645,0.0390645472825434,0.1135280939372628,0.2876851300400639,0.3887366139506816,1.0763777492013265,0.3434269040405556,0.8108691515455386,-0.2677233873847798,1601,3201,0.2972357162316586,0.0651387418240475,1.5692373307801667e-06,1.717590606247255e-07,16.01658133044839,80,False,Maximum number of function evaluations has been exceeded.,0.297467291355133,0.060607124119997
M1.450000_a0.09000000,1.45,0.09,False,0.301594134791817,0.0641632806740468,0.3015941400952487,0.0641582728362513,0.0007302794614178,0.0059885960303013,0.006032958685911,0.2913319394603162,0.5838135674412493,0.043377973779461,0.1311452263975865,0.3033217685350347,0.4011173032542141,1.0642495523383806,0.333516314238431,0.8053813080863587,-0.2489534639424918,1601,3201,0.3015941400952487,0.0641582728362513,5.007840603667478e-06,5.980444088373699e-07,16.152517335489392,80,False,Maximum number of function evaluations has been exceeded.,0.3023244142532348,0.0581746846437454
M1.450000_a0.09500000,1.45,0.095,False,0.305735513834164,0.0630997197335261,0.3057355138226536,0.0630924593267545,0.0012852099855686,0.0069319793587225,0.0070501136541733,0.3074774614866628,0.6126991079761173,0.0484446360417502,0.1500418511071107,0.3181879884870529,0.4150256857820179,1.055329334508328,0.3260466876974179,0.7993276294681153,-0.229519752015085,1601,3201,0.3057355138226536,0.0630924593267545,7.2604067715650515e-06,9.409271247279908e-07,16.38619360513985,80,False,Maximum number of function evaluations has been exceeded.,0.3070207238197326,0.0561677403748035
