final_reference_id,Mach,alpha,is_anchor,cr_reference,ci_reference,cr_pinn,ci_pinn,cr_abs_error,ci_abs_error,complex_spectral_error,p_rel_l2_core20,p_rel_l2_core40,overlap_error_core20,overlap_error_core40,envelope_rel_l2_core40,phase_rmse_core40,kappa_rel_l2_core40,q_rel_l2_core40,alignment_real,alignment_imag,n_core20,n_core40,cr_corrected,ci_corrected,corrected_spectral_error,corrected_mismatch,optimization_seconds,nfev_reported,optimizer_success,optimizer_message,cr_pinn_original,ci_pinn_original
M1.600000_a0.05000000,1.6,0.05,False,0.3386982234532665,0.0421909590288649,0.3386978098789414,0.0425123528992414,0.0048569587652851,0.0239870647862901,0.0244738498301628,0.2274788361421869,0.3066321357734591,0.0262169753444068,0.0330624380412678,0.1383412490159036,0.2650443933595641,1.7147619330832289,0.4282262148234943,0.8687352882034678,-0.3727569747259382,1601,3201,0.3386978098789414,0.0425123528992414,0.0003213941364731,1.8519705722967623e-05,15.834383172914386,80,False,Maximum number of function evaluations has been exceeded.,0.3435551822185516,0.066178023815155
M1.600000_a0.05500000,1.6,0.055,False,0.3433196538075309,0.0431270003395126,0.3433195971508357,0.0432418462291448,0.0023681826010842,0.016435656688924,0.0166053936908539,0.2335643513630587,0.339721432083827,0.0276586536753911,0.0403970020255135,0.1547225114152835,0.2844120777699152,1.5407352369441418,0.3889761097362164,0.8640385641348635,-0.3615310985732047,1601,3201,0.3433195971508357,0.0432418462291448,0.0001148459036073,7.609574137345019e-06,16.40629607066512,80,False,Maximum number of function evaluations has been exceeded.,0.3456878364086151,0.0595626570284366
M1.600000_a0.06000000,1.6,0.06,False,0.3477230740318452,0.0437857312429802,0.3477230642095033,0.043785739378057,0.0008529948463286,0.0098923193942649,0.0099290273041227,0.2426572069882352,0.3780392129533386,0.0298879034376138,0.0509282550336638,0.1712362662238929,0.3085463721968164,1.414873189821269,0.3594937110790035,0.8589609807958415,-0.3489397827337106,1601,3201,0.3477230642095033,0.043785739378057,1.2753739690637665e-08,9.458582162505996e-10,16.498320075683296,80,False,Maximum number of function evaluations has been exceeded.,0.3485760688781738,0.0536780506372451
M1.600000_a0.06500000,1.6,0.065,False,0.351920647823667,0.0442049352581461,0.3519206483717742,0.0442049479886219,0.0001306996704583,0.0044167378788034,0.0044186712814957,0.2540435224907308,0.4184268121414251,0.0328072122474744,0.0641333214960704,0.1877836129839517,0.3346066072095968,1.3227502452111195,0.3371404703554527,0.8535760113706079,-0.3351034823861789,1601,3201,0.3519206483717742,0.0442049479886219,1.274226965425477e-08,1.0432543874849844e-09,16.527256046421826,80,False,Maximum number of function evaluations has been exceeded.,0.3520513474941253,0.0486216731369495
M1.600000_a0.07000000,1.6,0.07,True,0.3559247173858385,0.0444157003676643,0.3559247069678864,0.044415689530953,6.296436717068144e-06,5.840575446683371e-07,6.323467288404983e-06,0.2670933966538749,0.4588403607212727,0.0363293521830732,0.0795018914697719,0.2042848869460006,0.3607396672661228,1.254763108876414,0.3200115397250275,0.8479359035985626,-0.320140336999524,1601,3201,0.3559247069678864,0.044415689530953,1.503223321168282e-08,1.4304501751658255e-09,16.67323737591505,80,False,Maximum number of function evaluations has been exceeded.,0.3559310138225555,0.0444151163101196
M1.600000_a0.07500000,1.6,0.075,False,0.3597473303322884,0.0444438332205004,0.3597473272997257,0.044441253805399,0.0002858837599662,0.0034171888117975,0.0034291265505499,0.2812921621760697,0.4980213079477116,0.0403778246110025,0.0965478374054144,0.2206695068389059,0.3858396403902134,1.204292915473126,0.3067241221926639,0.8420727085760138,-0.3041675571209711,1601,3201,0.3597473272997257,0.044441253805399,2.5794168839756483e-06,2.694893236151762e-07,16.825341873802245,80,False,Maximum number of function evaluations has been exceeded.,0.3600332140922546,0.0410266444087028
M1.600000_a0.08000000,1.6,0.08,False,0.3633999906790227,0.0443109431210614,0.363399979867317,0.0442998283562511,0.000789693711999,0.0059189841989136,0.0059714311605979,0.2962414890375823,0.5352316959719382,0.0448869280693539,0.1148183612101553,0.2368697862095625,0.4093156231749247,1.1666475155796694,0.2962779510927837,0.8359992785880563,-0.287304537646275,1601,3201,0.363399979867317,0.0442998283562511,1.1114770068668434e-05,1.275543599417185e-06,17.108125379309058,80,False,Maximum number of function evaluations has been exceeded.,0.3641896843910217,0.0383919589221477
M1.600000_a0.08500000,1.6,0.085,False,0.3668935400338347,0.044035272272105,0.366893548446047,0.044015164758731,0.0013641017584626,0.0076042502837131,0.0077256324003146,0.3116445919832798,0.5700755408768563,0.0498012585318926,0.1339001803505258,0.2528169796824998,0.4309238629560554,1.1384226364749843,0.2879557043854054,0.8297131597999441,-0.2696762153504413,1601,3201,0.366893548446047,0.044015164758731,2.010751513363317e-05,2.5188353542195616e-06,17.394984423182905,80,False,Maximum number of function evaluations has been exceeded.,0.3682576417922973,0.0364310219883918
M1.600000_a0.09000000,1.6,0.09,False,0.3702381148620184,0.0436323392511477,0.3702381322615627,0.0436100462130379,0.0018899843410913,0.008571989399301,0.008777872354466,0.3272861339264192,0.6023814117261523,0.0550747190706035,0.1534220798450021,0.268438644633552,0.4506549386396297,1.117100903609915,0.2812500033108432,0.8231975868038685,-0.2514177771004812,1601,3201,0.3702381322615627,0.0436100462130379,2.2293044899841283e-05,3.030688223595701e-06,17.46469012182206,80,False,Maximum number of function evaluations has been exceeded.,0.3721280992031097,0.0350603498518466
M1.600000_a0.09500000,1.6,0.095,False,0.3734431471291369,0.0431154410476996,0.3734431602874693,0.0431002998648048,0.0022849832114392,0.0089147727127386,0.0092029517436716,0.3430097433566149,0.6321182133368762,0.0606681545042618,0.1730514188246771,0.2836570875174302,0.4686511424160285,1.1007866694266522,0.2758062468945768,0.8164248617591722,-0.232680238797373,1601,3201,0.3734431602874693,0.0431002998648048,1.5141188612332534e-05,2.2220409843447984e-06,17.38392435386777,80,False,Maximum number of function evaluations has been exceeded.,0.3757281303405761,0.0342006683349609
M1.600000_a0.10000000,1.6,0.1,False,0.3765173891167028,0.0424960479695786,0.3765173822395744,0.0424938799676494,0.0025005301852839,0.0087156147320259,0.009067226222204,0.3586964601477234,0.6593306243468178,0.0665457432324321,0.1924848744996823,0.2983884438092041,0.4851400293984097,1.0880264635519366,0.2713782100124915,0.8093621571518693,-0.213639364752213,1601,3201,0.3765173822395744,0.0424938799676494,2.168012836584297e-06,3.4180996227036776e-07,17.69142967183143,80,False,Maximum number of function evaluations has been exceeded.,0.3790179193019867,0.0337804332375526
M1.600000_a0.10500000,1.6,0.105,False,0.3794689505346765,0.0417841166306905,0.3794689427299908,0.0417841090476241,0.0025153727284918,0.008048107479947,0.008432030240222,0.3742421466985011,0.6840823122820233,0.0726689827065543,0.2114315979836708,0.3125428677947401,0.5003692908487911,1.0776877913721856,0.2677907847736115,0.8019777639361169,-0.1945031627111149,1601,3201,0.3794689427299908,0.0417841090476241,1.0881912203862768e-08,1.8547653207626835e-09,18.015710406936705,80,False,Maximum number of function evaluations has been exceeded.,0.3819843232631683,0.0337360091507434
M1.600000_a0.11000000,1.6,0.11,False,0.3823053415294019,0.0409883410294948,0.382305345041377,0.0409883292275696,0.0023288850311907,0.0069788359661994,0.007357163647196,0.3895344766827399,0.7064032618655721,0.078988115453713,0.2295891497484325,0.3260257669424962,0.5145368840683243,1.0688718540084152,0.2649087608161301,0.7942508107792026,-0.175523437960193,1601,3201,0.382305345041377,0.0409883292275696,1.2313383256559585e-08,2.2436195751062204e-09,18.05232091806829,80,False,Maximum number of function evaluations has been exceeded.,0.3846342265605926,0.0340095050632953
M1.600000_a0.11500000,1.6,0.115,False,0.3850335169835032,0.0401163544206415,0.3850335246693878,0.0401163563863921,0.0019553612666188,0.0055712308435235,0.0059044094365839,0.4044276174424613,0.7262395412891626,0.0854299905147699,0.2466134053936995,0.3387409708716512,0.5277117570780533,1.0608629563472138,0.2626083791912721,0.7861846348726024,-0.1570059928132467,1601,3201,0.3850335246693878,0.0401163563863921,7.93328415809684e-09,1.5012258227951183e-09,18.58715664036572,80,False,Maximum number of function evaluations has been exceeded.,0.386988878250122,0.0345451235771179
M1.600000_a0.12000000,1.6,0.12,False,0.3876599201926229,0.0391748932154282,0.3876599042083029,0.0391748753558859,0.0014196505776407,0.0038900387437446,0.0041409913294319,0.4187164836970667,0.7434090377910897,0.0918829886626045,0.2620873901366692,0.3505960285015206,0.5397488093747074,1.0530989691703905,0.2607511491930457,0.7778232913387221,-0.1393186580239598,1601,3201,0.3876599042083029,0.0391748753558859,2.396793139319957e-08,4.870800503007087e-09,18.49763098731637,80,False,Maximum number of function evaluations has been exceeded.,0.3890795707702636,0.0352848544716835
M1.600000_a0.12500000,1.6,0.125,False,0.3901905246635208,0.0381699312653096,0.3901905158015513,0.0381699179834173,0.0007545820812454,0.0020060461189301,0.0021432720659336,0.4321113612875053,0.7575682483571206,0.0981797454890142,0.2754955773076128,0.3615105413433323,0.5502043853900905,1.0451694787009411,0.2591602161806102,0.769269276401249,-0.1228948315065476,1601,3201,0.3901905158015513,0.0381699179834173,1.5966939730090365e-08,3.418676061483968e-09,18.30305115878582,80,False,Maximum number of function evaluations has been exceeded.,0.3909451067447662,0.0361638851463794
M1.600000_a0.13000000,1.6,0.13,True,0.3926308723662205,0.0371067899327223,0.3926308710029564,0.0371067761262367,1.010534555478948e-06,7.10647051066493e-08,1.0130302464037932e-06,0.4442203237895046,0.7682046852871193,0.1040824234716969,0.2862199935148338,0.3714274990095694,0.5582766425139195,1.0368388736250342,0.2576013136497085,0.760697798732846,-0.1082241522434598,1601,3201,0.3926308710029564,0.0371067761262367,1.3873627244333818e-08,3.1207086369223763e-09,18.682762858457863,80,False,Maximum number of function evaluations has been exceeded.,0.392629861831665,0.0371067188680172
