alpha,Mach,reference_cr,reference_ci,reference_omega_i,line_id,best_status,best_stage1_mismatch,best_stage2_mismatch,best_spectral_success,best_mode_success,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,source_csv,source_label,source_group,trusted_modal_bool,source_reference_file,source_reference_label
0.15,1.2,0.209251477505801,0.0890539934231143,0.0133580990134671,M1.20_anchor0.200,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.175,1.2,0.2259107392431602,0.0762428518157576,0.0133424990677575,M1.20_anchor0.200,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.1875,1.2,0.2331694872807306,0.0698658844864319,0.0130998533412059,M1.20_anchor0.200,validated,1.1222729728655301e-07,5.0165079385983805e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.2,1.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,M1.20_anchor0.200,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.208333,1.2,0.2439966767431603,0.0592701955657576,0.0123479376528009,M1.20_anchor0.200,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.216667,1.2,0.2479483075702228,0.055042805686539,0.0119259595796853,M1.20_anchor0.200,validated,3.013401433885299e-06,6.794823364852447e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.1,1.3,0.2292287978156679,0.0908323489283033,0.0090832348928303,M1.30_anchor0.175,validated,1.804350463478206e-06,6.609309114153527e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.125,1.3,0.2507322022046491,0.0805622512041191,0.0100702814005148,M1.30_anchor0.175,validated,8.48044792429182e-07,1.4640677329075317e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.15,1.3,0.2679464671366972,0.0699190855162764,0.0104878628274414,M1.30_anchor0.175,validated,2.48584615768089e-06,5.4148242835433054e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.1625,1.3,0.2753741570531295,0.0644937399606446,0.0104802327436047,M1.30_anchor0.175,validated,3.525295246738324e-06,3.76409257947918e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.175,1.3,0.2821847483866972,0.0590180438496097,0.0103281576736817,M1.30_anchor0.175,validated,2.234820388918325e-06,1.157558020111278e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.183333,1.3,0.286403134768127,0.0553553184156296,0.0101484565910926,M1.30_anchor0.175,validated,5.897737531703279e-07,1.5236565398847437e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.191667,1.3,0.290397275393127,0.0516736777906296,0.0099041388010966,M1.30_anchor0.175,validated,3.697097577497154e-06,1.8110070860450328e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.125,1.4,0.303271264704649,0.0535875093459158,0.0066984386682394,M1p40_branch_guided_0p125000,validated,0.0017665559834707,3.0047490024189555e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.1375,1.4,0.3111424049240388,0.0511307865076858,0.0070304831448067,M1p40_branch_guided_0p137500,validated,0.0016248557187462,6.237268754360609e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
0.15,1.4,0.3182275185165742,0.0486740636694557,0.0073011095504183,M1p40_branch_guided_0p150000,validated,0.0013443567711178,1.157019368920801e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting,True,assets/classic_supersonic/validated_modal_points/supersonic_validated_modal_points.csv,validated_modal_points
