case_id,solver,sweep_type,Mach,alpha,Ly,rtol,atol,accuracy_label,accuracy_order,n_mode_points,physical_dy,max_step,run_id,config_hash,regime,sweep_name,reference_policy,matching_y,n_points,trajectory_n_eval_left,trajectory_n_eval_right,cr,ci,omega_i,runtime_seconds,stage1_mismatch,stage2_mismatch,solver_success,spectral_success,modal_reconstruction_success,branch_distance,branch_relative_distance,branch_check_passed,overall_validated,converged,mode_file,error_message,reference_cr,reference_ci,reference_omega_i,branch_identifier
subsonic_M030,subsonic_mstab17,shooting_accuracy,0.3,0.4399999999999999,80.0,1e-10,1e-12,strict_1e-10,2,4001,0.04,0.25,subsonic_M030__subsonic_mstab17__shooting_accuracy__resolution_coupled__997125012835,997125012835f22770831cd0e6a167785657c0127e50926c576fa0eba6ab79a3,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.3892159814751886,0.17125503184908294,5.575761999934912,2.7993702852001536e-05,5.048709793414476e-29,True,True,True,0.0003965343805601429,0.0010198419434088563,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M030__subsonic_mstab17__shooting_accuracy__resolution_coupled__997125012835/mode.npz,,0.0,0.38881944709462846,0.17108055672163647,subsonic_cr0_M0.30_from_M0.28_M0.35
subsonic_M030,subsonic_mstab17,shooting_accuracy,0.3,0.4399999999999999,80.0,1e-12,1e-14,reference_1e-12,3,4001,0.04,0.25,subsonic_M030__subsonic_mstab17__shooting_accuracy__resolution_coupled__bf26d141060f,bf26d141060fcc6ceff5db68f69f6261fe860eb56511bdb831ef8d018f6433b6,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.3892159814803483,0.1712550318513532,8.362394666997716,2.7993701863422004e-05,1.135959703518257e-28,True,True,True,0.0003965343857198489,0.0010198419566790414,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M030__subsonic_mstab17__shooting_accuracy__resolution_coupled__bf26d141060f/mode.npz,,0.0,0.38881944709462846,0.17108055672163647,subsonic_cr0_M0.30_from_M0.28_M0.35
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-06,1e-08,coarse_1e-6,0,4001,0.04,0.25,subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__fc36e1f5a6af,fc36e1f5a6af12fa5a70f7440fd4140b793c21a63cf1eaf18da425aae49926cb,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.35769918319691707,0.15738764060664348,4.096244915970601,8.216901806475221e-07,2.8398992587956425e-25,True,True,True,0.00041351388907479025,0.001157376084733197,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__fc36e1f5a6af/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-08,1e-10,standard_1e-8,1,4001,0.04,0.25,subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__aac93ddeeb5d,aac93ddeeb5d42d2d4f8ee98f46996a88464e4e939ed104fcd2bb40ebd67ae15,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.35769928684005026,0.15738768620962207,4.384707040968351,7.343023583594015e-07,6.184669496932733e-28,True,True,True,0.00041361753220797715,0.0011576661695087427,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__aac93ddeeb5d/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-10,1e-12,strict_1e-10,2,4001,0.04,0.25,subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__2da3bedc5066,2da3bedc5066f36f80e25f899a9f8531274fe0912d5a41baafca1a3e42dfc7f1,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.3576992878712632,0.15738768666335576,5.449375667027198,7.343051144330795e-07,1.135959703518257e-28,True,True,True,0.0004136185634209255,0.0011576690557508647,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__2da3bedc5066/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42
subsonic_M040,subsonic_mstab17,shooting_accuracy,0.4,0.4399999999999999,80.0,1e-12,1e-14,reference_1e-12,3,4001,0.04,0.25,subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__57a89296f333,57a89296f3334133dbd5fabe49b8df2ba1657294024ee4cc2c7fa5fc22fdd935,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.35769928787521804,0.1573876866650959,8.039715291000903,7.343051626528238e-07,3.6476928257419586e-27,True,True,True,0.00041361856737576197,0.0011576690668199806,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M040__subsonic_mstab17__shooting_accuracy__resolution_coupled__57a89296f333/mode.npz,,0.0,0.3572856693078423,0.15720569449545058,subsonic_cr0_M0.40_from_M0.35_M0.42
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-06,1e-08,coarse_1e-6,0,4001,0.04,0.25,subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__7b3e3a977217,7b3e3a97721797f4b931e86ff622dc4d5c8fd74064e5788a3893d87c8e70eb6c,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.3800600045222707,0.14062220167324016,3.9552005419973284,6.328134754132811e-06,5.048709793414476e-29,True,True,True,0.00024966493202560613,0.000657341062107353,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__7b3e3a977217/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-08,1e-10,standard_1e-8,1,4001,0.04,0.25,subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__f862a2f151c9,f862a2f151c9607b210e16bc2dbe8c2de1762ffaff1246e4abd43f7565ee5012,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.3800600256185315,0.14062220947885667,4.699252792051993,6.442045145042449e-06,1.262177448353619e-29,True,True,True,0.0002496860282864555,0.000657396606305734,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__f862a2f151c9/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-10,1e-12,strict_1e-10,2,4001,0.04,0.25,subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__7a15ec4bf3bd,7a15ec4bf3bdd682fd9210ad4e4efb940c508f119917be1efcec6043c9c2c1b5,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.38006002575381764,0.14062220952891252,5.45781795901712,6.442959718270186e-06,3.155443620884047e-28,True,True,True,0.0002496861635725711,0.0006573969624996065,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__7a15ec4bf3bd/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56
subsonic_M050,subsonic_mstab17,shooting_accuracy,0.5,0.37,80.0,1e-12,1e-14,reference_1e-12,3,4001,0.04,0.25,subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__9caed7a148af,9caed7a148afab9def73f03f6c70b8b46303a2f4e22ea73c28f1505627296b98,subsonic,subsonic_pointwise_accuracy_resolution_coupled,smallest_tolerances_same_case,1.0,4001,2026,2001,0.0,0.38006002575421655,0.14062220952906013,7.889608958968893,6.442962434933211e-06,1.8175355256292112e-27,True,True,True,0.00024968616397147425,0.0006573969635498757,True,True,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_resolution_coupled_v2/runs/subsonic_M050__subsonic_mstab17__shooting_accuracy__resolution_coupled__9caed7a148af/mode.npz,,0.0,0.37981033959024507,0.14052982564839067,subsonic_cr0_M0.50_from_M0.49_M0.56
