Ly,Mach,accuracy_label,accuracy_order,alpha,atol,branch_check_passed,branch_distance,branch_identifier,branch_relative_distance,case_id,ci,config_hash,converged,cr,error_message,matching_y,max_step,modal_reconstruction_success,mode_file,n_mode_points,n_points,omega_i,overall_validated,physical_dy,reference_ci,reference_cr,reference_omega_i,reference_policy,regime,rtol,run_id,runtime_seconds,solver,solver_success,spectral_success,stage1_mismatch,stage2_mismatch,sweep_name,sweep_type,trajectory_n_eval_left,trajectory_n_eval_right
10.0,0.4,Ly10_N501,0,0.4399999999999999,1e-12,True,0.0004136185644743051,subsonic_cr0_M0.40_from_M0.35_M0.42,0.0011576690586991487,subsonic_M040,0.3576992878723166,451f3dc7ab0446c60289c7b8f88cb3c587412190de450b39ffe966bb47584806,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__451f3dc7ab04/mode.npz,501,501,0.15738768666381925,True,0.04,0.3572856693078423,0.0,0.15720569449545058,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__451f3dc7ab04,2.5745750829810277,subsonic_mstab17,True,True,7.34305122569184e-07,2.0317605652032922e-27,subsonic_pointwise_box_small_boxes,shooting_box,276,251
20.0,0.4,Ly20_N1001,1,0.4399999999999999,1e-12,True,0.0004136185634416867,subsonic_cr0_M0.40_from_M0.35_M0.42,0.001157669055808973,subsonic_M040,0.35769928787128397,65834855fec78733db16dc0bad8bc72f1c6bc451bc3122587b48a299150faa11,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__65834855fec7/mode.npz,1001,1001,0.15738768666336492,True,0.04,0.3572856693078423,0.0,0.15720569449545058,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__65834855fec7,2.6387053329963237,subsonic_mstab17,True,True,7.343051146243066e-07,3.865418435582958e-29,subsonic_pointwise_box_small_boxes,shooting_box,526,501
40.0,0.4,Ly40_N2001,2,0.4399999999999999,1e-12,True,0.00041361856342314596,subsonic_cr0_M0.40_from_M0.35_M0.42,0.0011576690557570796,subsonic_M040,0.3576992878712654,c4c5ce2dc9e6d955ec80cda4f50b6c9201fb5dd87a0ac78b3dcc695525b1c8a5,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__c4c5ce2dc9e6/mode.npz,2001,2001,0.15738768666335676,True,0.04,0.3572856693078423,0.0,0.15720569449545058,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__c4c5ce2dc9e6,3.6352811250835657,subsonic_mstab17,True,True,7.343051139379702e-07,5.048709793414476e-29,subsonic_pointwise_box_small_boxes,shooting_box,1026,1001
80.0,0.4,Ly80_N4001,3,0.4399999999999999,1e-12,True,0.0004136185634209255,subsonic_cr0_M0.40_from_M0.35_M0.42,0.0011576690557508647,subsonic_M040,0.3576992878712632,f7119e29f5ee7fad1d8d108cbfc4224045c201d515c85cae2ab3aac9a9da0315,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__f7119e29f5ee/mode.npz,4001,4001,0.15738768666335576,True,0.04,0.3572856693078423,0.0,0.15720569449545058,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M040__subsonic_mstab17__shooting_box__resolution_coupled__f7119e29f5ee,5.502685584011488,subsonic_mstab17,True,True,7.343051144330795e-07,1.135959703518257e-28,subsonic_pointwise_box_small_boxes,shooting_box,2026,2001
10.0,0.5,Ly10_N501,0,0.37,1e-12,True,0.00024968616425169454,subsonic_cr0_M0.50_from_M0.49_M0.56,0.0006573969642876658,subsonic_M050,0.38006002575449677,017e9d38070ba2b2bfe4889c2bc3ff92cda8438a646838d2436b33b55980f297,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__017e9d38070b/mode.npz,501,501,0.1406222095291638,True,0.04,0.37981033959024507,0.0,0.14052982564839067,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__017e9d38070b,2.0856998750241473,subsonic_mstab17,True,True,6.442964323896734e-06,7.119469669619632e-29,subsonic_pointwise_box_small_boxes,shooting_box,276,251
20.0,0.5,Ly20_N1001,1,0.37,1e-12,True,0.00024968616351594974,subsonic_cr0_M0.50_from_M0.49_M0.56,0.0006573969623505283,subsonic_M050,0.380060025753761,54aab2beb1dd19359da2a0832187d7c33e8812916ea59bb9361d34b78ed10395,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__54aab2beb1dd/mode.npz,1001,1001,0.14062220952889157,True,0.04,0.37981033959024507,0.0,0.14052982564839067,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__54aab2beb1dd,2.510639916989021,subsonic_mstab17,True,True,6.442959353341218e-06,5.571177301323009e-26,subsonic_pointwise_box_small_boxes,shooting_box,526,501
40.0,0.5,Ly40_N2001,2,0.37,1e-12,True,0.00024968616357318174,subsonic_cr0_M0.50_from_M0.49_M0.56,0.0006573969625012141,subsonic_M050,0.38006002575381825,23a8fba8a55c3e13acc78749316a0e4593ce6402d2f6ff80c4bcd75916515a21,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__23a8fba8a55c/mode.npz,2001,2001,0.14062220952891274,True,0.04,0.37981033959024507,0.0,0.14052982564839067,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__23a8fba8a55c,3.416794874938205,subsonic_mstab17,True,True,6.442959723784919e-06,3.1554436208840472e-30,subsonic_pointwise_box_small_boxes,shooting_box,1026,1001
80.0,0.5,Ly80_N4001,3,0.37,1e-12,True,0.0002496861635725711,subsonic_cr0_M0.50_from_M0.49_M0.56,0.0006573969624996065,subsonic_M050,0.38006002575381764,037f27946fbd0751952e7392d8429bb4325c64ec692d63210bce8e7c738c4a99,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__037f27946fbd/mode.npz,4001,4001,0.14062220952891252,True,0.04,0.37981033959024507,0.0,0.14052982564839067,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M050__subsonic_mstab17__shooting_box__resolution_coupled__037f27946fbd,5.763470666948706,subsonic_mstab17,True,True,6.442959718270186e-06,3.155443620884047e-28,subsonic_pointwise_box_small_boxes,shooting_box,2026,2001
10.0,0.6,Ly10_N501,0,0.37,1e-12,True,0.0006028165887009829,subsonic_cr0_M0.60_from_M0.56_M0.63,0.0018325812142497946,subsonic_M060,0.3295468131841034,5fff5e79f5680b24fd9dbd07999ba78405198e2cd8aa3bc06ae9fdb1b1228686,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M060__subsonic_mstab17__shooting_box__resolution_coupled__5fff5e79f568/mode.npz,501,501,0.12193232087811826,True,0.04,0.3289439965954024,0.0,0.1217092787402989,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M060__subsonic_mstab17__shooting_box__resolution_coupled__5fff5e79f568,1.9650437500094995,subsonic_mstab17,True,True,1.5908247695789305e-05,5.048709793414476e-29,subsonic_pointwise_box_small_boxes,shooting_box,276,251
20.0,0.6,Ly20_N1001,1,0.37,1e-12,True,0.0006028165872402624,subsonic_cr0_M0.60_from_M0.56_M0.63,0.001832581209809159,subsonic_M060,0.3295468131826427,8681c4e4d25c5fc1bd9383a3568e1cfbb4e2feeda2356960ae9fe29cce017e06,True,0.0,,1.0,0.25,True,classic_supersonic/reproducibility/results/classical_convergence_pointwise_small_boxes_v3/runs/subsonic_M060__subsonic_mstab17__shooting_box__resolution_coupled__8681c4e4d25c/mode.npz,1001,1001,0.12193232087757779,True,0.04,0.3289439965954024,0.0,0.1217092787402989,largest_Ly_same_case_at_constant_physical_dy,subsonic,1e-10,subsonic_M060__subsonic_mstab17__shooting_box__resolution_coupled__8681c4e4d25c,2.4490115829976276,subsonic_mstab17,True,True,1.5908240572561374e-05,9.416652347145848e-26,subsonic_pointwise_box_small_boxes,shooting_box,526,501
